Year,Units,Regions,Value
2017,Percent,,77.1
2018,Percent,,79.6
2017,Percent,Akmola,67.4
2018,Percent,Akmola,68.9
2017,Percent,Aktobe,78.0
2018,Percent,Aktobe,78.0
2017,Percent,Almaty,84.9
2018,Percent,Almaty,86.7
2017,Percent,Atyrau,79.8
2018,Percent,Atyrau,81.2
2017,Percent,Batys Kazakhstan,75.7
2018,Percent,Batys Kazakhstan,76.4
2017,Percent,Zhambyl,61.0
2018,Percent,Zhambyl,78.2
2017,Percent,Karagandy,70.5
2018,Percent,Karagandy,70.6
2017,Percent,Kostanay,80.4
2018,Percent,Kostanay,80.8
2017,Percent,Kyzylorda,71.8
2018,Percent,Kyzylorda,78.6
2017,Percent,Mangistau,78.0
2018,Percent,Mangistau,78.1
2017,Percent,Pavlodar,79.6
2018,Percent,Pavlodar,79.6
2017,Percent,Soltustik Kazakhstan,74.6
2018,Percent,Soltustik Kazakhstan,74.8
2017,Percent,Turkistan,76.8
2018,Percent,Turkistan,76.9
2017,Percent,Shygys Kazakhstan,77.4
2018,Percent,Shygys Kazakhstan,77.8
2017,Percent,Nur-Sultan city,83.8
2018,Percent,Nur-Sultan city,85.4
2017,Percent,Almaty city,81.6
2018,Percent,Almaty city,87.2
2017,Percent,Shymkent city,80.1
2018,Percent,Shymkent city,80.8
