Year,Units,Type of economic activity,Regions,GeoCode,Value
2011,Percent,including large water-power-plant,,,9.1
2012,Percent,including large water-power-plant,,,8.4
2013,Percent,including large water-power-plant,,,8.1
2014,Percent,including large water-power-plant,,,8.7
2015,Percent,including large water-power-plant,,,10.3
2016,Percent,including large water-power-plant,,,12.7
2017,Percent,including large water-power-plant,,,11.3
2018,Percent,including large water-power-plant,,,10.2
2014,Percent,,Akmola,KZ03,0.2
2015,Percent,,Akmola,KZ03,9.7
2016,Percent,,Akmola,KZ03,17.3
2017,Percent,,Akmola,KZ03,19.3
2018,Percent,,Akmola,KZ03,15.7
2011,Percent,,Almaty,KZ01,34.5
2012,Percent,,Almaty,KZ01,33.9
2013,Percent,,Almaty,KZ01,26.9
2014,Percent,,Almaty,KZ01,55.6
2015,Percent,,Almaty,KZ01,58.7
2016,Percent,,Almaty,KZ01,72.2
2017,Percent,,Almaty,KZ01,71.1
2018,Percent,,Almaty,KZ01,64.9
2011,Percent,,Shygys Kazakhstan,KZ15,74.8
2012,Percent,,Shygys Kazakhstan,KZ15,74.2
2013,Percent,,Shygys Kazakhstan,KZ15,73.5
2014,Percent,,Shygys Kazakhstan,KZ15,75.3
2015,Percent,,Shygys Kazakhstan,KZ15,75.9
2016,Percent,,Shygys Kazakhstan,KZ15,79.3
2017,Percent,,Shygys Kazakhstan,KZ15,75.7
2018,Percent,,Shygys Kazakhstan,KZ15,74.3
2011,Percent,,Zhambyl,KZ17,1.5
2012,Percent,,Zhambyl,KZ17,1.2
2013,Percent,,Zhambyl,KZ17,1.5
2014,Percent,,Zhambyl,KZ17,1.6
2015,Percent,,Zhambyl,KZ17,4.4
2016,Percent,,Zhambyl,KZ17,9.2
2017,Percent,,Zhambyl,KZ17,10.1
2018,Percent,,Zhambyl,KZ17,19.0
2015,Percent,,Kyzylorda,KZ14,0.1
2016,Percent,,Kyzylorda,KZ14,0.1
2017,Percent,,Kyzylorda,KZ14,0.1
2018,Percent,,Kyzylorda,KZ14,0.1
2011,Percent,,Soltustik Kazakhstan,KZ16,0.6
2012,Percent,,Soltustik Kazakhstan,KZ16,0.7
2013,Percent,,Soltustik Kazakhstan,KZ16,0.7
2014,Percent,,Soltustik Kazakhstan,KZ16,0.7
2015,Percent,,Soltustik Kazakhstan,KZ16,0.7
2016,Percent,,Soltustik Kazakhstan,KZ16,0.7
2017,Percent,,Soltustik Kazakhstan,KZ16,0.6
2018,Percent,,Soltustik Kazakhstan,KZ16,0.7
2011,Percent,,Ontustik Kazakhstan,KZ10,37.0
2012,Percent,,Ontustik Kazakhstan,KZ10,29.1
2013,Percent,,Ontustik Kazakhstan,KZ10,27.5
2014,Percent,,Ontustik Kazakhstan,KZ10,29.6
2015,Percent,,Ontustik Kazakhstan,KZ10,51.7
2016,Percent,,Ontustik Kazakhstan,KZ10,35.4
2017,Percent,,Ontustik Kazakhstan,KZ10,62.5
2018,Percent,,Ontustik Kazakhstan,KZ10,95.8
2012,Percent,,Almaty city,KZ02,0.1
2013,Percent,,Almaty city,KZ02,0.1
2014,Percent,,Almaty city,KZ02,5.0
2015,Percent,,Almaty city,KZ02,5.8
2016,Percent,,Almaty city,KZ02,6.6
2017,Percent,,Almaty city,KZ02,6.2
2018,Percent,,Almaty city,KZ02,6.0
2010,Percent,excluding large hydropower plants,,,0.0
2011,Percent,excluding large hydropower plants,,,0.0
2012,Percent,excluding large hydropower plants,,,0.0
2013,Percent,excluding large hydropower plants,,,0.0
2014,Percent,excluding large hydropower plants,,,0.62
2015,Percent,excluding large hydropower plants,,,0.77
2016,Percent,excluding large hydropower plants,,,0.98
2017,Percent,excluding large hydropower plants,,,1.3
2018,Percent,excluding large hydropower plants,,,1.3
