Year,Units,cумма ущерба от ЧС,Regions,Value
2010,thousand of tenge,caused by nature,,1249382.0
2010,thousand of tenge,caused by nature,Akmola,20000.0
2010,thousand of tenge,caused by nature,Aktobe,5055.0
2010,thousand of tenge,caused by nature,Almaty,900.0
2010,thousand of tenge,caused by nature,Atyrau,0.0
2010,thousand of tenge,caused by nature,Batys Kazakhstan,0.0
2010,thousand of tenge,caused by nature,Zhambyl,60.8
2010,thousand of tenge,caused by nature,Karagandy,11256.0
2010,thousand of tenge,caused by nature,Kostanay,20900.0
2010,thousand of tenge,caused by nature,Kyzylorda,4400.0
2010,thousand of tenge,caused by nature,Mangistau,44918.2
2010,thousand of tenge,caused by nature,Pavlodar,75492.0
2010,thousand of tenge,caused by nature,Soltustik Kazakhstan,0.0
2010,thousand of tenge,caused by nature,Turkistan,61300.0
2010,thousand of tenge,caused by nature,Shygys Kazakhstan,1005100.0
2010,thousand of tenge,caused by nature,Nur-Sultan city,0.0
2010,thousand of tenge,caused by nature,Almaty city,0.0
2010,thousand of tenge,caused by nature,Shymkent city,0.0
2010,thousand of tenge,human caused,,8334944.729999999
2010,thousand of tenge,human caused,Akmola,4504.8
2010,thousand of tenge,human caused,Aktobe,0.0
2010,thousand of tenge,human caused,Almaty,7900000.0
2010,thousand of tenge,human caused,Atyrau,0.0
2010,thousand of tenge,human caused,Batys Kazakhstan,382700.63
2010,thousand of tenge,human caused,Zhambyl,0.0
2010,thousand of tenge,human caused,Karagandy,0.0
2010,thousand of tenge,human caused,Kostanay,0.0
2010,thousand of tenge,human caused,Kyzylorda,0.0
2010,thousand of tenge,human caused,Mangistau,17139.3
2010,thousand of tenge,human caused,Pavlodar,0.0
2010,thousand of tenge,human caused,Soltustik Kazakhstan,0.0
2010,thousand of tenge,human caused,Turkistan,0.0
2010,thousand of tenge,human caused,Shygys Kazakhstan,30600.0
2010,thousand of tenge,human caused,Nur-Sultan city,0.0
2010,thousand of tenge,human caused,Almaty city,0.0
2010,thousand of tenge,human caused,Shymkent city,0.0
2011,thousand of tenge,caused by nature,,325575.2
2011,thousand of tenge,caused by nature,Akmola,578.3
2011,thousand of tenge,caused by nature,Aktobe,0.0
2011,thousand of tenge,caused by nature,Almaty,280.0
2011,thousand of tenge,caused by nature,Atyrau,0.0
2011,thousand of tenge,caused by nature,Batys Kazakhstan,0.0
2011,thousand of tenge,caused by nature,Zhambyl,64.9
2011,thousand of tenge,caused by nature,Karagandy,0.0
2011,thousand of tenge,caused by nature,Kostanay,0.0
2011,thousand of tenge,caused by nature,Kyzylorda,4500.0
2011,thousand of tenge,caused by nature,Mangistau,120853.4
2011,thousand of tenge,caused by nature,Pavlodar,91298.6
2011,thousand of tenge,caused by nature,Soltustik Kazakhstan,0.0
2011,thousand of tenge,caused by nature,Turkistan,0.0
2011,thousand of tenge,caused by nature,Shygys Kazakhstan,108000.0
2011,thousand of tenge,caused by nature,Nur-Sultan city,0.0
2011,thousand of tenge,caused by nature,Almaty city,0.0
2011,thousand of tenge,caused by nature,Shymkent city,0.0
2011,thousand of tenge,human caused,,949121.35
2011,thousand of tenge,human caused,Akmola,0.0
2011,thousand of tenge,human caused,Aktobe,0.0
2011,thousand of tenge,human caused,Almaty,367400.0
2011,thousand of tenge,human caused,Atyrau,0.0
2011,thousand of tenge,human caused,Batys Kazakhstan,274747.85
2011,thousand of tenge,human caused,Zhambyl,0.0
2011,thousand of tenge,human caused,Karagandy,255073.5
2011,thousand of tenge,human caused,Kostanay,0.0
2011,thousand of tenge,human caused,Kyzylorda,0.0
2011,thousand of tenge,human caused,Mangistau,0.0
2011,thousand of tenge,human caused,Pavlodar,0.0
2011,thousand of tenge,human caused,Soltustik Kazakhstan,0.0
2011,thousand of tenge,human caused,Turkistan,0.0
2011,thousand of tenge,human caused,Shygys Kazakhstan,51900.0
2011,thousand of tenge,human caused,Nur-Sultan city,0.0
2011,thousand of tenge,human caused,Almaty city,0.0
2011,thousand of tenge,human caused,Shymkent city,0.0
2012,thousand of tenge,caused by nature,,1238491.2
2012,thousand of tenge,caused by nature,Akmola,7579.2
2012,thousand of tenge,caused by nature,Aktobe,2000.0
2012,thousand of tenge,caused by nature,Almaty,867.0
