Year,Units,Income,Sex,Area,Regions,GeoCode,Value
2011,Percent,1.9 US dollars per day (based on PPP),,,,,0.1
2012,Percent,1.9 US dollars per day (based on PPP),,,,,0.0
2013,Percent,1.9 US dollars per day (based on PPP),,,,,0.0
2014,Percent,1.9 US dollars per day (based on PPP),,,,,0.0
2015,Percent,1.9 US dollars per day (based on PPP),,,,,0.0
2016,Percent,1.9 US dollars per day (based on PPP),,,,,0.0
2017,Percent,1.9 US dollars per day (based on PPP),,,,,0.0
2018,Percent,1.9 US dollars per day (based on PPP),,,,,0.0
2011,Percent,3.2 US dollars per day (based on PPP),,,,,1.2
2012,Percent,3.2 US dollars per day (based on PPP),,,,,1.0
2013,Percent,3.2 US dollars per day (based on PPP),,,,,0.6
2014,Percent,3.2 US dollars per day (based on PPP),,,,,0.4
2015,Percent,3.2 US dollars per day (based on PPP),,,,,0.6
2016,Percent,3.2 US dollars per day (based on PPP),,,,,0.4
2017,Percent,3.2 US dollars per day (based on PPP),,,,,0.4
2018,Percent,3.2 US dollars per day (based on PPP),,,,,0.3
2011,Percent,5.5 US dollars per day (based on PPP),,,,,15.3
2012,Percent,5.5 US dollars per day (based on PPP),,,,,17.7
2013,Percent,5.5 US dollars per day (based on PPP),,,,,12.2
2014,Percent,5.5 US dollars per day (based on PPP),,,,,11.2
2015,Percent,5.5 US dollars per day (based on PPP),,,,,13.9
2016,Percent,5.5 US dollars per day (based on PPP),,,,,11.5
2017,Percent,5.5 US dollars per day (based on PPP),,,,,9.7
2018,Percent,5.5 US dollars per day (based on PPP),,,,,7.4
2011,Percent,1.9 US dollars per day (based on PPP),Male,,,,0.1
2012,Percent,1.9 US dollars per day (based on PPP),Male,,,,0.0
2013,Percent,1.9 US dollars per day (based on PPP),Male,,,,0.0
2014,Percent,1.9 US dollars per day (based on PPP),Male,,,,0.0
2015,Percent,1.9 US dollars per day (based on PPP),Male,,,,0.0
2016,Percent,1.9 US dollars per day (based on PPP),Male,,,,0.0
2017,Percent,1.9 US dollars per day (based on PPP),Male,,,,0.0
2018,Percent,1.9 US dollars per day (based on PPP),Male,,,,0.0
2011,Percent,3.2 US dollars per day (based on PPP),Male,,,,1.2
2012,Percent,3.2 US dollars per day (based on PPP),Male,,,,1.1
2013,Percent,3.2 US dollars per day (based on PPP),Male,,,,0.6
2014,Percent,3.2 US dollars per day (based on PPP),Male,,,,0.4
2015,Percent,3.2 US dollars per day (based on PPP),Male,,,,0.6
2016,Percent,3.2 US dollars per day (based on PPP),Male,,,,0.4
2017,Percent,3.2 US dollars per day (based on PPP),Male,,,,0.3
