Year,Units,Area,Regions,Value
2010,Percent,,,99.4
2010,Percent,,Akmola,99.7
2010,Percent,,Aktobe,99.7
2010,Percent,,Almaty,99.8
2010,Percent,,Atyrau,99.5
2010,Percent,,Batys Kazakhstan,99.4
2010,Percent,,Zhambyl,99.3
2010,Percent,,Karagandy,99.5
2010,Percent,,Kostanay,99.3
2010,Percent,,Kyzylorda,99.7
2010,Percent,,Mangistau,99.5
2010,Percent,,Ontustik Kazakhstan,98.8
2010,Percent,,Pavlodar,99.6
2010,Percent,,Soltustik Kazakhstan,99.5
2010,Percent,,Shygys Kazakhstan,99.2
2010,Percent,,Nur-Sultan city,99.3
2010,Percent,,Almaty city,99.7
2010,Percent,Urban,,99.8
2010,Percent,Urban,Akmola,100.0
2010,Percent,Urban,Aktobe,100.0
2010,Percent,Urban,Almaty,100.0
2010,Percent,Urban,Atyrau,100.0
2010,Percent,Urban,Batys Kazakhstan,99.7
2010,Percent,Urban,Zhambyl,99.7
2010,Percent,Urban,Karagandy,99.8
2010,Percent,Urban,Kostanay,99.6
2010,Percent,Urban,Kyzylorda,100.0
2010,Percent,Urban,Mangistau,99.8
2010,Percent,Urban,Ontustik Kazakhstan,99.6
2010,Percent,Urban,Pavlodar,99.9
2010,Percent,Urban,Soltustik Kazakhstan,99.8
2010,Percent,Urban,Shygys Kazakhstan,99.8
2010,Percent,Urban,Nur-Sultan city,99.7
2010,Percent,Urban,Almaty city,100.0
2010,Percent,Rural,,99.7
2010,Percent,Rural,Akmola,99.9
2010,Percent,Rural,Aktobe,99.9
2010,Percent,Rural,Almaty,100.0
2010,Percent,Rural,Atyrau,99.7
2010,Percent,Rural,Batys Kazakhstan,99.8
2010,Percent,Rural,Zhambyl,99.6
2010,Percent,Rural,Karagandy,99.4
2010,Percent,Rural,Kostanay,99.9
2010,Percent,Rural,Kyzylorda,99.8
2010,Percent,Rural,Mangistau,100.0
2010,Percent,Rural,Ontustik Kazakhstan,99.6
2010,Percent,Rural,Pavlodar,99.9
2010,Percent,Rural,Soltustik Kazakhstan,99.9
2010,Percent,Rural,Shygys Kazakhstan,99.1
2011,Percent,,,99.9
2011,Percent,,Akmola,99.9
2011,Percent,,Aktobe,100.0
2011,Percent,,Almaty,100.0
2011,Percent,,Atyrau,100.0
2011,Percent,,Batys Kazakhstan,99.9
2011,Percent,,Zhambyl,99.8
2011,Percent,,Karagandy,99.8
2011,Percent,,Kostanay,99.9
2011,Percent,,Kyzylorda,99.9
2011,Percent,,Mangistau,99.8
2011,Percent,,Ontustik Kazakhstan,99.8
2011,Percent,,Pavlodar,99.8
2011,Percent,,Soltustik Kazakhstan,99.9
2011,Percent,,Shygys Kazakhstan,99.8
2011,Percent,,Nur-Sultan city,99.6
2011,Percent,,Almaty city,99.9
2011,Percent,Urban,,99.9
2011,Percent,Urban,Akmola,100.0
2011,Percent,Urban,Aktobe,100.0
2011,Percent,Urban,Almaty,100.0
2011,Percent,Urban,Atyrau,100.0
2011,Percent,Urban,Batys Kazakhstan,99.9
2011,Percent,Urban,Zhambyl,100.0
2011,Percent,Urban,Karagandy,99.9
2011,Percent,Urban,Kostanay,99.9
2011,Percent,Urban,Kyzylorda,99.9
2011,Percent,Urban,Mangistau,99.8
2011,Percent,Urban,Ontustik Kazakhstan,99.6
2011,Percent,Urban,Pavlodar,99.8
2011,Percent,Urban,Soltustik Kazakhstan,100.0
2011,Percent,Urban,Shygys Kazakhstan,100.0
2011,Percent,Urban,Nur-Sultan city,99.6
2011,Percent,Urban,Almaty city,99.9
2011,Percent,Rural,,99.8
2011,Percent,Rural,Akmola,99.9
2011,Percent,Rural,Aktobe,99.9
2011,Percent,Rural,Almaty,100.0
2011,Percent,Rural,Atyrau,100.0
2011,Percent,Rural,Batys Kazakhstan,100.0
2011,Percent,Rural,Zhambyl,99.6
2011,Percent,Rural,Karagandy,99.1
2011,Percent,Rural,Kostanay,99.9
2011,Percent,Rural,Kyzylorda,100.0
2011,Percent,Rural,Mangistau,99.7
2011,Percent,Rural,Ontustik Kazakhstan,99.9
2011,Percent,Rural,Pavlodar,99.6
2011,Percent,Rural,Soltustik Kazakhstan,99.9
2011,Percent,Rural,Shygys Kazakhstan,98.9
2012,Percent,,,99.8
2012,Percent,,Akmola,99.9
2012,Percent,,Aktobe,100.0
2012,Percent,,Almaty,100.0
2012,Percent,,Atyrau,99.9
2012,Percent,,Batys Kazakhstan,99.8
2012,Percent,,Zhambyl,99.9
2012,Percent,,Karagandy,99.9
2012,Percent,,Kostanay,99.9
2012,Percent,,Kyzylorda,99.8
2012,Percent,,Mangistau,99.8
2012,Percent,,Ontustik Kazakhstan,99.7
2012,Percent,,Pavlodar,99.8
2012,Percent,,Soltustik Kazakhstan,99.9
2012,Percent,,Shygys Kazakhstan,99.8
2012,Percent,,Nur-Sultan city,99.6
2012,Percent,,Almaty city,99.8
2012,Percent,Urban,,99.9
2012,Percent,Urban,Akmola,100.0
2012,Percent,Urban,Aktobe,100.0
2012,Percent,Urban,Almaty,100.0
2012,Percent,Urban,Atyrau,99.9
2012,Percent,Urban,Batys Kazakhstan,99.8
2012,Percent,Urban,Zhambyl,100.0
2012,Percent,Urban,Karagandy,99.9
2012,Percent,Urban,Kostanay,100.0
2012,Percent,Urban,Kyzylorda,99.9
2012,Percent,Urban,Mangistau,99.8
2012,Percent,Urban,Ontustik Kazakhstan,100.0
2012,Percent,Urban,Pavlodar,99.9
2012,Percent,Urban,Soltustik Kazakhstan,99.9
2012,Percent,Urban,Shygys Kazakhstan,99.8
2012,Percent,Urban,Nur-Sultan city,99.6
2012,Percent,Rural,,99.5
2012,Percent,Rural,Akmola,99.9
2012,Percent,Rural,Aktobe,99.9
2012,Percent,Rural,Almaty,100.0
2012,Percent,Rural,Atyrau,99.7
