Year,Units,Rate of deviation,Growth-age-average Z-score (SD standard deviation),Sex,Area,Regions,Age,Mother's education,Wealth index quintile,Nationality of the head of household,Value
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,,,,,,4.1
2015,Percent,Rate of deviation from the norm (moderate and strong),,,,,,,,,3.1
2010,Percent,Strong deviation from the norm,,,,,,,,,1.7
2015,Percent,Strong deviation from the norm,,,,,,,,,1.1
2010,Percent,,Growth-age-average Z-score (SD standard deviation),Total,,,,,,,13.3
2015,Percent,,Growth-age-average Z-score (SD standard deviation),Total,,,,,,,9.3
2010,Percent,,Growth-age-average Z-score (SD standard deviation),Male,,,,,,,14.8
2015,Percent,,Growth-age-average Z-score (SD standard deviation),Male,,,,,,,8.7
2010,Percent,,Growth-age-average Z-score (SD standard deviation),Female,,,,,,,11.8
2015,Percent,,Growth-age-average Z-score (SD standard deviation),Female,,,,,,,10.0
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,Population of urban areas,,,,,,13.7
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,Population of urban areas,,,,,,11.2
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,Population of rural areas,,,,,,13.0
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,Population of rural areas,,,,,,7.6
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,Akmola,,,,,13.6
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,Akmola,,,,,4.9
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,Aktobe,,,,,33.5
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,Aktobe,,,,,10.3
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,Almaty,,,,,7.6
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,Almaty,,,,,6.3
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,Atyrau,,,,,16.2
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,Atyrau,,,,,14.7
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,Batys Kazakhstan,,,,,6.6
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,Batys Kazakhstan,,,,,8.0
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,Zhambyl,,,,,21.3
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,Zhambyl,,,,,6.1
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,Karagandy,,,,,6.1
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,Karagandy,,,,,6.4
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,Kostanay,,,,,6.6
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,Kostanay,,,,,12.5
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,Kyzylorda,,,,,6.8
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,Kyzylorda,,,,,8.6
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,Mangistau,,,,,15.7
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,Mangistau,,,,,4.9
