Year,Units,Sex,Value
2010,Percent,,30.48
2011,Percent,,28.59
2012,Percent,,27.1
2013,Percent,,23.7
2014,Percent,,20.53
2015,Percent,,21.12
2016,Percent,,20.84
2017,Percent,,19.73
2018,Percent,,19.28
2010,Percent,Male,41.19
2011,Percent,Male,38.91
2012,Percent,Male,37.13
2013,Percent,Male,32.83
2014,Percent,Male,28.67
2015,Percent,Male,29.4
2016,Percent,Male,29.25
2017,Percent,Male,27.66
2018,Percent,Male,27.09
2010,Percent,Female,21.3
2011,Percent,Female,19.8
2012,Percent,Female,18.61
2013,Percent,Female,16.1
2014,Percent,Female,13.88
2015,Percent,Female,14.38
2016,Percent,Female,13.98
2017,Percent,Female,13.29
2018,Percent,Female,12.92
