Year,Units,crime,Value
2010,Number of individuals,detained,15581.0
2011,Number of individuals,detained,14283.0
2012,Number of individuals,detained,14204.0
2013,Number of individuals,detained,14716.0
2014,Number of individuals,detained,13120.0
2015,Number of individuals,detained,14534.0
2016,Number of individuals,detained,16029.0
2017,Number of individuals,detained,16993.0
2018,Number of individuals,detained,10455.0
2010,Number of individuals,избраны меры пресечения виде ареста,14081.0
2011,Number of individuals,избраны меры пресечения виде ареста,10887.0
2012,Number of individuals,избраны меры пресечения виде ареста,12552.0
2013,Number of individuals,избраны меры пресечения виде ареста,13733.0
2014,Number of individuals,избраны меры пресечения виде ареста,12238.0
2015,Number of individuals,избраны меры пресечения виде ареста,10132.0
2016,Number of individuals,избраны меры пресечения виде ареста,11072.0
2017,Number of individuals,избраны меры пресечения виде ареста,15689.0
2018,Number of individuals,избраны меры пресечения виде ареста,9957.0
