Year,Units,Regions,Value
2015,Percent,,30.0
2016,Percent,,44.7
2017,Percent,,55.0
2018,Percent,,60.0
2017,Percent,Akmola,58.2
2018,Percent,Akmola,59.6
2017,Percent,Aktobe,38.2
2018,Percent,Aktobe,60.2
2017,Percent,Almaty,36.0
2018,Percent,Almaty,43.3
2017,Percent,Atyrau,52.3
2018,Percent,Atyrau,60.6
2017,Percent,Batys Kazakhstan,52.1
2018,Percent,Batys Kazakhstan,71.8
2017,Percent,Zhambyl,53.3
2018,Percent,Zhambyl,62.2
2017,Percent,Karagandy,48.2
2018,Percent,Karagandy,55.1
2017,Percent,Kostanay,59.7
2018,Percent,Kostanay,59.6
2017,Percent,Kyzylorda,40.3
2018,Percent,Kyzylorda,46.4
2017,Percent,Mangistau,47.0
2018,Percent,Mangistau,59.9
2017,Percent,Ontustik Kazakhstan,64.5
2017,Percent,Pavlodar,60.8
2018,Percent,Pavlodar,60.2
2017,Percent,Soltustik Kazakhstan,61.0
2018,Percent,Soltustik Kazakhstan,61.0
2018,Percent,Turkistan,63.4
2017,Percent,Shygys Kazakhstan,56.9
2018,Percent,Shygys Kazakhstan,58.9
2017,Percent,Nur-Sultan city,88.1
2018,Percent,Nur-Sultan city,88.2
2017,Percent,Almaty city,100.0
2018,Percent,Almaty city,99.5
2018,Percent,Shymkent city,63.4
