Year,Units,Regions,GeoCode,Value
2010,Percent,,,0.05
2011,Percent,,,0.05
2012,Percent,,,0.05
2013,Percent,,,0.2
2014,Percent,,,0.2
2015,Percent,,,0.2
2016,Percent,,,0.18
2017,Percent,,,0.2
2018,Percent,,,0.19
2010,Percent,Akmola,KZ03,0.1
2011,Percent,Akmola,KZ03,0.0
2012,Percent,Akmola,KZ03,0.0
2013,Percent,Akmola,KZ03,0.2
2014,Percent,Akmola,KZ03,0.2
2015,Percent,Akmola,KZ03,0.2
2016,Percent,Akmola,KZ03,0.1
2017,Percent,Akmola,KZ03,0.1
2018,Percent,Akmola,KZ03,0.1
2010,Percent,Aktobe,KZ04,0.0
2011,Percent,Aktobe,KZ04,0.0
2012,Percent,Aktobe,KZ04,0.0
2013,Percent,Aktobe,KZ04,0.0
2014,Percent,Aktobe,KZ04,0.0
2015,Percent,Aktobe,KZ04,0.0
2016,Percent,Aktobe,KZ04,0.0
2017,Percent,Aktobe,KZ04,0.1
2018,Percent,Aktobe,KZ04,0.1
2010,Percent,Almaty,KZ01,0.2
2011,Percent,Almaty,KZ01,0.3
2012,Percent,Almaty,KZ01,0.2
2013,Percent,Almaty,KZ01,0.8
2014,Percent,Almaty,KZ01,0.5
2015,Percent,Almaty,KZ01,0.5
2016,Percent,Almaty,KZ01,0.5
2017,Percent,Almaty,KZ01,0.5
2018,Percent,Almaty,KZ01,0.6
2010,Percent,Atyrau,KZ06,0.1
2011,Percent,Atyrau,KZ06,0.1
2012,Percent,Atyrau,KZ06,0.1
2013,Percent,Atyrau,KZ06,0.5
2014,Percent,Atyrau,KZ06,0.4
2015,Percent,Atyrau,KZ06,0.4
2016,Percent,Atyrau,KZ06,0.3
2017,Percent,Atyrau,KZ06,0.3
2018,Percent,Atyrau,KZ06,0.2
2010,Percent,Batys Kazakhstan,KZ07,0.0
2011,Percent,Batys Kazakhstan,KZ07,0.0
2012,Percent,Batys Kazakhstan,KZ07,0.0
