Year,Units,Regions,Area,Sex,Education,Marital status,citizenship,GeoCode,Value
2010,per 100000 population,,,,,,,,20.71
2011,per 100000 population,,,,,,,,19.33
2012,per 100000 population,,,,,,,,19.11
2013,per 100000 population,,,,,,,,19.08
2014,per 100000 population,,,,,,,,16.28
2015,per 100000 population,,,,,,,,15.16
2016,per 100000 population,,,,,,,,15.27
2017,per 100000 population,,,,,,,,13.04
2018,per 100000 population,,,,,,,,13.2
2010,per 100000 population,Akmola,,,,,,KZ03,19.75
2011,per 100000 population,Akmola,,,,,,KZ03,15.43
2012,per 100000 population,Akmola,,,,,,KZ03,14.89
2013,per 100000 population,Akmola,,,,,,KZ03,16.21
2014,per 100000 population,Akmola,,,,,,KZ03,13.59
2015,per 100000 population,Akmola,,,,,,KZ03,10.8
2016,per 100000 population,Akmola,,,,,,KZ03,12.98
2017,per 100000 population,Akmola,,,,,,KZ03,15.2
2018,per 100000 population,Akmola,,,,,,KZ03,10.56
2010,per 100000 population,Aktobe,,,,,,KZ04,14.66
2011,per 100000 population,Aktobe,,,,,,KZ04,14.07
2012,per 100000 population,Aktobe,,,,,,KZ04,17.19
2013,per 100000 population,Aktobe,,,,,,KZ04,19.19
2014,per 100000 population,Aktobe,,,,,,KZ04,15.2
2015,per 100000 population,Aktobe,,,,,,KZ04,15.2
2016,per 100000 population,Aktobe,,,,,,KZ04,11.19
2017,per 100000 population,Aktobe,,,,,,KZ04,10.68
2018,per 100000 population,Aktobe,,,,,,KZ04,12.74
2010,per 100000 population,Almaty,,,,,,KZ01,24.64
2011,per 100000 population,Almaty,,,,,,KZ01,26.71
2012,per 100000 population,Almaty,,,,,,KZ01,26.61
2013,per 100000 population,Almaty,,,,,,KZ01,28.54
2014,per 100000 population,Almaty,,,,,,KZ01,23.51
2015,per 100000 population,Almaty,,,,,,KZ01,24.29
2016,per 100000 population,Almaty,,,,,,KZ01,23.51
2017,per 100000 population,Almaty,,,,,,KZ01,19.8
2018,per 100000 population,Almaty,,,,,,KZ01,16.72
2010,per 100000 population,Atyrau,,,,,,KZ06,3.8
2011,per 100000 population,Atyrau,,,,,,KZ06,20.65
2012,per 100000 population,Atyrau,,,,,,KZ06,20.4
2013,per 100000 population,Atyrau,,,,,,KZ06,20.3
2014,per 100000 population,Atyrau,,,,,,KZ06,14.79
2015,per 100000 population,Atyrau,,,,,,KZ06,12.08
2016,per 100000 population,Atyrau,,,,,,KZ06,11.98
2017,per 100000 population,Atyrau,,,,,,KZ06,8.96
2018,per 100000 population,Atyrau,,,,,,KZ06,16.1
2010,per 100000 population,Batys Kazakhstan,,,,,,KZ07,14.35
2011,per 100000 population,Batys Kazakhstan,,,,,,KZ07,17.2
2012,per 100000 population,Batys Kazakhstan,,,,,,KZ07,18.86
2013,per 100000 population,Batys Kazakhstan,,,,,,KZ07,18.36
2014,per 100000 population,Batys Kazakhstan,,,,,,KZ07,13.24
2015,per 100000 population,Batys Kazakhstan,,,,,,KZ07,15.15
2016,per 100000 population,Batys Kazakhstan,,,,,,KZ07,14.24
2017,per 100000 population,Batys Kazakhstan,,,,,,KZ07,15.21
2018,per 100000 population,Batys Kazakhstan,,,,,,KZ07,17.86
2010,per 100000 population,Zhambyl,,,,,,KZ17,31.43
2011,per 100000 population,Zhambyl,,,,,,KZ17,30.35
2012,per 100000 population,Zhambyl,,,,,,KZ17,27.76
2013,per 100000 population,Zhambyl,,,,,,KZ17,26.55
2014,per 100000 population,Zhambyl,,,,,,KZ17,18.05
2015,per 100000 population,Zhambyl,,,,,,KZ17,21.91
2016,per 100000 population,Zhambyl,,,,,,KZ17,22.46
2017,per 100000 population,Zhambyl,,,,,,KZ17,17.2
2018,per 100000 population,Zhambyl,,,,,,KZ17,17.57
2010,per 100000 population,Karagandy,,,,,,KZ12,20.3
2011,per 100000 population,Karagandy,,,,,,KZ12,16.38
2012,per 100000 population,Karagandy,,,,,,KZ12,21.32
2013,per 100000 population,Karagandy,,,,,,KZ12,19.32
2014,per 100000 population,Karagandy,,,,,,KZ12,14.7
2015,per 100000 population,Karagandy,,,,,,KZ12,13.83
2016,per 100000 population,Karagandy,,,,,,KZ12,11.92
2017,per 100000 population,Karagandy,,,,,,KZ12,11.8
2018,per 100000 population,Karagandy,,,,,,KZ12,14.72
2010,per 100000 population,Kostanay,,,,,,KZ13,11.67
2011,per 100000 population,Kostanay,,,,,,KZ13,11.36
2012,per 100000 population,Kostanay,,,,,,KZ13,11.93
2013,per 100000 population,Kostanay,,,,,,KZ13,13.4
2014,per 100000 population,Kostanay,,,,,,KZ13,16.34
2015,per 100000 population,Kostanay,,,,,,KZ13,14.5
2016,per 100000 population,Kostanay,,,,,,KZ13,9.3
2017,per 100000 population,Kostanay,,,,,,KZ13,10.37
2018,per 100000 population,Kostanay,,,,,,KZ13,9.72
2010,per 100000 population,Kyzylorda,,,,,,KZ14,20.73
2011,per 100000 population,Kyzylorda,,,,,,KZ14,18.54
2012,per 100000 population,Kyzylorda,,,,,,KZ14,19.17
2013,per 100000 population,Kyzylorda,,,,,,KZ14,17.46
2014,per 100000 population,Kyzylorda,,,,,,KZ14,14.47
2015,per 100000 population,Kyzylorda,,,,,,KZ14,13.04
2016,per 100000 population,Kyzylorda,,,,,,KZ14,17.94
2017,per 100000 population,Kyzylorda,,,,,,KZ14,11.44
2018,per 100000 population,Kyzylorda,,,,,,KZ14,12.04
2010,per 100000 population,Mangistau,,,,,,KZ09,21.8
2011,per 100000 population,Mangistau,,,,,,KZ09,16.45
2012,per 100000 population,Mangistau,,,,,,KZ09,16.34
2013,per 100000 population,Mangistau,,,,,,KZ09,20.6
2014,per 100000 population,Mangistau,,,,,,KZ09,17.25
2015,per 100000 population,Mangistau,,,,,,KZ09,14.1
2016,per 100000 population,Mangistau,,,,,,KZ09,16.23
2017,per 100000 population,Mangistau,,,,,,KZ09,11.05
2018,per 100000 population,Mangistau,,,,,,KZ09,7.77
2010,per 100000 population,Ontustik Kazakhstan,,,,,,KZ10,32.41
2011,per 100000 population,Ontustik Kazakhstan,,,,,,KZ10,27.13
2012,per 100000 population,Ontustik Kazakhstan,,,,,,KZ10,22.64
2013,per 100000 population,Ontustik Kazakhstan,,,,,,KZ10,23.02
2014,per 100000 population,Ontustik Kazakhstan,,,,,,KZ10,20.65
2015,per 100000 population,Ontustik Kazakhstan,,,,,,KZ10,17.55
2016,per 100000 population,Ontustik Kazakhstan,,,,,,KZ10,19.93
2017,per 100000 population,Ontustik Kazakhstan,,,,,,KZ10,17.63
2010,per 100000 population,Pavlodar,,,,,,KZ11,16.23
2011,per 100000 population,Pavlodar,,,,,,KZ11,16.47
2012,per 100000 population,Pavlodar,,,,,,KZ11,14.97
2013,per 100000 population,Pavlodar,,,,,,KZ11,12.92
2014,per 100000 population,Pavlodar,,,,,,KZ11,14.58
2015,per 100000 population,Pavlodar,,,,,,KZ11,12.55
2016,per 100000 population,Pavlodar,,,,,,KZ11,12.67
2017,per 100000 population,Pavlodar,,,,,,KZ11,8.2
2018,per 100000 population,Pavlodar,,,,,,KZ11,11.27
2010,per 100000 population,Soltustik Kazakhstan,,,,,,KZ16,17.59
2011,per 100000 population,Soltustik Kazakhstan,,,,,,KZ16,11.76
2012,per 100000 population,Soltustik Kazakhstan,,,,,,KZ16,12.55
2013,per 100000 population,Soltustik Kazakhstan,,,,,,KZ16,11.42
2014,per 100000 population,Soltustik Kazakhstan,,,,,,KZ16,14.11
2015,per 100000 population,Soltustik Kazakhstan,,,,,,KZ16,10.34
2016,per 100000 population,Soltustik Kazakhstan,,,,,,KZ16,9.36
2017,per 100000 population,Soltustik Kazakhstan,,,,,,KZ16,9.09
2018,per 100000 population,Soltustik Kazakhstan,,,,,,KZ16,9.7
2018,per 100000 population,Turkistan,,,,,,KZ10,18.58
2010,per 100000 population,Shygys Kazakhstan,,,,,,KZ15,17.95
2011,per 100000 population,Shygys Kazakhstan,,,,,,KZ15,16.11
2012,per 100000 population,Shygys Kazakhstan,,,,,,KZ15,16.49
2013,per 100000 population,Shygys Kazakhstan,,,,,,KZ15,15.85
2014,per 100000 population,Shygys Kazakhstan,,,,,,KZ15,13.12
2015,per 100000 population,Shygys Kazakhstan,,,,,,KZ15,14.47
2016,per 100000 population,Shygys Kazakhstan,,,,,,KZ15,15.08
2017,per 100000 population,Shygys Kazakhstan,,,,,,KZ15,10.17
2018,per 100000 population,Shygys Kazakhstan,,,,,,KZ15,10.79
2010,per 100000 population,Nur-Sultan city,,,,,,KZ05,14.41
2011,per 100000 population,Nur-Sultan city,,,,,,KZ05,10.28
2012,per 100000 population,Nur-Sultan city,,,,,,KZ05,11.05
2013,per 100000 population,Nur-Sultan city,,,,,,KZ05,13.19
2014,per 100000 population,Nur-Sultan city,,,,,,KZ05,8.88
2015,per 100000 population,Nur-Sultan city,,,,,,KZ05,8.35
2016,per 100000 population,Nur-Sultan city,,,,,,KZ05,8.67
2017,per 100000 population,Nur-Sultan city,,,,,,KZ05,8.09
2018,per 100000 population,Nur-Sultan city,,,,,,KZ05,8.16
2010,per 100000 population,Almaty city,,,,,,KZ02,14.48
2011,per 100000 population,Almaty city,,,,,,KZ02,14.11
2012,per 100000 population,Almaty city,,,,,,KZ02,14.02
2013,per 100000 population,Almaty city,,,,,,KZ02,10.8
2014,per 100000 population,Almaty city,,,,,,KZ02,11.94
2015,per 100000 population,Almaty city,,,,,,KZ02,8.79
2016,per 100000 population,Almaty city,,,,,,KZ02,9.03
2017,per 100000 population,Almaty city,,,,,,KZ02,8.24
2018,per 100000 population,Almaty city,,,,,,KZ02,10.01
2018,per 100000 population,Shymkent city,,,,,,KZ18,11.42
2010,per 100000 population,,Population of urban areas,,,,,,18.58
2011,per 100000 population,,Population of urban areas,,,,,,17.11
2012,per 100000 population,,Population of urban areas,,,,,,16.57
2013,per 100000 population,,Population of urban areas,,,,,,16.54
2014,per 100000 population,,Population of urban areas,,,,,,14.47
2015,per 100000 population,,Population of urban areas,,,,,,13.0
2016,per 100000 population,,Population of urban areas,,,,,,12.49
2017,per 100000 population,,Population of urban areas,,,,,,10.82
2018,per 100000 population,,Population of urban areas,,,,,,11.49
2010,per 100000 population,Akmola,Population of urban areas,,,,,,20.74
2011,per 100000 population,Akmola,Population of urban areas,,,,,,14.32
2012,per 100000 population,Akmola,Population of urban areas,,,,,,13.99
2013,per 100000 population,Akmola,Population of urban areas,,,,,,16.51
2014,per 100000 population,Akmola,Population of urban areas,,,,,,13.55
2015,per 100000 population,Akmola,Population of urban areas,,,,,,10.31
2016,per 100000 population,Akmola,Population of urban areas,,,,,,10.86
2017,per 100000 population,Akmola,Population of urban areas,,,,,,18.64
2018,per 100000 population,Akmola,Population of urban areas,,,,,,10.9
2010,per 100000 population,Aktobe,Population of urban areas,,,,,,13.57
2011,per 100000 population,Aktobe,Population of urban areas,,,,,,12.25
2012,per 100000 population,Aktobe,Population of urban areas,,,,,,14.96
2013,per 100000 population,Aktobe,Population of urban areas,,,,,,17.38
2014,per 100000 population,Aktobe,Population of urban areas,,,,,,16.25
2015,per 100000 population,Aktobe,Population of urban areas,,,,,,14.54
2016,per 100000 population,Aktobe,Population of urban areas,,,,,,10.26
2017,per 100000 population,Aktobe,Population of urban areas,,,,,,8.91
2018,per 100000 population,Aktobe,Population of urban areas,,,,,,11.51
2010,per 100000 population,Almaty,Population of urban areas,,,,,,26.43
2011,per 100000 population,Almaty,Population of urban areas,,,,,,26.72
2012,per 100000 population,Almaty,Population of urban areas,,,,,,27.66
2013,per 100000 population,Almaty,Population of urban areas,,,,,,32.98
2014,per 100000 population,Almaty,Population of urban areas,,,,,,26.13
2015,per 100000 population,Almaty,Population of urban areas,,,,,,28.61
2016,per 100000 population,Almaty,Population of urban areas,,,,,,24.32
2017,per 100000 population,Almaty,Population of urban areas,,,,,,17.25
2018,per 100000 population,Almaty,Population of urban areas,,,,,,17.36
2010,per 100000 population,Atyrau,Population of urban areas,,,,,,4.79
2011,per 100000 population,Atyrau,Population of urban areas,,,,,,21.37
2012,per 100000 population,Atyrau,Population of urban areas,,,,,,23.45
2013,per 100000 population,Atyrau,Population of urban areas,,,,,,18.0
2014,per 100000 population,Atyrau,Population of urban areas,,,,,,11.86
2015,per 100000 population,Atyrau,Population of urban areas,,,,,,8.25
2016,per 100000 population,Atyrau,Population of urban areas,,,,,,10.78
2017,per 100000 population,Atyrau,Population of urban areas,,,,,,6.79
2018,per 100000 population,Atyrau,Population of urban areas,,,,,,16.17
2010,per 100000 population,Batys Kazakhstan,Population of urban areas,,,,,,12.9
2011,per 100000 population,Batys Kazakhstan,Population of urban areas,,,,,,20.78
2012,per 100000 population,Batys Kazakhstan,Population of urban areas,,,,,,21.33
2013,per 100000 population,Batys Kazakhstan,Population of urban areas,,,,,,19.01
2014,per 100000 population,Batys Kazakhstan,Population of urban areas,,,,,,13.88
2015,per 100000 population,Batys Kazakhstan,Population of urban areas,,,,,,15.56
2016,per 100000 population,Batys Kazakhstan,Population of urban areas,,,,,,13.09
2017,per 100000 population,Batys Kazakhstan,Population of urban areas,,,,,,14.29
2018,per 100000 population,Batys Kazakhstan,Population of urban areas,,,,,,18.14
2010,per 100000 population,Zhambyl,Population of urban areas,,,,,,30.6
2011,per 100000 population,Zhambyl,Population of urban areas,,,,,,29.59
2012,per 100000 population,Zhambyl,Population of urban areas,,,,,,25.65
2013,per 100000 population,Zhambyl,Population of urban areas,,,,,,21.52
2014,per 100000 population,Zhambyl,Population of urban areas,,,,,,17.97
2015,per 100000 population,Zhambyl,Population of urban areas,,,,,,19.28
2016,per 100000 population,Zhambyl,Population of urban areas,,,,,,20.26
2017,per 100000 population,Zhambyl,Population of urban areas,,,,,,14.34
2018,per 100000 population,Zhambyl,Population of urban areas,,,,,,15.27
2010,per 100000 population,Karagandy,Population of urban areas,,,,,,19.58
2011,per 100000 population,Karagandy,Population of urban areas,,,,,,16.23
2012,per 100000 population,Karagandy,Population of urban areas,,,,,,18.11
2013,per 100000 population,Karagandy,Population of urban areas,,,,,,17.8
2014,per 100000 population,Karagandy,Population of urban areas,,,,,,14.68
2015,per 100000 population,Karagandy,Population of urban areas,,,,,,13.36
2016,per 100000 population,Karagandy,Population of urban areas,,,,,,11.02
2017,per 100000 population,Karagandy,Population of urban areas,,,,,,10.19
2018,per 100000 population,Karagandy,Population of urban areas,,,,,,13.02
2010,per 100000 population,Kostanay,Population of urban areas,,,,,,10.17
2011,per 100000 population,Kostanay,Population of urban areas,,,,,,10.34
2012,per 100000 population,Kostanay,Population of urban areas,,,,,,7.58
2013,per 100000 population,Kostanay,Population of urban areas,,,,,,16.12
2014,per 100000 population,Kostanay,Population of urban areas,,,,,,11.15
2015,per 100000 population,Kostanay,Population of urban areas,,,,,,11.64
2016,per 100000 population,Kostanay,Population of urban areas,,,,,,7.26
2017,per 100000 population,Kostanay,Population of urban areas,,,,,,9.35
2018,per 100000 population,Kostanay,Population of urban areas,,,,,,10.12
2010,per 100000 population,Kyzylorda,Population of urban areas,,,,,,17.4
2011,per 100000 population,Kyzylorda,Population of urban areas,,,,,,14.39
2012,per 100000 population,Kyzylorda,Population of urban areas,,,,,,19.28
2013,per 100000 population,Kyzylorda,Population of urban areas,,,,,,15.96
2014,per 100000 population,Kyzylorda,Population of urban areas,,,,,,14.65
2015,per 100000 population,Kyzylorda,Population of urban areas,,,,,,13.66
2016,per 100000 population,Kyzylorda,Population of urban areas,,,,,,12.16
2017,per 100000 population,Kyzylorda,Population of urban areas,,,,,,12.52
2018,per 100000 population,Kyzylorda,Population of urban areas,,,,,,11.74
2010,per 100000 population,Mangistau,Population of urban areas,,,,,,23.11
2011,per 100000 population,Mangistau,Population of urban areas,,,,,,20.08
2012,per 100000 population,Mangistau,Population of urban areas,,,,,,15.45
2013,per 100000 population,Mangistau,Population of urban areas,,,,,,17.9
2014,per 100000 population,Mangistau,Population of urban areas,,,,,,14.61
2015,per 100000 population,Mangistau,Population of urban areas,,,,,,15.56
2016,per 100000 population,Mangistau,Population of urban areas,,,,,,12.16
2017,per 100000 population,Mangistau,Population of urban areas,,,,,,10.69
2018,per 100000 population,Mangistau,Population of urban areas,,,,,,8.51
2010,per 100000 population,Ontustik Kazakhstan,Population of urban areas,,,,,,32.86
2011,per 100000 population,Ontustik Kazakhstan,Population of urban areas,,,,,,26.26
2012,per 100000 population,Ontustik Kazakhstan,Population of urban areas,,,,,,20.73
2013,per 100000 population,Ontustik Kazakhstan,Population of urban areas,,,,,,21.06
2014,per 100000 population,Ontustik Kazakhstan,Population of urban areas,,,,,,22.01
2015,per 100000 population,Ontustik Kazakhstan,Population of urban areas,,,,,,16.55
2016,per 100000 population,Ontustik Kazakhstan,Population of urban areas,,,,,,19.07
2017,per 100000 population,Ontustik Kazakhstan,Population of urban areas,,,,,,16.19
2010,per 100000 population,Pavlodar,Population of urban areas,,,,,,13.32
2011,per 100000 population,Pavlodar,Population of urban areas,,,,,,13.45
2012,per 100000 population,Pavlodar,Population of urban areas,,,,,,14.91
2013,per 100000 population,Pavlodar,Population of urban areas,,,,,,12.08
2014,per 100000 population,Pavlodar,Population of urban areas,,,,,,11.56
2015,per 100000 population,Pavlodar,Population of urban areas,,,,,,10.9
2016,per 100000 population,Pavlodar,Population of urban areas,,,,,,10.1
2017,per 100000 population,Pavlodar,Population of urban areas,,,,,,7.49
2018,per 100000 population,Pavlodar,Population of urban areas,,,,,,9.2
2010,per 100000 population,Soltustik Kazakhstan,Population of urban areas,,,,,,15.52
2011,per 100000 population,Soltustik Kazakhstan,Population of urban areas,,,,,,10.47
2012,per 100000 population,Soltustik Kazakhstan,Population of urban areas,,,,,,10.46
2013,per 100000 population,Soltustik Kazakhstan,Population of urban areas,,,,,,11.65
2014,per 100000 population,Soltustik Kazakhstan,Population of urban areas,,,,,,7.84
2015,per 100000 population,Soltustik Kazakhstan,Population of urban areas,,,,,,10.16
2016,per 100000 population,Soltustik Kazakhstan,Population of urban areas,,,,,,9.63
2017,per 100000 population,Soltustik Kazakhstan,Population of urban areas,,,,,,5.6
2018,per 100000 population,Soltustik Kazakhstan,Population of urban areas,,,,,,5.95
2018,per 100000 population,Turkistan,Population of urban areas,,,,,,20.05
2010,per 100000 population,Shygys Kazakhstan,Population of urban areas,,,,,,15.75
2011,per 100000 population,Shygys Kazakhstan,Population of urban areas,,,,,,15.8
2012,per 100000 population,Shygys Kazakhstan,Population of urban areas,,,,,,13.39
2013,per 100000 population,Shygys Kazakhstan,Population of urban areas,,,,,,13.31
2014,per 100000 population,Shygys Kazakhstan,Population of urban areas,,,,,,11.15
2015,per 100000 population,Shygys Kazakhstan,Population of urban areas,,,,,,10.94
2016,per 100000 population,Shygys Kazakhstan,Population of urban areas,,,,,,12.78
2017,per 100000 population,Shygys Kazakhstan,Population of urban areas,,,,,,8.19
2018,per 100000 population,Shygys Kazakhstan,Population of urban areas,,,,,,8.26
2010,per 100000 population,Nur-Sultan city,Population of urban areas,,,,,,14.41
2011,per 100000 population,Nur-Sultan city,Population of urban areas,,,,,,10.28
2012,per 100000 population,Nur-Sultan city,Population of urban areas,,,,,,11.05
2013,per 100000 population,Nur-Sultan city,Population of urban areas,,,,,,13.19
2014,per 100000 population,Nur-Sultan city,Population of urban areas,,,,,,8.88
2015,per 100000 population,Nur-Sultan city,Population of urban areas,,,,,,8.35
2016,per 100000 population,Nur-Sultan city,Population of urban areas,,,,,,8.67
2017,per 100000 population,Nur-Sultan city,Population of urban areas,,,,,,8.09
2018,per 100000 population,Nur-Sultan city,Population of urban areas,,,,,,8.16
2010,per 100000 population,Almaty city,Population of urban areas,,,,,,14.48
2011,per 100000 population,Almaty city,Population of urban areas,,,,,,14.11
2012,per 100000 population,Almaty city,Population of urban areas,,,,,,14.02
2013,per 100000 population,Almaty city,Population of urban areas,,,,,,10.8
2014,per 100000 population,Almaty city,Population of urban areas,,,,,,11.94
2015,per 100000 population,Almaty city,Population of urban areas,,,,,,8.79
2016,per 100000 population,Almaty city,Population of urban areas,,,,,,9.03
2017,per 100000 population,Almaty city,Population of urban areas,,,,,,8.27
2018,per 100000 population,Almaty city,Population of urban areas,,,,,,10.01
2018,per 100000 population,Shymkent city,Population of urban areas,,,,,,11.42
2010,per 100000 population,,Population of rural areas,,,,,,23.27
2011,per 100000 population,,Population of rural areas,,,,,,22.01
2012,per 100000 population,,Population of rural areas,,,,,,22.19
2013,per 100000 population,,Population of rural areas,,,,,,22.17
2014,per 100000 population,,Population of rural areas,,,,,,18.55
2015,per 100000 population,,Population of rural areas,,,,,,17.97
2016,per 100000 population,,Population of rural areas,,,,,,18.98
2017,per 100000 population,,Population of rural areas,,,,,,16.04
2018,per 100000 population,,Population of rural areas,,,,,,15.58
2010,per 100000 population,Akmola,Population of rural areas,,,,,,18.89
2011,per 100000 population,Akmola,Population of rural areas,,,,,,16.4
2012,per 100000 population,Akmola,Population of rural areas,,,,,,15.68
2013,per 100000 population,Akmola,Population of rural areas,,,,,,15.94
