Year,Units,Regions,Area,GeoCode,Value
2012,Percent,,,,3.51
2013,Percent,,,,3.69
2014,Percent,,,,3.43
2015,Percent,,,,3.4
2016,Percent,,,,3.04
2017,Percent,,,,2.63
2018,Percent,,,,3.0
2012,Percent,Akmola,,KZ03,4.95
2013,Percent,Akmola,,KZ03,4.93
2014,Percent,Akmola,,KZ03,4.92
2015,Percent,Akmola,,KZ03,4.9
2016,Percent,Akmola,,KZ03,4.92
2017,Percent,Akmola,,KZ03,3.29
2018,Percent,Akmola,,KZ03,2.88
2012,Percent,Aktobe,,KZ04,1.87
2013,Percent,Aktobe,,KZ04,5.94
2014,Percent,Aktobe,,KZ04,5.87
2015,Percent,Aktobe,,KZ04,5.83
2016,Percent,Aktobe,,KZ04,5.8
2017,Percent,Aktobe,,KZ04,5.77
2018,Percent,Aktobe,,KZ04,5.74
2012,Percent,Almaty,,KZ01,6.19
2013,Percent,Almaty,,KZ01,6.18
2014,Percent,Almaty,,KZ01,6.38
2015,Percent,Almaty,,KZ01,6.52
2016,Percent,Almaty,,KZ01,5.48
2017,Percent,Almaty,,KZ01,1.87
2018,Percent,Almaty,,KZ01,2.08
2012,Percent,Atyrau,,KZ06,1.54
2013,Percent,Atyrau,,KZ06,1.63
2014,Percent,Atyrau,,KZ06,1.61
2015,Percent,Atyrau,,KZ06,1.82
2016,Percent,Atyrau,,KZ06,1.78
2017,Percent,Atyrau,,KZ06,1.78
2018,Percent,Atyrau,,KZ06,1.76
2012,Percent,Batys Kazakhstan,,KZ07,6.38
2013,Percent,Batys Kazakhstan,,KZ07,6.18
2014,Percent,Batys Kazakhstan,,KZ07,6.16
2015,Percent,Batys Kazakhstan,,KZ07,6.15
2016,Percent,Batys Kazakhstan,,KZ07,6.17
2017,Percent,Batys Kazakhstan,,KZ07,5.31
2018,Percent,Batys Kazakhstan,,KZ07,6.19
2012,Percent,Zhambyl,,KZ17,1.93
2013,Percent,Zhambyl,,KZ17,1.63
2014,Percent,Zhambyl,,KZ17,1.5
2015,Percent,Zhambyl,,KZ17,1.61
2016,Percent,Zhambyl,,KZ17,1.6
2017,Percent,Zhambyl,,KZ17,1.53
2018,Percent,Zhambyl,,KZ17,1.32
2012,Percent,Karagandy,,KZ12,4.32
2013,Percent,Karagandy,,KZ12,4.31
2014,Percent,Karagandy,,KZ12,4.14
2015,Percent,Karagandy,,KZ12,4.15
2016,Percent,Karagandy,,KZ12,4.16
2017,Percent,Karagandy,,KZ12,4.08
