Year,Units,Regions,Sex,GeoCode,Value
2012,Percent,,,,6.08
2013,Percent,,,,6.28
2014,Percent,,,,6.38
2015,Percent,,,,6.17
2016,Percent,,,,5.95
2017,Percent,,,,6.1
2018,Percent,,,,5.95
2012,Percent,Akmola,,KZ03,7.33
2013,Percent,Akmola,,KZ03,7.36
2014,Percent,Akmola,,KZ03,7.24
2015,Percent,Akmola,,KZ03,7.22
2016,Percent,Akmola,,KZ03,7.3
2017,Percent,Akmola,,KZ03,7.6
2018,Percent,Akmola,,KZ03,7.41
2012,Percent,Aktobe,,KZ04,3.2
2013,Percent,Aktobe,,KZ04,7.17
2014,Percent,Aktobe,,KZ04,7.09
2015,Percent,Aktobe,,KZ04,7.03
2016,Percent,Aktobe,,KZ04,7.01
2017,Percent,Aktobe,,KZ04,6.33
2018,Percent,Aktobe,,KZ04,6.33
2012,Percent,Almaty,,KZ01,10.94
2013,Percent,Almaty,,KZ01,11.23
2014,Percent,Almaty,,KZ01,10.61
2015,Percent,Almaty,,KZ01,10.83
2016,Percent,Almaty,,KZ01,10.96
2017,Percent,Almaty,,KZ01,10.93
2018,Percent,Almaty,,KZ01,10.44
2012,Percent,Atyrau,,KZ06,3.11
2013,Percent,Atyrau,,KZ06,3.09
2014,Percent,Atyrau,,KZ06,3.09
2015,Percent,Atyrau,,KZ06,3.08
2016,Percent,Atyrau,,KZ06,3.07
2017,Percent,Atyrau,,KZ06,3.06
2018,Percent,Atyrau,,KZ06,3.06
2012,Percent,Batys Kazakhstan,,KZ07,9.26
2013,Percent,Batys Kazakhstan,,KZ07,10.19
2014,Percent,Batys Kazakhstan,,KZ07,10.13
2015,Percent,Batys Kazakhstan,,KZ07,10.11
2016,Percent,Batys Kazakhstan,,KZ07,10.17
2017,Percent,Batys Kazakhstan,,KZ07,10.24
2018,Percent,Batys Kazakhstan,,KZ07,10.28
2012,Percent,Zhambyl,,KZ17,3.9
2013,Percent,Zhambyl,,KZ17,3.41
2014,Percent,Zhambyl,,KZ17,4.47
2015,Percent,Zhambyl,,KZ17,3.46
2016,Percent,Zhambyl,,KZ17,3.53
2017,Percent,Zhambyl,,KZ17,4.01
2018,Percent,Zhambyl,,KZ17,4.05
2012,Percent,Karagandy,,KZ12,6.72
2013,Percent,Karagandy,,KZ12,6.71
2014,Percent,Karagandy,,KZ12,6.75
2015,Percent,Karagandy,,KZ12,6.75
2016,Percent,Karagandy,,KZ12,6.77
2017,Percent,Karagandy,,KZ12,6.81
2018,Percent,Karagandy,,KZ12,6.87
2012,Percent,Kostanay,,KZ13,12.11
2013,Percent,Kostanay,,KZ13,12.08
2014,Percent,Kostanay,,KZ13,12.09
2015,Percent,Kostanay,,KZ13,12.05
2016,Percent,Kostanay,,KZ13,12.08
2017,Percent,Kostanay,,KZ13,12.11
2018,Percent,Kostanay,,KZ13,11.7
2012,Percent,Kyzylorda,,KZ14,2.97
2013,Percent,Kyzylorda,,KZ14,2.97
2014,Percent,Kyzylorda,,KZ14,2.98
2015,Percent,Kyzylorda,,KZ14,2.99
2016,Percent,Kyzylorda,,KZ14,3.03
2017,Percent,Kyzylorda,,KZ14,3.19
2018,Percent,Kyzylorda,,KZ14,3.22
2012,Percent,Mangistau,,KZ09,1.18
2013,Percent,Mangistau,,KZ09,1.24
2014,Percent,Mangistau,,KZ09,1.23
2015,Percent,Mangistau,,KZ09,1.24
2016,Percent,Mangistau,,KZ09,1.25
2017,Percent,Mangistau,,KZ09,0.83
2018,Percent,Mangistau,,KZ09,0.81
2012,Percent,Turkistan,,KZ10,6.26
2013,Percent,Turkistan,,KZ10,6.17
2014,Percent,Turkistan,,KZ10,6.53
2015,Percent,Turkistan,,KZ10,6.47
2016,Percent,Turkistan,,KZ10,6.22
2017,Percent,Turkistan,,KZ10,6.19
2018,Percent,Turkistan,,KZ10,15.27
2012,Percent,Pavlodar,,KZ11,10.56
2013,Percent,Pavlodar,,KZ11,10.49
2014,Percent,Pavlodar,,KZ11,10.31
2015,Percent,Pavlodar,,KZ11,10.34
2016,Percent,Pavlodar,,KZ11,10.27
2017,Percent,Pavlodar,,KZ11,10.34
2018,Percent,Pavlodar,,KZ11,13.85
2012,Percent,Soltustik Kazakhstan,,KZ16,8.0
2013,Percent,Soltustik Kazakhstan,,KZ16,8.12
2014,Percent,Soltustik Kazakhstan,,KZ16,8.19
2015,Percent,Soltustik Kazakhstan,,KZ16,8.32
2016,Percent,Soltustik Kazakhstan,,KZ16,3.41
2017,Percent,Soltustik Kazakhstan,,KZ16,8.35
2018,Percent,Soltustik Kazakhstan,,KZ16,3.14
2012,Percent,Shygys Kazakhstan,,KZ15,6.75
2013,Percent,Shygys Kazakhstan,,KZ15,6.77
2014,Percent,Shygys Kazakhstan,,KZ15,8.25
2015,Percent,Shygys Kazakhstan,,KZ15,6.92
2016,Percent,Shygys Kazakhstan,,KZ15,6.92
2017,Percent,Shygys Kazakhstan,,KZ15,7.2
2018,Percent,Shygys Kazakhstan,,KZ15,8.76
2012,Percent,,Male,,8.99
2013,Percent,,Male,,9.21
2014,Percent,,Male,,9.71
2015,Percent,,Male,,9.29
2016,Percent,,Male,,9.22
2017,Percent,,Male,,10.44
2018,Percent,,Male,,9.7
2012,Percent,Akmola,Male,,9.99
2013,Percent,Akmola,Male,,10.07
2014,Percent,Akmola,Male,,9.84
2015,Percent,Akmola,Male,,9.8
2016,Percent,Akmola,Male,,9.96
2017,Percent,Akmola,Male,,12.39
2018,Percent,Akmola,Male,,12.43
2012,Percent,Aktobe,Male,,4.72
2013,Percent,Aktobe,Male,,8.57
2014,Percent,Aktobe,Male,,8.46
2015,Percent,Aktobe,Male,,8.38
2016,Percent,Aktobe,Male,,8.37
2017,Percent,Aktobe,Male,,6.97
2018,Percent,Aktobe,Male,,6.99
2012,Percent,Almaty,Male,,16.07
2013,Percent,Almaty,Male,,16.68
2014,Percent,Almaty,Male,,15.16
2015,Percent,Almaty,Male,,15.45
2016,Percent,Almaty,Male,,16.84
2017,Percent,Almaty,Male,,20.6
2018,Percent,Almaty,Male,,19.32
2012,Percent,Atyrau,Male,,4.83
2013,Percent,Atyrau,Male,,4.68
2014,Percent,Atyrau,Male,,4.71
2015,Percent,Atyrau,Male,,4.44
2016,Percent,Atyrau,Male,,4.48
2017,Percent,Atyrau,Male,,4.45
2018,Percent,Atyrau,Male,,4.48
2012,Percent,Batys Kazakhstan,Male,,12.48
2013,Percent,Batys Kazakhstan,Male,,14.7
2014,Percent,Batys Kazakhstan,Male,,14.58
2015,Percent,Batys Kazakhstan,Male,,14.56
2016,Percent,Batys Kazakhstan,Male,,14.67
2017,Percent,Batys Kazakhstan,Male,,15.77
2018,Percent,Batys Kazakhstan,Male,,14.86
2012,Percent,Zhambyl,Male,,6.08
2013,Percent,Zhambyl,Male,,5.36
2014,Percent,Zhambyl,Male,,7.72
2015,Percent,Zhambyl,Male,,5.48
2016,Percent,Zhambyl,Male,,5.63
2017,Percent,Zhambyl,Male,,6.71
2018,Percent,Zhambyl,Male,,7.02
2012,Percent,Karagandy,Male,,9.56
2013,Percent,Karagandy,Male,,9.55
2014,Percent,Karagandy,Male,,9.83
2015,Percent,Karagandy,Male,,9.82
2016,Percent,Karagandy,Male,,9.84
2017,Percent,Karagandy,Male,,10.02
2018,Percent,Karagandy,Male,,10.1
2012,Percent,Kostanay,Male,,12.13
2013,Percent,Kostanay,Male,,12.08
2014,Percent,Kostanay,Male,,12.08
2015,Percent,Kostanay,Male,,11.98
2016,Percent,Kostanay,Male,,12.0
2017,Percent,Kostanay,Male,,11.95
2018,Percent,Kostanay,Male,,11.32
2012,Percent,Kyzylorda,Male,,5.82
2013,Percent,Kyzylorda,Male,,5.84
2014,Percent,Kyzylorda,Male,,5.85
2015,Percent,Kyzylorda,Male,,5.87
2016,Percent,Kyzylorda,Male,,5.96
2017,Percent,Kyzylorda,Male,,6.27
2018,Percent,Kyzylorda,Male,,6.33
2012,Percent,Mangistau,Male,,2.4
2013,Percent,Mangistau,Male,,2.53
2014,Percent,Mangistau,Male,,2.51
2015,Percent,Mangistau,Male,,2.52
2016,Percent,Mangistau,Male,,2.55
2017,Percent,Mangistau,Male,,1.68
2018,Percent,Mangistau,Male,,1.65
2012,Percent,Turkistan,Male,,12.01
2013,Percent,Turkistan,Male,,11.79
2014,Percent,Turkistan,Male,,12.2
2015,Percent,Turkistan,Male,,12.38
2016,Percent,Turkistan,Male,,11.77
2017,Percent,Turkistan,Male,,11.62
2018,Percent,Turkistan,Male,,30.12
2012,Percent,Pavlodar,Male,,16.39
2013,Percent,Pavlodar,Male,,15.88
2014,Percent,Pavlodar,Male,,22.25
2015,Percent,Pavlodar,Male,,22.3
2016,Percent,Pavlodar,Male,,22.35
2017,Percent,Pavlodar,Male,,22.34
2018,Percent,Pavlodar,Male,,29.36
2012,Percent,Soltustik Kazakhstan,Male,,10.84
2013,Percent,Soltustik Kazakhstan,Male,,11.03
2014,Percent,Soltustik Kazakhstan,Male,,11.12
2015,Percent,Soltustik Kazakhstan,Male,,11.08
2016,Percent,Soltustik Kazakhstan,Male,,7.11
2017,Percent,Soltustik Kazakhstan,Male,,14.88
2018,Percent,Soltustik Kazakhstan,Male,,5.17
2012,Percent,Shygys Kazakhstan,Male,,9.2
2013,Percent,Shygys Kazakhstan,Male,,9.09
2014,Percent,Shygys Kazakhstan,Male,,11.93
2015,Percent,Shygys Kazakhstan,Male,,8.92
2016,Percent,Shygys Kazakhstan,Male,,9.28
2017,Percent,Shygys Kazakhstan,Male,,15.04
2018,Percent,Shygys Kazakhstan,Male,,13.19
2012,Percent,,Female,,3.51
2013,Percent,,Female,,3.69
2014,Percent,,Female,,3.43
2015,Percent,,Female,,3.4
2016,Percent,,Female,,3.04
2017,Percent,,Female,,2.63
2018,Percent,,Female,,2.61
2012,Percent,Akmola,Female,,4.95
2013,Percent,Akmola,Female,,4.93
2014,Percent,Akmola,Female,,4.92
2015,Percent,Akmola,Female,,4.9
2016,Percent,Akmola,Female,,4.92
2017,Percent,Akmola,Female,,3.29
2018,Percent,Akmola,Female,,2.88
2012,Percent,Aktobe,Female,,1.87
2013,Percent,Aktobe,Female,,5.94
2014,Percent,Aktobe,Female,,5.87
2015,Percent,Aktobe,Female,,5.83
2016,Percent,Aktobe,Female,,5.8
2017,Percent,Aktobe,Female,,5.77
2018,Percent,Aktobe,Female,,5.74
2012,Percent,Almaty,Female,,6.19
2013,Percent,Almaty,Female,,6.18
2014,Percent,Almaty,Female,,6.38
2015,Percent,Almaty,Female,,6.52
2016,Percent,Almaty,Female,,5.48
2017,Percent,Almaty,Female,,1.87
2018,Percent,Almaty,Female,,2.08
2012,Percent,Atyrau,Female,,1.54
2013,Percent,Atyrau,Female,,1.63
2014,Percent,Atyrau,Female,,1.61
2015,Percent,Atyrau,Female,,1.82
2016,Percent,Atyrau,Female,,1.78
2017,Percent,Atyrau,Female,,1.78
2018,Percent,Atyrau,Female,,1.76
2012,Percent,Batys Kazakhstan,Female,,6.38
2013,Percent,Batys Kazakhstan,Female,,6.18
2014,Percent,Batys Kazakhstan,Female,,6.16
2015,Percent,Batys Kazakhstan,Female,,6.15
2016,Percent,Batys Kazakhstan,Female,,6.17
2017,Percent,Batys Kazakhstan,Female,,5.31
2018,Percent,Batys Kazakhstan,Female,,6.19
2012,Percent,Zhambyl,Female,,1.93
2013,Percent,Zhambyl,Female,,1.63
2014,Percent,Zhambyl,Female,,1.5
2015,Percent,Zhambyl,Female,,1.61
2016,Percent,Zhambyl,Female,,1.6
2017,Percent,Zhambyl,Female,,1.53
2018,Percent,Zhambyl,Female,,1.32
2012,Percent,Karagandy,Female,,4.32
2013,Percent,Karagandy,Female,,4.31
2014,Percent,Karagandy,Female,,4.14
2015,Percent,Karagandy,Female,,4.15
2016,Percent,Karagandy,Female,,4.16
2017,Percent,Karagandy,Female,,4.08
2018,Percent,Karagandy,Female,,4.12
2012,Percent,Kostanay,Female,,12.09
2013,Percent,Kostanay,Female,,12.09
2014,Percent,Kostanay,Female,,12.1
2015,Percent,Kostanay,Female,,12.1
2016,Percent,Kostanay,Female,,12.16
2017,Percent,Kostanay,Female,,12.25
2018,Percent,Kostanay,Female,,12.04
2012,Percent,Kyzylorda,Female,,0.2
2013,Percent,Kyzylorda,Female,,0.2
2014,Percent,Kyzylorda,Female,,0.2
2015,Percent,Kyzylorda,Female,,0.19
2016,Percent,Kyzylorda,Female,,0.19
2017,Percent,Kyzylorda,Female,,0.19
2018,Percent,Kyzylorda,Female,,0.19
2012,Percent,Mangistau,Female,,0.03
2013,Percent,Mangistau,Female,,0.03
2014,Percent,Mangistau,Female,,0.01
2015,Percent,Mangistau,Female,,0.02
2016,Percent,Mangistau,Female,,0.01
2017,Percent,Mangistau,Female,,0.02
2018,Percent,Mangistau,Female,,0.01
2012,Percent,Turkistan,Female,,0.85
2013,Percent,Turkistan,Female,,0.87
2014,Percent,Turkistan,Female,,1.16
2015,Percent,Turkistan,Female,,0.88
2016,Percent,Turkistan,Female,,0.97
2017,Percent,Turkistan,Female,,1.03
2018,Percent,Turkistan,Female,,2.69
2012,Percent,Pavlodar,Female,,5.65
2013,Percent,Pavlodar,Female,,5.94
2014,Percent,Pavlodar,Female,,0.23
2015,Percent,Pavlodar,Female,,0.24
2016,Percent,Pavlodar,Female,,0.05
2017,Percent,Pavlodar,Female,,0.16
2018,Percent,Pavlodar,Female,,0.32
2012,Percent,Soltustik Kazakhstan,Female,,5.54
2013,Percent,Soltustik Kazakhstan,Female,,5.61
2014,Percent,Soltustik Kazakhstan,Female,,5.65
2015,Percent,Soltustik Kazakhstan,Female,,5.93
2016,Percent,Soltustik Kazakhstan,Female,,0.2
2017,Percent,Soltustik Kazakhstan,Female,,2.66
2018,Percent,Soltustik Kazakhstan,Female,,1.1
2012,Percent,Shygys Kazakhstan,Female,,4.62
2013,Percent,Shygys Kazakhstan,Female,,4.75
2014,Percent,Shygys Kazakhstan,Female,,5.07
2015,Percent,Shygys Kazakhstan,Female,,5.18
2016,Percent,Shygys Kazakhstan,Female,,4.88
2017,Percent,Shygys Kazakhstan,Female,,4.88
2018,Percent,Shygys Kazakhstan,Female,,4.93
