Year,Units,Sex,Value
2010,Percent,,4.1
2011,Percent,,4.0
2012,Percent,,4.2
2013,Percent,,4.1
2014,Percent,,4.9
2015,Percent,,5.1
2016,Percent,,4.8
2017,Percent,,5.2
2010,Percent,Male,4.0
2011,Percent,Male,3.7
2012,Percent,Male,3.8
2013,Percent,Male,3.7
2014,Percent,Male,4.3
2015,Percent,Male,4.6
2016,Percent,Male,4.1
2017,Percent,Male,4.5
2010,Percent,Female,4.2
2011,Percent,Female,4.2
2012,Percent,Female,4.5
2013,Percent,Female,4.5
2014,Percent,Female,5.4
2015,Percent,Female,5.6
2016,Percent,Female,5.6
2017,Percent,Female,5.9
