Year,Units,Sex,Age,Value
2015,per 100000 individuals,,,4.9
2015,per 100000 individuals,Male,,7.2
2015,per 100000 individuals,Female,,2.9
2015,per 100000 individuals,,0-17 лет,0.9
2015,per 100000 individuals,,18-24 лет,5.8
2015,per 100000 individuals,,25-54 лет,8.6
2015,per 100000 individuals,,55-59,9.2
2015,per 100000 individuals,,60+,4.9
2016,per 100000 individuals,,,4.8
2016,per 100000 individuals,Male,,7.2
2016,per 100000 individuals,Female,,2.6
2016,per 100000 individuals,,0-17 лет,0.5
2016,per 100000 individuals,,18-24 лет,6.5
2016,per 100000 individuals,,25-54 лет,9.8
2016,per 100000 individuals,,55-59,8.4
2016,per 100000 individuals,,60+,5.0
2017,per 100000 individuals,,,5.1
2017,per 100000 individuals,Male,,8.0
2017,per 100000 individuals,Female,,2.4
2017,per 100000 individuals,,0-17 лет,0.7
2017,per 100000 individuals,,18-24 лет,5.9
2017,per 100000 individuals,,25-54 лет,8.6
2017,per 100000 individuals,,55-59,7.0
2017,per 100000 individuals,,60+,5.3
2018,per 100000 individuals,,,4.4
2018,per 100000 individuals,Male,,6.5
2018,per 100000 individuals,Female,,2.5
2018,per 100000 individuals,,0-17 лет,0.6
2018,per 100000 individuals,,18-24 лет,5.1
2018,per 100000 individuals,,25-54 лет,9.2
2018,per 100000 individuals,,55-59,6.3
2018,per 100000 individuals,,60+,4.9
2019,per 100000 individuals,,,3.9
2019,per 100000 individuals,Male,,6.0
2019,per 100000 individuals,Female,,1.8
2019,per 100000 individuals,,0-17 лет,0.3
2019,per 100000 individuals,,18-24 лет,3.9
2019,per 100000 individuals,,25-54 лет,8.3
2019,per 100000 individuals,,55-59,5.6
2019,per 100000 individuals,,60+,3.2
