Year,Units,Regions,GeoCode,Value
2010,Percent,Akmola,KZ03,44.0
2011,Percent,Akmola,KZ03,49.0
2012,Percent,Akmola,KZ03,54.0
2013,Percent,Akmola,KZ03,60.0
2014,Percent,Akmola,KZ03,65.0
2015,Percent,Akmola,KZ03,66.0
2016,Percent,Akmola,KZ03,66.6
2017,Percent,Akmola,KZ03,67.1
2018,Percent,Akmola,KZ03,70.3
2013,Percent,Aktobe,KZ04,48.9
2014,Percent,Aktobe,KZ04,44.5
2015,Percent,Aktobe,KZ04,46.3
2016,Percent,Aktobe,KZ04,48.0
2017,Percent,Aktobe,KZ04,49.5
2018,Percent,Aktobe,KZ04,53.0
2010,Percent,Almaty,KZ01,58.0
2011,Percent,Almaty,KZ01,60.2
2012,Percent,Almaty,KZ01,64.0
2013,Percent,Almaty,KZ01,69.6
2014,Percent,Almaty,KZ01,74.6
2015,Percent,Almaty,KZ01,77.6
2016,Percent,Almaty,KZ01,77.8
2017,Percent,Almaty,KZ01,78.0
2018,Percent,Almaty,KZ01,78.1
2010,Percent,Atyrau,KZ06,24.0
2011,Percent,Atyrau,KZ06,30.0
2012,Percent,Atyrau,KZ06,32.0
2013,Percent,Atyrau,KZ06,37.0
2014,Percent,Atyrau,KZ06,42.0
2015,Percent,Atyrau,KZ06,47.0
2016,Percent,Atyrau,KZ06,49.0
2017,Percent,Atyrau,KZ06,51.0
2018,Percent,Atyrau,KZ06,54.0
2013,Percent,Batys Kazakhstan,KZ07,23.0
2014,Percent,Batys Kazakhstan,KZ07,24.0
2015,Percent,Batys Kazakhstan,KZ07,26.0
2016,Percent,Batys Kazakhstan,KZ07,27.6
2017,Percent,Batys Kazakhstan,KZ07,28.0
2018,Percent,Batys Kazakhstan,KZ07,28.7
2014,Percent,Zhambyl,KZ17,70.0
2015,Percent,Zhambyl,KZ17,74.0
2016,Percent,Zhambyl,KZ17,75.5
2017,Percent,Zhambyl,KZ17,77.0
2018,Percent,Zhambyl,KZ17,80.1
2010,Percent,Karagandy,KZ12,73.0
2011,Percent,Karagandy,KZ12,73.0
2012,Percent,Karagandy,KZ12,73.0
2013,Percent,Karagandy,KZ12,73.5
2014,Percent,Karagandy,KZ12,74.0
2015,Percent,Karagandy,KZ12,74.5
2016,Percent,Karagandy,KZ12,75.0
2017,Percent,Karagandy,KZ12,75.5
2018,Percent,Karagandy,KZ12,76.0
2010,Percent,Kostanay,KZ13,50.0
2011,Percent,Kostanay,KZ13,52.0
2012,Percent,Kostanay,KZ13,54.0
2013,Percent,Kostanay,KZ13,58.0
2014,Percent,Kostanay,KZ13,59.0
2015,Percent,Kostanay,KZ13,62.0
2016,Percent,Kostanay,KZ13,62.0
2017,Percent,Kostanay,KZ13,64.0
2018,Percent,Kostanay,KZ13,66.0
2010,Percent,Kyzylorda,KZ14,54.0
2011,Percent,Kyzylorda,KZ14,57.0
2012,Percent,Kyzylorda,KZ14,60.0
2013,Percent,Kyzylorda,KZ14,54.0
2014,Percent,Kyzylorda,KZ14,57.0
2015,Percent,Kyzylorda,KZ14,62.0
2016,Percent,Kyzylorda,KZ14,62.6
2017,Percent,Kyzylorda,KZ14,63.0
2018,Percent,Kyzylorda,KZ14,63.5
2010,Percent,Mangistau,KZ09,59.0
2011,Percent,Mangistau,KZ09,59.0
2012,Percent,Mangistau,KZ09,64.0
2013,Percent,Mangistau,KZ09,67.0
2014,Percent,Mangistau,KZ09,77.0
2015,Percent,Mangistau,KZ09,84.0
2016,Percent,Mangistau,KZ09,92.0
2017,Percent,Mangistau,KZ09,92.0
2018,Percent,Mangistau,KZ09,92.0
2011,Percent,Pavlodar,KZ11,67.0
2012,Percent,Pavlodar,KZ11,69.0
2013,Percent,Pavlodar,KZ11,71.0
2014,Percent,Pavlodar,KZ11,74.0
2015,Percent,Pavlodar,KZ11,76.0
2016,Percent,Pavlodar,KZ11,77.0
2017,Percent,Pavlodar,KZ11,78.1
2018,Percent,Pavlodar,KZ11,80.0
2010,Percent,Soltustik Kazakhstan,KZ16,40.0
2011,Percent,Soltustik Kazakhstan,KZ16,42.0
2012,Percent,Soltustik Kazakhstan,KZ16,46.0
2013,Percent,Soltustik Kazakhstan,KZ16,50.0
2014,Percent,Soltustik Kazakhstan,KZ16,51.0
2015,Percent,Soltustik Kazakhstan,KZ16,53.0
2016,Percent,Soltustik Kazakhstan,KZ16,55.0
2017,Percent,Soltustik Kazakhstan,KZ16,58.0
2018,Percent,Soltustik Kazakhstan,KZ16,61.0
2010,Percent,Turkistan,KZ10,49.0
2011,Percent,Turkistan,KZ10,50.0
2012,Percent,Turkistan,KZ10,67.5
2013,Percent,Turkistan,KZ10,70.0
2014,Percent,Turkistan,KZ10,74.5
2015,Percent,Turkistan,KZ10,77.0
2016,Percent,Turkistan,KZ10,64.0
2017,Percent,Turkistan,KZ10,64.4
2018,Percent,Turkistan,KZ10,71.2
2011,Percent,Shygys Kazakhstan,KZ15,66.0
2012,Percent,Shygys Kazakhstan,KZ15,68.0
2013,Percent,Shygys Kazakhstan,KZ15,74.0
