Year,Units,Area,Sex,Regions,GeoCode,Value
2016,Percent,,,,,85.4
2017,Percent,,,,,86.8
2018,Percent,,,,,87.9
2016,Percent,Urban,,,,88.5
2017,Percent,Urban,,,,89.7
2018,Percent,Urban,,,,90.2
2016,Percent,Rural,,,,81.3
2017,Percent,Rural,,,,83.0
2018,Percent,Rural,,,,84.8
2016,Percent,,Male,,,86.0
2017,Percent,,Male,,,87.1
2018,Percent,,Male,,,88.8
2016,Percent,,Female,,,84.8
2017,Percent,,Female,,,86.5
2018,Percent,,Female,,,87.1
2016,Percent,Urban,Male,,,89.0
2017,Percent,Urban,Male,,,89.7
2018,Percent,Urban,Male,,,91.1
2016,Percent,Urban,Female,,,88.0
2017,Percent,Urban,Female,,,89.6
2018,Percent,Urban,Female,,,89.5
2016,Percent,Rural,Male,,,82.3
2017,Percent,Rural,Male,,,83.9
2018,Percent,Rural,Male,,,85.8
2016,Percent,Rural,Female,,,80.2
2017,Percent,Rural,Female,,,82.1
2018,Percent,Rural,Female,,,83.7
2016,Percent,,,Akmola,KZ03,85.9
2017,Percent,,,Akmola,KZ03,84.7
2018,Percent,,,Akmola,KZ03,88.9
2016,Percent,,Male,Akmola,KZ03,87.6
2017,Percent,,Male,Akmola,KZ03,84.8
2018,Percent,,Male,Akmola,KZ03,90.2
2016,Percent,,Female,Akmola,KZ03,84.4
2017,Percent,,Female,Akmola,KZ03,84.6
2018,Percent,,Female,Akmola,KZ03,87.6
2016,Percent,Urban,,Akmola,KZ03,90.2
2017,Percent,Urban,,Akmola,KZ03,87.8
2018,Percent,Urban,,Akmola,KZ03,90.6
2016,Percent,Urban,Male,Akmola,KZ03,91.6
2017,Percent,Urban,Male,Akmola,KZ03,88.3
2018,Percent,Urban,Male,Akmola,KZ03,91.9
2016,Percent,Urban,Female,Akmola,KZ03,89.0
2017,Percent,Urban,Female,Akmola,KZ03,87.3
2018,Percent,Urban,Female,Akmola,KZ03,89.5
2016,Percent,Rural,,Akmola,KZ03,82.2
2017,Percent,Rural,,Akmola,KZ03,82.0
2018,Percent,Rural,,Akmola,KZ03,87.3
2016,Percent,Rural,Male,Akmola,KZ03,84.4
2017,Percent,Rural,Male,Akmola,KZ03,82.0
2018,Percent,Rural,Male,Akmola,KZ03,88.8
2016,Percent,Rural,Female,Akmola,KZ03,80.1
2017,Percent,Rural,Female,Akmola,KZ03,82.1
2018,Percent,Rural,Female,Akmola,KZ03,85.8
2016,Percent,,,Aktobe,KZ04,85.0
2017,Percent,,,Aktobe,KZ04,89.5
2018,Percent,,,Aktobe,KZ04,88.1
2016,Percent,,Male,Aktobe,KZ04,85.3
2017,Percent,,Male,Aktobe,KZ04,89.8
2018,Percent,,Male,Aktobe,KZ04,87.7
2016,Percent,,Female,Aktobe,KZ04,84.8
2017,Percent,,Female,Aktobe,KZ04,89.2
2018,Percent,,Female,Aktobe,KZ04,88.5
2016,Percent,Urban,,Aktobe,KZ04,90.2
2017,Percent,Urban,,Aktobe,KZ04,91.9
2018,Percent,Urban,,Aktobe,KZ04,90.4
2016,Percent,Urban,Male,Aktobe,KZ04,91.2
2017,Percent,Urban,Male,Aktobe,KZ04,91.8
2018,Percent,Urban,Male,Aktobe,KZ04,89.3
2016,Percent,Urban,Female,Aktobe,KZ04,89.3
2017,Percent,Urban,Female,Aktobe,KZ04,92.0
2018,Percent,Urban,Female,Aktobe,KZ04,91.4
2016,Percent,Rural,,Aktobe,KZ04,76.6
2017,Percent,Rural,,Aktobe,KZ04,85.3
2018,Percent,Rural,,Aktobe,KZ04,82.8
2016,Percent,Rural,Male,Aktobe,KZ04,76.2
2017,Percent,Rural,Male,Aktobe,KZ04,86.5
2018,Percent,Rural,Male,Aktobe,KZ04,84.2
2016,Percent,Rural,Female,Aktobe,KZ04,77.0
2017,Percent,Rural,Female,Aktobe,KZ04,84.1
2018,Percent,Rural,Female,Aktobe,KZ04,81.4
2016,Percent,,,Almaty,KZ01,87.9
2017,Percent,,,Almaty,KZ01,89.3
2018,Percent,,,Almaty,KZ01,92.0
2016,Percent,,Male,Almaty,KZ01,87.6
2017,Percent,,Male,Almaty,KZ01,89.8
2018,Percent,,Male,Almaty,KZ01,92.9
2016,Percent,,Female,Almaty,KZ01,88.2
2017,Percent,,Female,Almaty,KZ01,88.8
2018,Percent,,Female,Almaty,KZ01,91.0
2016,Percent,Urban,,Almaty,KZ01,88.4
2017,Percent,Urban,,Almaty,KZ01,86.3
2018,Percent,Urban,,Almaty,KZ01,90.1
2016,Percent,Urban,Male,Almaty,KZ01,89.0
2017,Percent,Urban,Male,Almaty,KZ01,85.2
2018,Percent,Urban,Male,Almaty,KZ01,90.7
2016,Percent,Urban,Female,Almaty,KZ01,87.8
2017,Percent,Urban,Female,Almaty,KZ01,87.4
2018,Percent,Urban,Female,Almaty,KZ01,89.7
2016,Percent,Rural,,Almaty,KZ01,87.8
2017,Percent,Rural,,Almaty,KZ01,90.2
2018,Percent,Rural,,Almaty,KZ01,92.5
2016,Percent,Rural,Male,Almaty,KZ01,87.2
2017,Percent,Rural,Male,Almaty,KZ01,91.1
2018,Percent,Rural,Male,Almaty,KZ01,93.5
2016,Percent,Rural,Female,Almaty,KZ01,88.3
2017,Percent,Rural,Female,Almaty,KZ01,89.2
2018,Percent,Rural,Female,Almaty,KZ01,91.4
2016,Percent,,,Atyrau,KZ06,85.1
2017,Percent,,,Atyrau,KZ06,87.7
2018,Percent,,,Atyrau,KZ06,86.1
2016,Percent,,Male,Atyrau,KZ06,86.1
2017,Percent,,Male,Atyrau,KZ06,87.0
2018,Percent,,Male,Atyrau,KZ06,86.0
2016,Percent,,Female,Atyrau,KZ06,84.2
2017,Percent,,Female,Atyrau,KZ06,88.5
2018,Percent,,Female,Atyrau,KZ06,86.2
2016,Percent,Urban,,Atyrau,KZ06,90.2
2017,Percent,Urban,,Atyrau,KZ06,93.6
2018,Percent,Urban,,Atyrau,KZ06,89.1
2016,Percent,Urban,Male,Atyrau,KZ06,92.9
2017,Percent,Urban,Male,Atyrau,KZ06,94.5
2018,Percent,Urban,Male,Atyrau,KZ06,90.4
2016,Percent,Urban,Female,Atyrau,KZ06,87.7
2017,Percent,Urban,Female,Atyrau,KZ06,92.7
2018,Percent,Urban,Female,Atyrau,KZ06,87.9
2016,Percent,Rural,,Atyrau,KZ06,80.6
2017,Percent,Rural,,Atyrau,KZ06,82.5
2018,Percent,Rural,,Atyrau,KZ06,83.0
2016,Percent,Rural,Male,Atyrau,KZ06,80.3
2017,Percent,Rural,Male,Atyrau,KZ06,80.5
2018,Percent,Rural,Male,Atyrau,KZ06,81.6
2016,Percent,Rural,Female,Atyrau,KZ06,80.9
2017,Percent,Rural,Female,Atyrau,KZ06,84.4
2018,Percent,Rural,Female,Atyrau,KZ06,84.3
2016,Percent,,,Batys Kazakhstan,KZ07,90.1
2017,Percent,,,Batys Kazakhstan,KZ07,90.7
2018,Percent,,,Batys Kazakhstan,KZ07,90.2
2016,Percent,,Male,Batys Kazakhstan,KZ07,90.8
2017,Percent,,Male,Batys Kazakhstan,KZ07,91.1
2018,Percent,,Male,Batys Kazakhstan,KZ07,91.2
2016,Percent,,Female,Batys Kazakhstan,KZ07,89.4
2017,Percent,,Female,Batys Kazakhstan,KZ07,90.4
2018,Percent,,Female,Batys Kazakhstan,KZ07,89.2
2016,Percent,Urban,,Batys Kazakhstan,KZ07,95.0
2017,Percent,Urban,,Batys Kazakhstan,KZ07,97.3
2018,Percent,Urban,,Batys Kazakhstan,KZ07,95.7
2016,Percent,Urban,Male,Batys Kazakhstan,KZ07,95.7
2017,Percent,Urban,Male,Batys Kazakhstan,KZ07,97.3
2018,Percent,Urban,Male,Batys Kazakhstan,KZ07,96.7
2016,Percent,Urban,Female,Batys Kazakhstan,KZ07,94.4
2017,Percent,Urban,Female,Batys Kazakhstan,KZ07,97.4
2018,Percent,Urban,Female,Batys Kazakhstan,KZ07,94.8
2016,Percent,Rural,,Batys Kazakhstan,KZ07,85.2
2017,Percent,Rural,,Batys Kazakhstan,KZ07,84.0
2018,Percent,Rural,,Batys Kazakhstan,KZ07,84.4
2016,Percent,Rural,Male,Batys Kazakhstan,KZ07,86.5
2017,Percent,Rural,Male,Batys Kazakhstan,KZ07,85.3
2018,Percent,Rural,Male,Batys Kazakhstan,KZ07,85.9
2016,Percent,Rural,Female,Batys Kazakhstan,KZ07,84.0
2017,Percent,Rural,Female,Batys Kazakhstan,KZ07,82.6
2018,Percent,Rural,Female,Batys Kazakhstan,KZ07,82.8
2016,Percent,,,Zhambyl,KZ17,75.8
2017,Percent,,,Zhambyl,KZ17,81.9
2018,Percent,,,Zhambyl,KZ17,83.0
2016,Percent,,Male,Zhambyl,KZ17,77.0
2017,Percent,,Male,Zhambyl,KZ17,82.0
2018,Percent,,Male,Zhambyl,KZ17,84.2
2016,Percent,,Female,Zhambyl,KZ17,74.7
2017,Percent,,Female,Zhambyl,KZ17,81.7
2018,Percent,,Female,Zhambyl,KZ17,81.9
2016,Percent,Urban,,Zhambyl,KZ17,81.4
2017,Percent,Urban,,Zhambyl,KZ17,84.2
2018,Percent,Urban,,Zhambyl,KZ17,78.7
2016,Percent,Urban,Male,Zhambyl,KZ17,80.7
2017,Percent,Urban,Male,Zhambyl,KZ17,83.5
2018,Percent,Urban,Male,Zhambyl,KZ17,78.5
2016,Percent,Urban,Female,Zhambyl,KZ17,82.0
2017,Percent,Urban,Female,Zhambyl,KZ17,84.8
2018,Percent,Urban,Female,Zhambyl,KZ17,78.8
2016,Percent,Rural,,Zhambyl,KZ17,72.1
2017,Percent,Rural,,Zhambyl,KZ17,80.3
2018,Percent,Rural,,Zhambyl,KZ17,85.9
2016,Percent,Rural,Male,Zhambyl,KZ17,74.7
2017,Percent,Rural,Male,Zhambyl,KZ17,81.0
2018,Percent,Rural,Male,Zhambyl,KZ17,87.7
2016,Percent,Rural,Female,Zhambyl,KZ17,69.4
2017,Percent,Rural,Female,Zhambyl,KZ17,79.5
2018,Percent,Rural,Female,Zhambyl,KZ17,84.1
2016,Percent,,,Kostanay,KZ13,89.7
2017,Percent,,,Kostanay,KZ13,93.1
2018,Percent,,,Kostanay,KZ13,91.3
2016,Percent,,Male,Kostanay,KZ13,91.2
2017,Percent,,Male,Kostanay,KZ13,93.9
2018,Percent,,Male,Kostanay,KZ13,91.4
2016,Percent,,Female,Kostanay,KZ13,88.4
2017,Percent,,Female,Kostanay,KZ13,92.4
2018,Percent,,Female,Kostanay,KZ13,91.2
2016,Percent,Urban,,Kostanay,KZ13,92.3
2017,Percent,Urban,,Kostanay,KZ13,95.4
2018,Percent,Urban,,Kostanay,KZ13,93.7
2016,Percent,Urban,Male,Kostanay,KZ13,94.1
2017,Percent,Urban,Male,Kostanay,KZ13,95.9
2018,Percent,Urban,Male,Kostanay,KZ13,93.2
2016,Percent,Urban,Female,Kostanay,KZ13,90.8
2017,Percent,Urban,Female,Kostanay,KZ13,95.0
2018,Percent,Urban,Female,Kostanay,KZ13,94.1
2016,Percent,Rural,,Kostanay,KZ13,86.9
2017,Percent,Rural,,Kostanay,KZ13,90.5
2018,Percent,Rural,,Kostanay,KZ13,88.6
2016,Percent,Rural,Male,Kostanay,KZ13,88.3
2017,Percent,Rural,Male,Kostanay,KZ13,91.8
2018,Percent,Rural,Male,Kostanay,KZ13,89.6
2016,Percent,Rural,Female,Kostanay,KZ13,85.6
2017,Percent,Rural,Female,Kostanay,KZ13,89.2
2018,Percent,Rural,Female,Kostanay,KZ13,87.6
2016,Percent,,,Kyzylorda,KZ14,83.9
2017,Percent,,,Kyzylorda,KZ14,83.1
2018,Percent,,,Kyzylorda,KZ14,85.9
2016,Percent,,Male,Kyzylorda,KZ14,84.1
2017,Percent,,Male,Kyzylorda,KZ14,82.8
2018,Percent,,Male,Kyzylorda,KZ14,86.6
2016,Percent,,Female,Kyzylorda,KZ14,83.6
