Year,Units,Regions,Value
2010,в процентах к 2005 году,,125.5
2010,в процентах к 2005 году,Akmola,143.4
2010,в процентах к 2005 году,Aktobe,117.1
2010,в процентах к 2005 году,Almaty,110.4
2010,в процентах к 2005 году,Atyrau,154.5
2010,в процентах к 2005 году,Batys Kazakhstan,119.1
2010,в процентах к 2005 году,Zhambyl,126.7
2010,в процентах к 2005 году,Karagandy,117.4
2010,в процентах к 2005 году,Kostanay,126.5
2010,в процентах к 2005 году,Kyzylorda,120.0
2010,в процентах к 2005 году,Mangistau,96.9
2010,в процентах к 2005 году,Ontustik Kazakhstan,114.4
2010,в процентах к 2005 году,Pavlodar,139.3
2010,в процентах к 2005 году,Soltustik Kazakhstan,131.5
2010,в процентах к 2005 году,Shygys Kazakhstan,127.4
2010,в процентах к 2005 году,Nur-Sultan city,108.5
2010,в процентах к 2005 году,Almaty city,120.4
2011,в процентах к 2005 году,,132.9
2011,в процентах к 2005 году,Akmola,167.1
2011,в процентах к 2005 году,Aktobe,123.0
2011,в процентах к 2005 году,Almaty,118.0
2011,в процентах к 2005 году,Atyrau,156.2
2011,в процентах к 2005 году,Batys Kazakhstan,123.4
2011,в процентах к 2005 году,Zhambyl,142.0
2011,в процентах к 2005 году,Karagandy,124.0
2011,в процентах к 2005 году,Kostanay,146.6
2011,в процентах к 2005 году,Kyzylorda,124.9
2011,в процентах к 2005 году,Mangistau,92.9
2011,в процентах к 2005 году,Ontustik Kazakhstan,118.4
2011,в процентах к 2005 году,Pavlodar,154.1
2011,в процентах к 2005 году,Soltustik Kazakhstan,154.2
2011,в процентах к 2005 году,Shygys Kazakhstan,137.2
2011,в процентах к 2005 году,Nur-Sultan city,110.5
2011,в процентах к 2005 году,Almaty city,128.9
2012,в процентах к 2005 году,,137.3
2012,в процентах к 2005 году,Akmola,157.6
2012,в процентах к 2005 году,Aktobe,130.9
2012,в процентах к 2005 году,Almaty,124.3
2012,в процентах к 2005 году,Atyrau,149.3
2012,в процентах к 2005 году,Batys Kazakhstan,127.8
2012,в процентах к 2005 году,Zhambyl,154.2
2012,в процентах к 2005 году,Karagandy,125.0
2012,в процентах к 2005 году,Kostanay,137.2
2012,в процентах к 2005 году,Kyzylorda,126.5
2012,в процентах к 2005 году,Mangistau,90.1
2012,в процентах к 2005 году,Ontustik Kazakhstan,120.5
2012,в процентах к 2005 году,Pavlodar,166.3
2012,в процентах к 2005 году,Soltustik Kazakhstan,147.1
2012,в процентах к 2005 году,Shygys Kazakhstan,154.8
2012,в процентах к 2005 году,Nur-Sultan city,120.0
2012,в процентах к 2005 году,Almaty city,138.3
2013,в процентах к 2005 году,,143.5
2013,в процентах к 2005 году,Akmola,165.0
2013,в процентах к 2005 году,Aktobe,135.1
2013,в процентах к 2005 году,Almaty,135.0
2013,в процентах к 2005 году,Atyrau,151.8
2013,в процентах к 2005 году,Batys Kazakhstan,130.7
2013,в процентах к 2005 году,Zhambyl,157.1
2013,в процентах к 2005 году,Karagandy,133.8
2013,в процентах к 2005 году,Kostanay,151.1
2013,в процентах к 2005 году,Kyzylorda,129.7
2013,в процентах к 2005 году,Mangistau,91.6
2013,в процентах к 2005 году,Ontustik Kazakhstan,121.6
2013,в процентах к 2005 году,Pavlodar,165.8
2013,в процентах к 2005 году,Soltustik Kazakhstan,159.5
