Year,Units,Regions,Sex,Area,Age,GeoCode,Value
2010,Percent,,,,,,7.0
2011,Percent,,,,,,6.5
2012,Percent,,,,,,6.4
2013,Percent,,,,,,6.4
2014,Percent,,,,,,6.3
2015,Percent,,,,,,6.6
2016,Percent,,,,,,6.6
2017,Percent,,,,,,6.8
2018,Percent,,,,,,6.7
2010,Percent,Akmola,,,,KZ03,7.3
2011,Percent,Akmola,,,,KZ03,7.3
2012,Percent,Akmola,,,,KZ03,7.2
2013,Percent,Akmola,,,,KZ03,7.3
2014,Percent,Akmola,,,,KZ03,7.0
2015,Percent,Akmola,,,,KZ03,7.3
2016,Percent,Akmola,,,,KZ03,7.4
2017,Percent,Akmola,,,,KZ03,7.7
2018,Percent,Akmola,,,,KZ03,7.8
2010,Percent,Aktobe,,,,KZ04,5.7
2011,Percent,Aktobe,,,,KZ04,5.5
2012,Percent,Aktobe,,,,KZ04,5.4
2013,Percent,Aktobe,,,,KZ04,5.7
2014,Percent,Aktobe,,,,KZ04,6.2
2015,Percent,Aktobe,,,,KZ04,6.2
2016,Percent,Aktobe,,,,KZ04,7.1
2017,Percent,Aktobe,,,,KZ04,7.1
2018,Percent,Aktobe,,,,KZ04,7.0
2010,Percent,Almaty,,,,KZ01,4.5
2011,Percent,Almaty,,,,KZ01,3.8
2012,Percent,Almaty,,,,KZ01,3.6
2013,Percent,Almaty,,,,KZ01,3.4
2014,Percent,Almaty,,,,KZ01,4.0
2015,Percent,Almaty,,,,KZ01,4.6
2016,Percent,Almaty,,,,KZ01,4.5
2017,Percent,Almaty,,,,KZ01,5.5
2018,Percent,Almaty,,,,KZ01,5.3
2010,Percent,Atyrau,,,,KZ06,3.9
2011,Percent,Atyrau,,,,KZ06,3.7
2012,Percent,Atyrau,,,,KZ06,5.4
2013,Percent,Atyrau,,,,KZ06,6.0
2014,Percent,Atyrau,,,,KZ06,3.8
2015,Percent,Atyrau,,,,KZ06,5.1
2016,Percent,Atyrau,,,,KZ06,4.3
2017,Percent,Atyrau,,,,KZ06,3.9
2018,Percent,Atyrau,,,,KZ06,3.9
2010,Percent,Batys Kazakhstan,,,,KZ07,3.3
2011,Percent,Batys Kazakhstan,,,,KZ07,3.6
2012,Percent,Batys Kazakhstan,,,,KZ07,3.8
2013,Percent,Batys Kazakhstan,,,,KZ07,4.2
2014,Percent,Batys Kazakhstan,,,,KZ07,4.7
2015,Percent,Batys Kazakhstan,,,,KZ07,4.5
2016,Percent,Batys Kazakhstan,,,,KZ07,5.3
2017,Percent,Batys Kazakhstan,,,,KZ07,5.1
2018,Percent,Batys Kazakhstan,,,,KZ07,5.2
2010,Percent,Zhambyl,,,,KZ17,4.4
2011,Percent,Zhambyl,,,,KZ17,4.3
2012,Percent,Zhambyl,,,,KZ17,4.5
2013,Percent,Zhambyl,,,,KZ17,3.5
2014,Percent,Zhambyl,,,,KZ17,3.2
2015,Percent,Zhambyl,,,,KZ17,3.4
2016,Percent,Zhambyl,,,,KZ17,3.9
2017,Percent,Zhambyl,,,,KZ17,5.0
2018,Percent,Zhambyl,,,,KZ17,4.9
2010,Percent,Karagandy,,,,KZ12,19.6
2011,Percent,Karagandy,,,,KZ12,19.0
2012,Percent,Karagandy,,,,KZ12,17.5
2013,Percent,Karagandy,,,,KZ12,16.9
2014,Percent,Karagandy,,,,KZ12,14.5
2015,Percent,Karagandy,,,,KZ12,14.4
2016,Percent,Karagandy,,,,KZ12,14.1
2017,Percent,Karagandy,,,,KZ12,13.9
2018,Percent,Karagandy,,,,KZ12,13.8
2010,Percent,Kostanay,,,,KZ13,4.4
2011,Percent,Kostanay,,,,KZ13,4.6
2012,Percent,Kostanay,,,,KZ13,4.6
2013,Percent,Kostanay,,,,KZ13,4.7
2014,Percent,Kostanay,,,,KZ13,4.5
2015,Percent,Kostanay,,,,KZ13,4.7
2016,Percent,Kostanay,,,,KZ13,4.7
2017,Percent,Kostanay,,,,KZ13,4.9
2018,Percent,Kostanay,,,,KZ13,5.1
2010,Percent,Kyzylorda,,,,KZ14,4.4
2011,Percent,Kyzylorda,,,,KZ14,4.2
2012,Percent,Kyzylorda,,,,KZ14,3.2
2013,Percent,Kyzylorda,,,,KZ14,2.5
2014,Percent,Kyzylorda,,,,KZ14,3.3
2015,Percent,Kyzylorda,,,,KZ14,3.2
2016,Percent,Kyzylorda,,,,KZ14,4.0
2017,Percent,Kyzylorda,,,,KZ14,3.7
2018,Percent,Kyzylorda,,,,KZ14,3.6
2010,Percent,Mangistau,,,,KZ09,4.6
2011,Percent,Mangistau,,,,KZ09,7.0
2012,Percent,Mangistau,,,,KZ09,6.2
2013,Percent,Mangistau,,,,KZ09,5.4
2014,Percent,Mangistau,,,,KZ09,5.8
2015,Percent,Mangistau,,,,KZ09,6.6
2016,Percent,Mangistau,,,,KZ09,7.0
2017,Percent,Mangistau,,,,KZ09,6.1
2018,Percent,Mangistau,,,,KZ09,5.8
2010,Percent,Ontustik Kazakhstan,,,,KZ10,3.4
2011,Percent,Ontustik Kazakhstan,,,,KZ10,2.7
2012,Percent,Ontustik Kazakhstan,,,,KZ10,2.6
