Year,Units,Budget Income,Value
2010,As as pecentage of GDP,,13.449512659178328
2011,As as pecentage of GDP,,14.10023908200086
2012,As as pecentage of GDP,,13.204390372567033
2013,As as pecentage of GDP,,13.275371720225834
2014,As as pecentage of GDP,,12.9
2015,As as pecentage of GDP,,11.9
2016,As as pecentage of GDP,,12.8
2017,As as pecentage of GDP,,12.8
2018,As as pecentage of GDP,,13.4
2010,million tenge,Tax income,2934080720.5802
2011,million tenge,Tax income,3982337954.7555
2012,million tenge,Tax income,4095366313.4441
2013,million tenge,Tax income,4779004397.6824
2014,million tenge,Tax income,5115244101.33998
2015,million tenge,Tax income,4883589901.38814
2016,million tenge,Tax income,6023262753.336421
2017,million tenge,Tax income,6810851289.54264
2018,million tenge,Tax income,7890048341.5
2010,million tenge,Corporate Income Tax,837233485.8156
2011,million tenge,Corporate Income Tax,1050380051.5758
2012,million tenge,Corporate Income Tax,1041216834.8762
2013,million tenge,Corporate Income Tax,1032736596.9465
2014,million tenge,Corporate Income Tax,1169666806.4632
2015,million tenge,Corporate Income Tax,1224645230.27333
2016,million tenge,Corporate Income Tax,1437364514.30398
2017,million tenge,Corporate Income Tax,1538785451.60939
2018,million tenge,Corporate Income Tax,1687576978.1008
2010,As as pecentage of GDP,Corporate Income Tax,3.837788881260985
2011,As as pecentage of GDP,Corporate Income Tax,3.7190740772005846
2012,As as pecentage of GDP,Corporate Income Tax,3.3571193631838407
2013,As as pecentage of GDP,Corporate Income Tax,2.868790457735201
2014,As as pecentage of GDP,Corporate Income Tax,2.948058606384543
2015,As as pecentage of GDP,Corporate Income Tax,2.9954046287367824
2016,As as pecentage of GDP,Corporate Income Tax,3.060100751852957
2017,As as pecentage of GDP,Corporate Income Tax,2.89783108702546
2018,As as pecentage of GDP,Corporate Income Tax,2.8974801987727234
2010,million tenge,Individual Income Tax,312331729.7058
2011,million tenge,Individual Income Tax,376245074.8671
2012,million tenge,Individual Income Tax,438497838.4627
2013,million tenge,Individual Income Tax,492991056.3221
2014,million tenge,Individual Income Tax,552280283.57987
2015,million tenge,Individual Income Tax,598806790.41336
2016,million tenge,Individual Income Tax,691778129.83524
2017,million tenge,Individual Income Tax,750211816.07174
2018,million tenge,Individual Income Tax,838394478.84444
2010,As as pecentage of GDP,Individual Income Tax,1.431695291501916
2011,As as pecentage of GDP,Individual Income Tax,1.332168582708129
2012,As as pecentage of GDP,Individual Income Tax,1.413816541289808
2013,As as pecentage of GDP,Individual Income Tax,1.369456686542603
2014,As as pecentage of GDP,Individual Income Tax,1.3919815747078368
2015,As as pecentage of GDP,Individual Income Tax,1.4646434635791328
2016,As as pecentage of GDP,Individual Income Tax,1.4727723929161625
2017,As as pecentage of GDP,Individual Income Tax,1.4127941749077353
2018,As as pecentage of GDP,Individual Income Tax,1.4394788698445034
2010,million tenge,Social Security Taxes,253829912.8023
2011,million tenge,Social Security Taxes,296843078.9856
2012,million tenge,Social Security Taxes,340996885.856
2013,million tenge,Social Security Taxes,380477071.9693
2014,million tenge,Social Security Taxes,427984814.10445
2015,million tenge,Social Security Taxes,464673530.56258
2016,million tenge,Social Security Taxes,530439942.88051
2017,million tenge,Social Security Taxes,576606597.28897
2018,million tenge,Social Security Taxes,618505480.59255
2010,As as pecentage of GDP,Social Security Taxes,1.1635292108928703
2011,As as pecentage of GDP,Social Security Taxes,1.051030432647247
2012,As as pecentage of GDP,Social Security Taxes,1.0994513438007174
2013,As as pecentage of GDP,Social Security Taxes,1.0569093771633828
2014,As as pecentage of GDP,Social Security Taxes,1.0787040443061495
2015,As as pecentage of GDP,Social Security Taxes,1.1365620098711842
2016,As as pecentage of GDP,Social Security Taxes,1.129288814262606
2017,As as pecentage of GDP,Social Security Taxes,1.0858619184762712
2018,As as pecentage of GDP,Social Security Taxes,1.061941118008234
2010,million tenge,Property Taxes,107917342.7611
2011,million tenge,Property Taxes,117398800.3693
2012,million tenge,Property Taxes,127485042.9838
2013,million tenge,Property Taxes,142444137.1708
2014,million tenge,Property Taxes,173154548.79718
2015,million tenge,Property Taxes,208984244.70926002
2016,million tenge,Property Taxes,210616456.99978998
2017,million tenge,Property Taxes,239511409.29825
2018,million tenge,Property Taxes,280543467.46389
2010,As as pecentage of GDP,Property Taxes,0.4946815734923908
2011,As as pecentage of GDP,Property Taxes,0.4156731979942805
2012,As as pecentage of GDP,Property Taxes,0.4110407092756295
2013,As as pecentage of GDP,Property Taxes,0.3956888742823205
2014,As as pecentage of GDP,Property Taxes,0.4364232232593661
2015,As as pecentage of GDP,Property Taxes,0.5111622194416761
2016,As as pecentage of GDP,Property Taxes,0.4483953597043929
2017,As as pecentage of GDP,Property Taxes,0.4510463800108314
2018,As as pecentage of GDP,Property Taxes,0.4816782596705393
2010,million tenge,Land Taxes,13467103.4462
2011,million tenge,Land Taxes,12977289.9903
2012,million tenge,Land Taxes,13038561.179000001
2013,million tenge,Land Taxes,14150049.5251
2014,million tenge,Land Taxes,14300176.04821
2015,million tenge,Land Taxes,14935091.687020002
2016,million tenge,Land Taxes,15255135.08386
2017,million tenge,Land Taxes,15353337.879910002
2018,million tenge,Land Taxes,16875844.36687
2010,As as pecentage of GDP,Land Taxes,0.061731763891728984
2011,As as pecentage of GDP,Land Taxes,0.045948609479810235
2012,As as pecentage of GDP,Land Taxes,0.04203928013446162
2013,As as pecentage of GDP,Land Taxes,0.039306757574109966
2014,As as pecentage of GDP,Land Taxes,0.03604253522352646
2015,As as pecentage of GDP,Land Taxes,0.0365302878450138
2016,As as pecentage of GDP,Land Taxes,0.032477669982233774
2017,As as pecentage of GDP,Land Taxes,0.028913309358023876
2018,As as pecentage of GDP,Land Taxes,0.028974930047697862
2010,million tenge,Vehicle Tax,26261779.1185
2011,million tenge,Vehicle Tax,29975091.8961
2012,million tenge,Vehicle Tax,30960804.7741
2013,million tenge,Vehicle Tax,36029294.302
2014,million tenge,Vehicle Tax,38843795.56726
2015,million tenge,Vehicle Tax,42277825.41119
2016,million tenge,Vehicle Tax,46879302.03746
2017,million tenge,Vehicle Tax,59980798.90098
2018,million tenge,Vehicle Tax,67191308.6814
2010,As as pecentage of GDP,Vehicle Tax,0.12038119068413553
2011,As as pecentage of GDP,Vehicle Tax,0.1061326203456045
2012,As as pecentage of GDP,Vehicle Tax,0.09982466065221092
2013,As as pecentage of GDP,Vehicle Tax,0.1000840833936917
2014,As as pecentage of GDP,Vehicle Tax,0.09790291149063693
2015,As as pecentage of GDP,Vehicle Tax,0.10340888185335058
2016,As as pecentage of GDP,Vehicle Tax,0.09980445877407727
2017,As as pecentage of GDP,Vehicle Tax,0.11295546334811847
2018,As as pecentage of GDP,Vehicle Tax,0.11536391463047893
2010,million tenge,Consolidated Land Tax,761649.2541
2011,million tenge,Consolidated Land Tax,818271.1437
2012,million tenge,Consolidated Land Tax,820242.3827
2013,million tenge,Consolidated Land Tax,829939.2835
2014,million tenge,Consolidated Land Tax,876472.42874
2015,million tenge,Consolidated Land Tax,832773.04591
2016,million tenge,Consolidated Land Tax,943671.05351
2017,million tenge,Consolidated Land Tax,1003674.39559
2018,million tenge,Consolidated Land Tax,1036102.79185
2010,As as pecentage of GDP,Consolidated Land Tax,0.0034913188355792804
2011,As as pecentage of GDP,Consolidated Land Tax,0.0028972475192102732
2012,As as pecentage of GDP,Consolidated Land Tax,0.002644647582742578
2013,As as pecentage of GDP,Consolidated Land Tax,0.002305449331459812
2014,As as pecentage of GDP,Consolidated Land Tax,0.002209083879723669
2015,As as pecentage of GDP,Consolidated Land Tax,0.0020369100983223475
2016,As as pecentage of GDP,Consolidated Land Tax,0.002009043963177397
2017,As as pecentage of GDP,Consolidated Land Tax,0.0018901133109558985
2018,As as pecentage of GDP,Consolidated Land Tax,0.0017789335610972022
2010,million tenge,Value added tax,677229029.0672
