Year,Units,View of PM particles,Regions,City,GeoCode,Value
2016,mg per cube meters,suspended particles PM-10,,city Taldıkorgan,,0.1
2014,mg per cube meters,suspended particles PM-10,,city Atyrau,,0.456
2015,mg per cube meters,suspended particles PM-10,,city Atyrau,,0.043
2016,mg per cube meters,suspended particles PM-10,,city Atyrau,,0.01
2017,mg per cube meters,suspended particles PM-10,,city Atyrau,,0.02
2018,mg per cube meters,suspended particles PM-10,,city Atyrau,,0.022000000000000002
2014,mg per cube meters,suspended particles PM-10,,Kulsary,,0.0212
2015,mg per cube meters,suspended particles PM-10,,Kulsary,,0.033
2016,mg per cube meters,suspended particles PM-10,,Kulsary,,0.0
2014,mg per cube meters,suspended particles PM-10,,city Ust-Kamenogorsk,,0.092
2015,mg per cube meters,suspended particles PM-10,,city Ust-Kamenogorsk,,0.0
2016,mg per cube meters,suspended particles PM-10,,city Ust-Kamenogorsk,,0.0
2017,mg per cube meters,suspended particles PM-10,,city Ust-Kamenogorsk,,0.5
2018,mg per cube meters,suspended particles PM-10,,city Ust-Kamenogorsk,,0.04
2014,mg per cube meters,suspended particles PM-10,,city Ridder,,0.154
2015,mg per cube meters,suspended particles PM-10,,city Ridder,,0.0
2016,mg per cube meters,suspended particles PM-10,,city Ridder,,0.0
2017,mg per cube meters,suspended particles PM-10,,city Ridder,,0.06
2018,mg per cube meters,suspended particles PM-10,,city Ridder,,0.04
2014,mg per cube meters,suspended particles PM-10,,city Semey,,0.215
2015,mg per cube meters,suspended particles PM-10,,city Semey,,0.021
2016,mg per cube meters,suspended particles PM-10,,city Semey,,0.024
2017,mg per cube meters,suspended particles PM-10,,city Semey,,0.02
2018,mg per cube meters,suspended particles PM-10,,city Semey,,0.03
2015,mg per cube meters,suspended particles PM-10,,village Glubokoye,,0.0347
2016,mg per cube meters,suspended particles PM-10,,village Glubokoye,,0.0553
2017,mg per cube meters,suspended particles PM-10,,village Glubokoye,,0.022000000000000002
2018,mg per cube meters,suspended particles PM-10,,village Glubokoye,,0.03
2014,mg per cube meters,suspended particles PM-10,,city Zyryanovsk,,0.013000000000000001
2016,mg per cube meters,suspended particles PM-10,,city Zyryanovsk,,0.0003
2017,mg per cube meters,suspended particles PM-10,,city Zyryanovsk,,0.02
2018,mg per cube meters,suspended particles PM-10,,city Zyryanovsk,,2.9999999999999997e-05
2014,mg per cube meters,suspended particles PM-10,,city Taraz,,0.047
2015,mg per cube meters,suspended particles PM-10,,city Taraz,,0.045
2016,mg per cube meters,suspended particles PM-10,,city Taraz,,0.1
2017,mg per cube meters,suspended particles PM-10,,city Taraz,,0.04
2018,mg per cube meters,suspended particles PM-10,,city Taraz,,0.027999999999999997
2015,mg per cube meters,suspended particles PM-10,,city Zhanatas,,0.034
2016,mg per cube meters,suspended particles PM-10,,city Zhanatas,,0.02
2017,mg per cube meters,suspended particles PM-10,,city Zhanatas,,0.03
2018,mg per cube meters,suspended particles PM-10,,city Zhanatas,,0.03
2015,mg per cube meters,suspended particles PM-10,,city Karatau,,0.005
2016,mg per cube meters,suspended particles PM-10,,city Karatau,,0.04
2017,mg per cube meters,suspended particles PM-10,,city Karatau,,0.06
2018,mg per cube meters,suspended particles PM-10,,city Karatau,,0.06
2015,mg per cube meters,suspended particles PM-10,,city Shu,,0.08199999999999999
2016,mg per cube meters,suspended particles PM-10,,city Shu,,0.1
2017,mg per cube meters,suspended particles PM-10,,city Shu,,0.1
2018,mg per cube meters,suspended particles PM-10,,city Shu,,0.06
2015,mg per cube meters,suspended particles PM-10,,village Kordai,,0.052000000000000005
2016,mg per cube meters,suspended particles PM-10,,village Kordai,,0.03
2017,mg per cube meters,suspended particles PM-10,,village Kordai,,0.04
2018,mg per cube meters,suspended particles PM-10,,village Kordai,,0.011000000000000001
2014,mg per cube meters,suspended particles PM-10,,city Uralsk,,0.027000000000000003
2015,mg per cube meters,suspended particles PM-10,,city Uralsk,,0.0626
2016,mg per cube meters,suspended particles PM-10,,city Uralsk,,0.04
2017,mg per cube meters,suspended particles PM-10,,city Uralsk,,0.02
2018,mg per cube meters,suspended particles PM-10,,city Uralsk,,0.01
2014,mg per cube meters,suspended particles PM-10,,city Aksay,,0.016
2015,mg per cube meters,suspended particles PM-10,,city Aksay,,0.035
2016,mg per cube meters,suspended particles PM-10,,city Aksay,,0.01
2017,mg per cube meters,suspended particles PM-10,,city Aksay,,0.011000000000000001
2018,mg per cube meters,suspended particles PM-10,,city Aksay,,0.0
2015,mg per cube meters,suspended particles PM-10,,village Berezovka,,0.0244
2016,mg per cube meters,suspended particles PM-10,,village Berezovka,,0.02
2017,mg per cube meters,suspended particles PM-10,,village Berezovka,,0.01
2015,mg per cube meters,suspended particles PM-10,,village Yanvartsevo,,0.0238
2016,mg per cube meters,suspended particles PM-10,,village Yanvartsevo,,0.006999999999999999
2014,mg per cube meters,suspended particles PM-10,,city Karagandy,,0.023
2015,mg per cube meters,suspended particles PM-10,,city Karagandy,,0.053
2016,mg per cube meters,suspended particles PM-10,,city Karagandy,,0.1
2017,mg per cube meters,suspended particles PM-10,,city Karagandy,,0.1
2018,mg per cube meters,suspended particles PM-10,,city Karagandy,,0.11
2015,mg per cube meters,suspended particles PM-10,,city Balkhash,,0.0357
2016,mg per cube meters,suspended particles PM-10,,city Balkhash,,0.04
2017,mg per cube meters,suspended particles PM-10,,city Balkhash,,0.03
2015,mg per cube meters,suspended particles PM-10,,city Zhezkazgan,,0.005
2016,mg per cube meters,suspended particles PM-10,,city Zhezkazgan,,0.03
2017,mg per cube meters,suspended particles PM-10,,city Zhezkazgan,,0.03
2015,mg per cube meters,suspended particles PM-10,,city Saran,,0.0421
2016,mg per cube meters,suspended particles PM-10,,city Saran,,0.03
2017,mg per cube meters,suspended particles PM-10,,city Saran,,0.03
2018,mg per cube meters,suspended particles PM-10,,city Saran,,0.02
2014,mg per cube meters,suspended particles PM-10,,city Temirtau,,0.002
2015,mg per cube meters,suspended particles PM-10,,city Temirtau,,0.0
2016,mg per cube meters,suspended particles PM-10,,city Temirtau,,0.0
2014,mg per cube meters,suspended particles PM-10,,city Kostanay,,0.049
2015,mg per cube meters,suspended particles PM-10,,city Kostanay,,0.085
2016,mg per cube meters,suspended particles PM-10,,city Kostanay,,0.05
2017,mg per cube meters,suspended particles PM-10,,city Kostanay,,0.01
2018,mg per cube meters,suspended particles PM-10,,city Kostanay,,0.04
2014,mg per cube meters,suspended particles PM-10,,city Rudny,,0.012
2015,mg per cube meters,suspended particles PM-10,,city Rudny,,0.016
2016,mg per cube meters,suspended particles PM-10,,city Rudny,,0.02
2017,mg per cube meters,suspended particles PM-10,,city Rudny,,0.03
2018,mg per cube meters,suspended particles PM-10,,city Rudny,,0.0
2015,mg per cube meters,suspended particles PM-10,,Karabalyk,,0.0298
2016,mg per cube meters,suspended particles PM-10,,Karabalyk,,0.03
2017,mg per cube meters,suspended particles PM-10,,Karabalyk,,0.03
2018,mg per cube meters,suspended particles PM-10,,Karabalyk,,0.02
2014,mg per cube meters,suspended particles PM-10,,city Arkalık,,0.027999999999999997
2015,mg per cube meters,suspended particles PM-10,,city Arkalık,,0.06
2017,mg per cube meters,suspended particles PM-10,,city Arkalık,,0.02
2018,mg per cube meters,suspended particles PM-10,,city Arkalık,,0.012
2014,mg per cube meters,suspended particles PM-10,,city Zhitikara,,0.013000000000000001
2015,mg per cube meters,suspended particles PM-10,,city Zhitikara,,0.02
2017,mg per cube meters,suspended particles PM-10,,city Zhitikara,,0.03
2018,mg per cube meters,suspended particles PM-10,,city Zhitikara,,0.033
2014,mg per cube meters,suspended particles PM-10,,,,0.011000000000000001
2015,mg per cube meters,suspended particles PM-10,,,,0.006999999999999999
2017,mg per cube meters,suspended particles PM-10,,,,0.023
2018,mg per cube meters,suspended particles PM-10,,,,0.026000000000000002
2014,mg per cube meters,suspended particles PM-10,,city Kyzylorda,,0.003
2015,mg per cube meters,suspended particles PM-10,,city Kyzylorda,,0.028999999999999998
2016,mg per cube meters,suspended particles PM-10,,city Kyzylorda,,0.02
2017,mg per cube meters,suspended particles PM-10,,city Kyzylorda,,0.04
2018,mg per cube meters,suspended particles PM-10,,city Kyzylorda,,0.0054
2014,mg per cube meters,suspended particles PM-10,,village Akay,,0.0001
2015,mg per cube meters,suspended particles PM-10,,village Akay,,0.0002
2016,mg per cube meters,suspended particles PM-10,,village Akay,,0.0001
2014,mg per cube meters,suspended particles PM-10,,village Toretam,,0.0036
2015,mg per cube meters,suspended particles PM-10,,village Toretam,,0.0006
2016,mg per cube meters,suspended particles PM-10,,village Toretam,,0.0001
2017,mg per cube meters,suspended particles PM-10,,village Toretam,,0.0
2018,mg per cube meters,suspended particles PM-10,,village Toretam,,0.0
2015,mg per cube meters,suspended particles PM-10,,city Aktau,,0.063
2016,mg per cube meters,suspended particles PM-10,,city Aktau,,0.01
2017,mg per cube meters,suspended particles PM-10,,city Aktau,,0.1
2018,mg per cube meters,suspended particles PM-10,,city Aktau,,0.032
2014,mg per cube meters,suspended particles PM-10,,city Zhanaozen,,0.0301
2015,mg per cube meters,suspended particles PM-10,,city Zhanaozen,,0.046
2016,mg per cube meters,suspended particles PM-10,,city Zhanaozen,,0.02
2017,mg per cube meters,suspended particles PM-10,,city Zhanaozen,,0.002
2018,mg per cube meters,suspended particles PM-10,,city Zhanaozen,,0.0
2015,mg per cube meters,suspended particles PM-10,,village Beineu,,0.0807
2016,mg per cube meters,suspended particles PM-10,,village Beineu,,0.06
2017,mg per cube meters,suspended particles PM-10,,village Beineu,,0.05
2018,mg per cube meters,suspended particles PM-10,,village Beineu,,0.011000000000000001
2014,mg per cube meters,suspended particles PM-10,,city Pavlodar,,0.028999999999999998
2015,mg per cube meters,suspended particles PM-10,,city Pavlodar,,0.039
2016,mg per cube meters,suspended particles PM-10,,city Pavlodar,,0.016
2017,mg per cube meters,suspended particles PM-10,,city Pavlodar,,0.0069
2018,mg per cube meters,suspended particles PM-10,,city Pavlodar,,0.0066
2014,mg per cube meters,suspended particles PM-10,,city Ekibastuz,,0.0272
2015,mg per cube meters,suspended particles PM-10,,city Ekibastuz,,0.022000000000000002
2016,mg per cube meters,suspended particles PM-10,,city Ekibastuz,,0.02
2017,mg per cube meters,suspended particles PM-10,,city Ekibastuz,,0.01
2018,mg per cube meters,suspended particles PM-10,,city Ekibastuz,,0.0057
2014,mg per cube meters,suspended particles PM-10,,city Aksu,,0.016
2015,mg per cube meters,suspended particles PM-10,,city Aksu,,0.023
2016,mg per cube meters,suspended particles PM-10,,city Aksu,,0.02
2014,mg per cube meters,suspended particles PM-10,,city Petropavl,,0.0069
2015,mg per cube meters,suspended particles PM-10,,city Petropavl,,0.012
2016,mg per cube meters,suspended particles PM-10,,city Petropavl,,0.015
2017,mg per cube meters,suspended particles PM-10,,city Petropavl,,0.0024
2018,mg per cube meters,suspended particles PM-10,,city Petropavl,,0.01
2015,mg per cube meters,suspended particles PM-10,Shymkent city,,,0.057
2016,mg per cube meters,suspended particles PM-10,Shymkent city,,,0.1
2017,mg per cube meters,suspended particles PM-10,Shymkent city,,,0.1
2018,mg per cube meters,suspended particles PM-10,Shymkent city,,,0.053
2014,mg per cube meters,suspended particles PM-10,,city Turkistan,,0.057999999999999996
2015,mg per cube meters,suspended particles PM-10,,city Turkistan,,0.149
2016,mg per cube meters,suspended particles PM-10,,city Turkistan,,0.0
2015,mg per cube meters,suspended particles PM-10,,city Kentau,,0.006999999999999999
2016,mg per cube meters,suspended particles PM-10,,city Kentau,,0.0
2017,mg per cube meters,suspended particles PM-10,,city Kentau,,0.0
2018,mg per cube meters,suspended particles PM-10,,city Kentau,,0.008
