Year,Units,Area,Sex,Regions,GeoCode,Value
2011,Percent,,,,,50.6
2012,Percent,,,,,61.90662401932264
2013,Percent,,,,,63.3
2014,Percent,,,,,63.9
2015,Percent,,,,,72.8660129673921
2016,Percent,,,,,76.8
2017,Percent,,,,,78.8
2018,Percent,,,,,81.3
2011,Percent,Population of urban areas,,,,60.4
2012,Percent,Population of urban areas,,,,73.9
2013,Percent,Population of urban areas,,,,73.2
2014,Percent,Population of urban areas,,,,72.6
2015,Percent,Population of urban areas,,,,76.4
2016,Percent,Population of urban areas,,,,81.3
2017,Percent,Population of urban areas,,,,82.5
2018,Percent,Population of urban areas,,,,84.1
2011,Percent,Population of rural areas,,,,38.6
2012,Percent,Population of rural areas,,,,47.2
2013,Percent,Population of rural areas,,,,51.2
2014,Percent,Population of rural areas,,,,52.7
2015,Percent,Population of rural areas,,,,68.3
2016,Percent,Population of rural areas,,,,70.9
2017,Percent,Population of rural areas,,,,73.9
2018,Percent,Population of rural areas,,,,77.5
2015,Percent,,Male,,,73.0
2016,Percent,,Male,,,77.5
2017,Percent,,Male,,,79.0
2018,Percent,,Male,,,81.6
2015,Percent,,Female,,,72.7
2016,Percent,,Female,,,76.2
2017,Percent,,Female,,,78.7
2018,Percent,,Female,,,81.1
2011,Percent,,,Akmola,KZ03,53.036663061968966
2012,Percent,,,Akmola,KZ03,70.25494713852554
2013,Percent,,,Akmola,KZ03,71.3
2014,Percent,,,Akmola,KZ03,72.0
2015,Percent,,,Akmola,KZ03,60.87720508246625
2016,Percent,,,Akmola,KZ03,70.0
2017,Percent,,,Akmola,KZ03,70.8
2018,Percent,,,Akmola,KZ03,73.8
2011,Percent,,,Aktobe,KZ04,58.92850532674924
2012,Percent,,,Aktobe,KZ04,72.90223910400472
2013,Percent,,,Aktobe,KZ04,73.3
2014,Percent,,,Aktobe,KZ04,73.0
2015,Percent,,,Aktobe,KZ04,66.44451330706717
2016,Percent,,,Aktobe,KZ04,77.7
2017,Percent,,,Aktobe,KZ04,80.8
2018,Percent,,,Aktobe,KZ04,81.1
2011,Percent,,,Almaty,KZ01,47.62188460809092
2012,Percent,,,Almaty,KZ01,51.84361247256735
2013,Percent,,,Almaty,KZ01,52.4
2014,Percent,,,Almaty,KZ01,54.5
2015,Percent,,,Almaty,KZ01,81.16569074759364
2016,Percent,,,Almaty,KZ01,81.4
2017,Percent,,,Almaty,KZ01,84.5
2018,Percent,,,Almaty,KZ01,85.3
2011,Percent,,,Atyrau,KZ06,62.420373125888396
2012,Percent,,,Atyrau,KZ06,73.68455305533746
2013,Percent,,,Atyrau,KZ06,74.0
2014,Percent,,,Atyrau,KZ06,74.3
2015,Percent,,,Atyrau,KZ06,67.18603978001076
2016,Percent,,,Atyrau,KZ06,72.9
2017,Percent,,,Atyrau,KZ06,75.1
2018,Percent,,,Atyrau,KZ06,78.1
2011,Percent,,,Batys Kazakhstan,KZ07,59.9
2012,Percent,,,Batys Kazakhstan,KZ07,66.55557347937993
2013,Percent,,,Batys Kazakhstan,KZ07,67.2
2014,Percent,,,Batys Kazakhstan,KZ07,66.3
2015,Percent,,,Batys Kazakhstan,KZ07,88.96409263894445
2016,Percent,,,Batys Kazakhstan,KZ07,67.4
2017,Percent,,,Batys Kazakhstan,KZ07,72.7
2018,Percent,,,Batys Kazakhstan,KZ07,76.9
2011,Percent,,,Zhambyl,KZ17,33.94220855041687
2012,Percent,,,Zhambyl,KZ17,52.8268353917201
2013,Percent,,,Zhambyl,KZ17,53.9
2014,Percent,,,Zhambyl,KZ17,54.4
2015,Percent,,,Zhambyl,KZ17,61.635410331848576
2016,Percent,,,Zhambyl,KZ17,68.7
2017,Percent,,,Zhambyl,KZ17,70.1
2018,Percent,,,Zhambyl,KZ17,80.9
2011,Percent,,,Karagandy,KZ12,56.25476449021433
2012,Percent,,,Karagandy,KZ12,64.93976060118634
2013,Percent,,,Karagandy,KZ12,65.1
2014,Percent,,,Karagandy,KZ12,66.0
2015,Percent,,,Karagandy,KZ12,68.57217287058481
2016,Percent,,,Karagandy,KZ12,72.5
2017,Percent,,,Karagandy,KZ12,72.8
2018,Percent,,,Karagandy,KZ12,73.9
2011,Percent,,,Kostanay,KZ13,48.972944266347376
2012,Percent,,,Kostanay,KZ13,75.62765366457826
2013,Percent,,,Kostanay,KZ13,76.5
2014,Percent,,,Kostanay,KZ13,77.0
2015,Percent,,,Kostanay,KZ13,76.95433833512575
2016,Percent,,,Kostanay,KZ13,83.7
2017,Percent,,,Kostanay,KZ13,85.5
2018,Percent,,,Kostanay,KZ13,85.7
2011,Percent,,,Kyzylorda,KZ14,36.28273873157986
2012,Percent,,,Kyzylorda,KZ14,62.55566923996232
2013,Percent,,,Kyzylorda,KZ14,67.0
2014,Percent,,,Kyzylorda,KZ14,67.2
2015,Percent,,,Kyzylorda,KZ14,70.15136835083149
2016,Percent,,,Kyzylorda,KZ14,76.7
2017,Percent,,,Kyzylorda,KZ14,76.2
2018,Percent,,,Kyzylorda,KZ14,77.7
2011,Percent,,,Mangistau,KZ09,50.73488145241394
2012,Percent,,,Mangistau,KZ09,55.18785900474189
2013,Percent,,,Mangistau,KZ09,70.0
2014,Percent,,,Mangistau,KZ09,70.3
2015,Percent,,,Mangistau,KZ09,66.28088901165027
2016,Percent,,,Mangistau,KZ09,72.5
2017,Percent,,,Mangistau,KZ09,72.6
2018,Percent,,,Mangistau,KZ09,78.9
2011,Percent,,,Ontustik Kazakhstan,KZ10,44.016889139928246
2012,Percent,,,Ontustik Kazakhstan,KZ10,48.49678736871316
2013,Percent,,,Ontustik Kazakhstan,KZ10,48.7
2014,Percent,,,Ontustik Kazakhstan,KZ10,48.6
2015,Percent,,,Ontustik Kazakhstan,KZ10,68.3891287407668
2016,Percent,,,Ontustik Kazakhstan,KZ10,75.4
2017,Percent,,,Ontustik Kazakhstan,KZ10,79.0
2011,Percent,,,Pavlodar,KZ11,60.81099609136435
2012,Percent,,,Pavlodar,KZ11,65.24373555488418
2013,Percent,,,Pavlodar,KZ11,68.6
2014,Percent,,,Pavlodar,KZ11,69.3
2015,Percent,,,Pavlodar,KZ11,81.15185175517124
2016,Percent,,,Pavlodar,KZ11,80.3
2017,Percent,,,Pavlodar,KZ11,82.1
2018,Percent,,,Pavlodar,KZ11,83.3
2011,Percent,,,Soltustik Kazakhstan,KZ16,50.7838705654966
2012,Percent,,,Soltustik Kazakhstan,KZ16,70.4463904313552
2013,Percent,,,Soltustik Kazakhstan,KZ16,70.6
2014,Percent,,,Soltustik Kazakhstan,KZ16,70.3
2015,Percent,,,Soltustik Kazakhstan,KZ16,67.76427730694405
2016,Percent,,,Soltustik Kazakhstan,KZ16,74.8
2017,Percent,,,Soltustik Kazakhstan,KZ16,75.7
2018,Percent,,,Soltustik Kazakhstan,KZ16,77.0
2018,Percent,,,Turkistan,KZ10,84.8
2011,Percent,,,Shygys Kazakhstan,KZ15,44.875610801261054
2012,Percent,,,Shygys Kazakhstan,KZ15,66.38400412010571
2013,Percent,,,Shygys Kazakhstan,KZ15,67.0
2014,Percent,,,Shygys Kazakhstan,KZ15,67.1
2015,Percent,,,Shygys Kazakhstan,KZ15,68.09526354822975
2016,Percent,,,Shygys Kazakhstan,KZ15,74.5
2017,Percent,,,Shygys Kazakhstan,KZ15,77.4
2018,Percent,,,Shygys Kazakhstan,KZ15,79.2
2011,Percent,,,Nur-Sultan city,KZ05,54.31346978541938
2012,Percent,,,Nur-Sultan city,KZ05,64.3023319712125
2013,Percent,,,Nur-Sultan city,KZ05,64.5
2014,Percent,,,Nur-Sultan city,KZ05,66.2
2015,Percent,,,Nur-Sultan city,KZ05,86.85082232392773
2016,Percent,,,Nur-Sultan city,KZ05,85.3
2017,Percent,,,Nur-Sultan city,KZ05,88.0
2018,Percent,,,Nur-Sultan city,KZ05,88.1
2011,Percent,,,Almaty city,KZ02,63.68335723514677
2012,Percent,,,Almaty city,KZ02,68.24678063201104
2013,Percent,,,Almaty city,KZ02,71.0
2014,Percent,,,Almaty city,KZ02,71.0
2015,Percent,,,Almaty city,KZ02,81.91506991196272
2016,Percent,,,Almaty city,KZ02,84.3
2017,Percent,,,Almaty city,KZ02,84.1
2018,Percent,,,Almaty city,KZ02,84.3
2018,Percent,,,Shymkent city,KZ18,80.0
