Year,Units,The proportion of children/young people who meet minimum standards in,Sex,Regions,Value
2015,Percent,i) literacy (based on gender),,,58.7
2015,Percent,i) literacy (based on gender),Boys,,54.7
2015,Percent,i) literacy (based on gender),Girls,,63.0
2015,Percent,i) literacy (based on gender),Boys,Akmola,57.0
2015,Percent,i) literacy (based on gender),Girls,Akmola,60.0
2015,Percent,i) literacy (based on gender),Boys,Aktobe,39.0
2015,Percent,i) literacy (based on gender),Girls,Aktobe,62.0
2015,Percent,i) literacy (based on gender),Boys,Almaty,51.0
2015,Percent,i) literacy (based on gender),Girls,Almaty,58.0
2015,Percent,i) literacy (based on gender),Boys,Atyrau,33.0
2015,Percent,i) literacy (based on gender),Girls,Atyrau,51.0
2015,Percent,i) literacy (based on gender),Boys,Batys Kazakhstan,59.0
2015,Percent,i) literacy (based on gender),Girls,Batys Kazakhstan,66.0
2015,Percent,i) literacy (based on gender),Boys,Zhambyl,58.0
2015,Percent,i) literacy (based on gender),Girls,Zhambyl,63.0
2015,Percent,i) literacy (based on gender),Boys,Karagandy,71.0
2015,Percent,i) literacy (based on gender),Girls,Karagandy,74.0
2015,Percent,i) literacy (based on gender),Boys,Kostanay,57.0
2015,Percent,i) literacy (based on gender),Girls,Kostanay,63.0
2015,Percent,i) literacy (based on gender),Boys,Kyzylorda,59.0
2015,Percent,i) literacy (based on gender),Girls,Kyzylorda,65.0
2015,Percent,i) literacy (based on gender),Boys,Mangistau,45.0
2015,Percent,i) literacy (based on gender),Girls,Mangistau,45.0
2015,Percent,i) literacy (based on gender),Boys,Ontustik Kazakhstan,42.0
2015,Percent,i) literacy (based on gender),Girls,Ontustik Kazakhstan,48.0
2015,Percent,i) literacy (based on gender),Boys,Pavlodar,70.0
2015,Percent,i) literacy (based on gender),Girls,Pavlodar,79.0
2015,Percent,i) literacy (based on gender),Boys,Soltustik Kazakhstan,57.0
2015,Percent,i) literacy (based on gender),Girls,Soltustik Kazakhstan,78.0
2015,Percent,i) literacy (based on gender),Boys,Shygys Kazakhstan,57.0
2015,Percent,i) literacy (based on gender),Girls,Shygys Kazakhstan,63.0
2015,Percent,i) literacy (based on gender),Boys,Nur-Sultan city,82.0
