Year,Units,Area,Regions,Value
2010,Percent,,,100
2010,Percent,,Akmola,100
2010,Percent,,Aktobe,100
2010,Percent,,Almaty,100
2010,Percent,,Atyrau,100
2010,Percent,,Batys Kazakhstan,100
2010,Percent,,Zhambyl,100
2010,Percent,,Karagandy,100
2010,Percent,,Kostanay,100
2010,Percent,,Kyzylorda,100
2010,Percent,,Mangistau,100
2010,Percent,,Pavlodar,100
2010,Percent,,Soltustik Kazakhstan,100
2010,Percent,,Turkistan,100
2010,Percent,,Shygys Kazakhstan,100
2010,Percent,,Nur-Sultan city,100
2010,Percent,,Almaty city,100
2010,Percent,,Shymkent city,100
2010,Percent,Urban,,100
2010,Percent,Urban,Akmola,100
2010,Percent,Urban,Aktobe,100
2010,Percent,Urban,Almaty,100
2010,Percent,Urban,Atyrau,100
2010,Percent,Urban,Batys Kazakhstan,100
2010,Percent,Urban,Zhambyl,100
2010,Percent,Urban,Karagandy,100
2010,Percent,Urban,Kostanay,100
2010,Percent,Urban,Kyzylorda,100
2010,Percent,Urban,Mangistau,100
2010,Percent,Urban,Pavlodar,100
2010,Percent,Urban,Soltustik Kazakhstan,100
2010,Percent,Urban,Turkistan,100
2010,Percent,Urban,Shygys Kazakhstan,100
2010,Percent,Urban,Nur-Sultan city,100
2010,Percent,Urban,Almaty city,100
2010,Percent,Urban,Shymkent city,100
2010,Percent,Rural,,100
2010,Percent,Rural,Akmola,100
2010,Percent,Rural,Aktobe,100
2010,Percent,Rural,Almaty,100
2010,Percent,Rural,Atyrau,100
2010,Percent,Rural,Batys Kazakhstan,100
2010,Percent,Rural,Zhambyl,100
2010,Percent,Rural,Karagandy,100
2010,Percent,Rural,Kostanay,100
2010,Percent,Rural,Kyzylorda,100
2010,Percent,Rural,Mangistau,100
2010,Percent,Rural,Pavlodar,100
2010,Percent,Rural,Soltustik Kazakhstan,100
2010,Percent,Rural,Turkistan,100
2011,Percent,,,100
2011,Percent,,Akmola,100
2011,Percent,,Aktobe,100
2011,Percent,,Almaty,100
2011,Percent,,Atyrau,100
2011,Percent,,Batys Kazakhstan,100
2011,Percent,,Zhambyl,100
2011,Percent,,Karagandy,100
2011,Percent,,Kostanay,100
2011,Percent,,Kyzylorda,100
2011,Percent,,Mangistau,100
2011,Percent,,Pavlodar,100
2011,Percent,,Soltustik Kazakhstan,100
2011,Percent,,Turkistan,100
2011,Percent,,Shygys Kazakhstan,100
2011,Percent,,Nur-Sultan city,100
2011,Percent,,Almaty city,100
2011,Percent,,Shymkent city,100
2011,Percent,Urban,,100
2011,Percent,Urban,Akmola,100
2011,Percent,Urban,Aktobe,100
2011,Percent,Urban,Almaty,100
2011,Percent,Urban,Atyrau,100
2011,Percent,Urban,Batys Kazakhstan,100
2011,Percent,Urban,Zhambyl,100
2011,Percent,Urban,Karagandy,100
2011,Percent,Urban,Kostanay,100
2011,Percent,Urban,Kyzylorda,100
2011,Percent,Urban,Mangistau,100
2011,Percent,Urban,Pavlodar,100
2011,Percent,Urban,Soltustik Kazakhstan,100
2011,Percent,Urban,Turkistan,100
2011,Percent,Urban,Shygys Kazakhstan,100
2011,Percent,Urban,Nur-Sultan city,100
2011,Percent,Urban,Almaty city,100
2011,Percent,Urban,Shymkent city,100
2011,Percent,Rural,,100
2011,Percent,Rural,Akmola,100
2011,Percent,Rural,Aktobe,100
2011,Percent,Rural,Almaty,100
2011,Percent,Rural,Atyrau,100
2011,Percent,Rural,Batys Kazakhstan,100
2011,Percent,Rural,Zhambyl,100
2011,Percent,Rural,Karagandy,100
2011,Percent,Rural,Kostanay,100
2011,Percent,Rural,Kyzylorda,100
2011,Percent,Rural,Mangistau,100
2011,Percent,Rural,Pavlodar,100
2011,Percent,Rural,Soltustik Kazakhstan,100
2011,Percent,Rural,Turkistan,100
2012,Percent,,,100
2012,Percent,,Akmola,100
2012,Percent,,Aktobe,100
2012,Percent,,Almaty,100
2012,Percent,,Atyrau,100
2012,Percent,,Batys Kazakhstan,100
2012,Percent,,Zhambyl,100
2012,Percent,,Karagandy,100
2012,Percent,,Kostanay,100
2012,Percent,,Kyzylorda,100
2012,Percent,,Mangistau,100
2012,Percent,,Pavlodar,100
2012,Percent,,Soltustik Kazakhstan,100
2012,Percent,,Turkistan,100
2012,Percent,,Shygys Kazakhstan,100
2012,Percent,,Nur-Sultan city,100
2012,Percent,,Almaty city,100
2012,Percent,,Shymkent city,100
2012,Percent,Urban,,100
2012,Percent,Urban,Akmola,100
2012,Percent,Urban,Aktobe,100
2012,Percent,Urban,Almaty,100
2012,Percent,Urban,Atyrau,100
2012,Percent,Urban,Batys Kazakhstan,100
2012,Percent,Urban,Zhambyl,100
2012,Percent,Urban,Karagandy,100
2012,Percent,Urban,Kostanay,100
2012,Percent,Urban,Kyzylorda,100
2012,Percent,Urban,Mangistau,100
2012,Percent,Urban,Pavlodar,100
2012,Percent,Urban,Soltustik Kazakhstan,100
2012,Percent,Urban,Turkistan,100
2012,Percent,Urban,Shygys Kazakhstan,100
2012,Percent,Urban,Nur-Sultan city,100
2012,Percent,Urban,Almaty city,100
2012,Percent,Urban,Shymkent city,100
2012,Percent,Rural,,100
2012,Percent,Rural,Akmola,100
2012,Percent,Rural,Aktobe,100
2012,Percent,Rural,Almaty,100
2012,Percent,Rural,Atyrau,100
2012,Percent,Rural,Batys Kazakhstan,100
2012,Percent,Rural,Zhambyl,100
2012,Percent,Rural,Karagandy,100
2012,Percent,Rural,Kostanay,100
2012,Percent,Rural,Kyzylorda,100
2012,Percent,Rural,Mangistau,100
2012,Percent,Rural,Pavlodar,100
2012,Percent,Rural,Soltustik Kazakhstan,100
2012,Percent,Rural,Turkistan,100
2013,Percent,,,100
2013,Percent,,Akmola,100
2013,Percent,,Aktobe,100
2013,Percent,,Almaty,100
2013,Percent,,Atyrau,100
2013,Percent,,Batys Kazakhstan,100
2013,Percent,,Zhambyl,100
2013,Percent,,Karagandy,100
2013,Percent,,Kostanay,100
2013,Percent,,Kyzylorda,100
2013,Percent,,Mangistau,100
2013,Percent,,Pavlodar,100
2013,Percent,,Soltustik Kazakhstan,100
2013,Percent,,Turkistan,100
2013,Percent,,Shygys Kazakhstan,100
2013,Percent,,Nur-Sultan city,100
2013,Percent,,Almaty city,100
2013,Percent,,Shymkent city,100
2013,Percent,Urban,,100
2013,Percent,Urban,Akmola,100
2013,Percent,Urban,Aktobe,100
2013,Percent,Urban,Almaty,100
2013,Percent,Urban,Atyrau,100
2013,Percent,Urban,Batys Kazakhstan,100
2013,Percent,Urban,Zhambyl,100
2013,Percent,Urban,Karagandy,100
2013,Percent,Urban,Kostanay,100
2013,Percent,Urban,Kyzylorda,100
2013,Percent,Urban,Mangistau,100
2013,Percent,Urban,Pavlodar,100
2013,Percent,Urban,Soltustik Kazakhstan,100
2013,Percent,Urban,Turkistan,100
2013,Percent,Urban,Shygys Kazakhstan,100
2013,Percent,Urban,Nur-Sultan city,100
2013,Percent,Urban,Almaty city,100
2013,Percent,Urban,Shymkent city,100
2013,Percent,Rural,,100
2013,Percent,Rural,Akmola,100
2013,Percent,Rural,Aktobe,100
2013,Percent,Rural,Almaty,100
2013,Percent,Rural,Atyrau,100
2013,Percent,Rural,Batys Kazakhstan,100
2013,Percent,Rural,Zhambyl,100
2013,Percent,Rural,Karagandy,100
2013,Percent,Rural,Kostanay,100
2013,Percent,Rural,Kyzylorda,100
2013,Percent,Rural,Mangistau,100
2013,Percent,Rural,Pavlodar,100
2013,Percent,Rural,Soltustik Kazakhstan,100
2013,Percent,Rural,Turkistan,100
2014,Percent,,,100
2014,Percent,,Akmola,100
2014,Percent,,Aktobe,100
2014,Percent,,Almaty,100
2014,Percent,,Atyrau,100
2014,Percent,,Batys Kazakhstan,100
2014,Percent,,Zhambyl,100
2014,Percent,,Karagandy,100
2014,Percent,,Kostanay,100
2014,Percent,,Kyzylorda,100
2014,Percent,,Mangistau,100
2014,Percent,,Pavlodar,100
2014,Percent,,Soltustik Kazakhstan,100
2014,Percent,,Turkistan,100
2014,Percent,,Shygys Kazakhstan,100
2014,Percent,,Nur-Sultan city,100
2014,Percent,,Almaty city,100
2014,Percent,,Shymkent city,100
2014,Percent,Urban,,100
2014,Percent,Urban,Akmola,100
2014,Percent,Urban,Aktobe,100
2014,Percent,Urban,Almaty,100
2014,Percent,Urban,Atyrau,100
2014,Percent,Urban,Batys Kazakhstan,100
