Year,Units,Area,Value
2011,Percent,,3.0
2012,Percent,,1.8
2013,Percent,,1.2
2014,Percent,,1.3
2015,Percent,,3.1
2016,Percent,,4.5
2017,Percent,,3.6
2018,Percent,,4.6
2011,Percent,Urban,3.0
2012,Percent,Urban,2.8
2013,Percent,Urban,1.8
2014,Percent,Urban,1.8
2015,Percent,Urban,3.2
2016,Percent,Urban,4.6
2017,Percent,Urban,3.5
2018,Percent,Urban,4.5
2011,Percent,Rural,3.0
2012,Percent,Rural,0.9
2013,Percent,Rural,0.8
2014,Percent,Rural,0.8
2015,Percent,Rural,2.5
2016,Percent,Rural,3.7
2017,Percent,Rural,3.0
2018,Percent,Rural,3.7
