Year,Units,Area,Regions,Value
2018,Percent,Urban,,68.7
2018,Percent,Rural,,8.6
2019,Percent,Urban,,70.5
2019,Percent,Rural,,8.8
2019,Percent,Urban,Akmola,72.1
2019,Percent,Rural,Akmola,14.7
2019,Percent,Urban,Aktobe,95.3
2019,Percent,Rural,Aktobe,6.6
2019,Percent,Urban,Almaty,95.1
2019,Percent,Rural,Almaty,6.3
2019,Percent,Urban,Atyrau,37.2
2019,Percent,Rural,Atyrau,9.5
2019,Percent,Urban,Batys Kazakhstan,91.2
2019,Percent,Rural,Batys Kazakhstan,0.0
2019,Percent,Urban,Zhambyl,0.0
2019,Percent,Rural,Zhambyl,0.0
2019,Percent,Urban,Karagandy,66.0
2019,Percent,Rural,Karagandy,20.9
2019,Percent,Urban,Kostanay,100.0
2019,Percent,Rural,Kostanay,17.1
2019,Percent,Urban,Kyzylorda,48.9
2019,Percent,Rural,Kyzylorda,0.4
2019,Percent,Urban,Mangistau,93.1
2019,Percent,Rural,Mangistau,3.8
2019,Percent,Urban,Pavlodar,87.0
2019,Percent,Rural,Pavlodar,5.3
2019,Percent,Urban,Soltustik Kazakhstan,84.0
2019,Percent,Rural,Soltustik Kazakhstan,0.61
2019,Percent,Urban,Turkistan,25.7
2019,Percent,Rural,Turkistan,9.4
2019,Percent,Urban,Shygys Kazakhstan,72.0
2019,Percent,Rural,Shygys Kazakhstan,30.1
2019,Percent,,Nur-Sultan city,91.0
2019,Percent,,Almaty city,80.0
2019,Percent,,Shymkent city,60.7
