Year,Units,Regions,Area,Sex,Education,Marital status,citizenship,GeoCode,Value
2010,per 100000 population,,,,,,,,0.78
2011,per 100000 population,,,,,,,,1.08
2012,per 100000 population,,,,,,,,0.58
2013,per 100000 population,,,,,,,,0.66
2014,per 100000 population,,,,,,,,0.57
2015,per 100000 population,,,,,,,,0.67
2016,per 100000 population,,,,,,,,0.8
2017,per 100000 population,,,,,,,,0.99
2018,per 100000 population,,,,,,,,0.83
2010,per 100000 population,Akmola,,,,,,KZ03,0.14
2011,per 100000 population,Akmola,,,,,,KZ03,0.27
2012,per 100000 population,Akmola,,,,,,KZ03,0.55
2013,per 100000 population,Akmola,,,,,,KZ03,0.68
2014,per 100000 population,Akmola,,,,,,KZ03,0.41
2015,per 100000 population,Akmola,,,,,,KZ03,0.41
2016,per 100000 population,Akmola,,,,,,KZ03,0.95
2017,per 100000 population,Akmola,,,,,,KZ03,0.81
2018,per 100000 population,Akmola,,,,,,KZ03,1.08
2010,per 100000 population,Aktobe,,,,,,KZ04,0.39
2011,per 100000 population,Aktobe,,,,,,KZ04,0.38
2012,per 100000 population,Aktobe,,,,,,KZ04,0.13
2013,per 100000 population,Aktobe,,,,,,KZ04,0.12
2014,per 100000 population,Aktobe,,,,,,KZ04,0.12
2015,per 100000 population,Aktobe,,,,,,KZ04,0.12
2016,per 100000 population,Aktobe,,,,,,KZ04,0.0
2017,per 100000 population,Aktobe,,,,,,KZ04,0.23
2018,per 100000 population,Aktobe,,,,,,KZ04,0.23
2010,per 100000 population,Almaty,,,,,,KZ01,0.97
2011,per 100000 population,Almaty,,,,,,KZ01,2.49
2012,per 100000 population,Almaty,,,,,,KZ01,0.21
2013,per 100000 population,Almaty,,,,,,KZ01,0.15
2014,per 100000 population,Almaty,,,,,,KZ01,0.15
2015,per 100000 population,Almaty,,,,,,KZ01,0.26
2016,per 100000 population,Almaty,,,,,,KZ01,0.2
2017,per 100000 population,Almaty,,,,,,KZ01,0.2
2018,per 100000 population,Almaty,,,,,,KZ01,0.3
2010,per 100000 population,Atyrau,,,,,,KZ06,0.19
2011,per 100000 population,Atyrau,,,,,,KZ06,0.37
2012,per 100000 population,Atyrau,,,,,,KZ06,0.91
2013,per 100000 population,Atyrau,,,,,,KZ06,0.36
2014,per 100000 population,Atyrau,,,,,,KZ06,0.35
2015,per 100000 population,Atyrau,,,,,,KZ06,0.85
2016,per 100000 population,Atyrau,,,,,,KZ06,1.0
2017,per 100000 population,Atyrau,,,,,,KZ06,0.33
2018,per 100000 population,Atyrau,,,,,,KZ06,0.0
2010,per 100000 population,Batys Kazakhstan,,,,,,KZ07,0.16
2011,per 100000 population,Batys Kazakhstan,,,,,,KZ07,0.16
2012,per 100000 population,Batys Kazakhstan,,,,,,KZ07,0.65
2013,per 100000 population,Batys Kazakhstan,,,,,,KZ07,0.48
2014,per 100000 population,Batys Kazakhstan,,,,,,KZ07,0.8
2015,per 100000 population,Batys Kazakhstan,,,,,,KZ07,0.79
2016,per 100000 population,Batys Kazakhstan,,,,,,KZ07,0.78
2017,per 100000 population,Batys Kazakhstan,,,,,,KZ07,1.55
2018,per 100000 population,Batys Kazakhstan,,,,,,KZ07,1.85
2010,per 100000 population,Zhambyl,,,,,,KZ17,0.48
2011,per 100000 population,Zhambyl,,,,,,KZ17,1.43
2012,per 100000 population,Zhambyl,,,,,,KZ17,0.66
2013,per 100000 population,Zhambyl,,,,,,KZ17,0.37
2014,per 100000 population,Zhambyl,,,,,,KZ17,0.27
2015,per 100000 population,Zhambyl,,,,,,KZ17,0.18
2016,per 100000 population,Zhambyl,,,,,,KZ17,0.54
2017,per 100000 population,Zhambyl,,,,,,KZ17,0.45
2018,per 100000 population,Zhambyl,,,,,,KZ17,0.27
2010,per 100000 population,Karagandy,,,,,,KZ12,0.67
2011,per 100000 population,Karagandy,,,,,,KZ12,0.89
2012,per 100000 population,Karagandy,,,,,,KZ12,1.4
2013,per 100000 population,Karagandy,,,,,,KZ12,0.51
2014,per 100000 population,Karagandy,,,,,,KZ12,0.73
2015,per 100000 population,Karagandy,,,,,,KZ12,1.23
2016,per 100000 population,Karagandy,,,,,,KZ12,0.58
2017,per 100000 population,Karagandy,,,,,,KZ12,0.43
2018,per 100000 population,Karagandy,,,,,,KZ12,0.72
2010,per 100000 population,Kostanay,,,,,,KZ13,0.23
2011,per 100000 population,Kostanay,,,,,,KZ13,0.0
2012,per 100000 population,Kostanay,,,,,,KZ13,0.34
2013,per 100000 population,Kostanay,,,,,,KZ13,0.34
2014,per 100000 population,Kostanay,,,,,,KZ13,0.23
2015,per 100000 population,Kostanay,,,,,,KZ13,0.11
2016,per 100000 population,Kostanay,,,,,,KZ13,0.57
2017,per 100000 population,Kostanay,,,,,,KZ13,0.23
2018,per 100000 population,Kostanay,,,,,,KZ13,0.34
2010,per 100000 population,Kyzylorda,,,,,,KZ14,2.45
2011,per 100000 population,Kyzylorda,,,,,,KZ14,1.84
2012,per 100000 population,Kyzylorda,,,,,,KZ14,0.28
2013,per 100000 population,Kyzylorda,,,,,,KZ14,0.27
2014,per 100000 population,Kyzylorda,,,,,,KZ14,0.13
2015,per 100000 population,Kyzylorda,,,,,,KZ14,0.4
2016,per 100000 population,Kyzylorda,,,,,,KZ14,0.39
2017,per 100000 population,Kyzylorda,,,,,,KZ14,0.13
2018,per 100000 population,Kyzylorda,,,,,,KZ14,0.25
2010,per 100000 population,Mangistau,,,,,,KZ09,0.39
2011,per 100000 population,Mangistau,,,,,,KZ09,0.75
2012,per 100000 population,Mangistau,,,,,,KZ09,0.54
2013,per 100000 population,Mangistau,,,,,,KZ09,0.17
2014,per 100000 population,Mangistau,,,,,,KZ09,0.67
2015,per 100000 population,Mangistau,,,,,,KZ09,0.49
2016,per 100000 population,Mangistau,,,,,,KZ09,1.26
2017,per 100000 population,Mangistau,,,,,,KZ09,0.31
2018,per 100000 population,Mangistau,,,,,,KZ09,0.3
2010,per 100000 population,Ontustik Kazakhstan,,,,,,KZ10,1.97
2011,per 100000 population,Ontustik Kazakhstan,,,,,,KZ10,1.31
2012,per 100000 population,Ontustik Kazakhstan,,,,,,KZ10,1.13
2013,per 100000 population,Ontustik Kazakhstan,,,,,,KZ10,1.03
2014,per 100000 population,Ontustik Kazakhstan,,,,,,KZ10,0.54
2015,per 100000 population,Ontustik Kazakhstan,,,,,,KZ10,0.92
2016,per 100000 population,Ontustik Kazakhstan,,,,,,KZ10,1.96
2017,per 100000 population,Ontustik Kazakhstan,,,,,,KZ10,3.06
2010,per 100000 population,Pavlodar,,,,,,KZ11,0.4
2011,per 100000 population,Pavlodar,,,,,,KZ11,0.27
2012,per 100000 population,Pavlodar,,,,,,KZ11,0.13
2013,per 100000 population,Pavlodar,,,,,,KZ11,0.27
2014,per 100000 population,Pavlodar,,,,,,KZ11,0.13
2015,per 100000 population,Pavlodar,,,,,,KZ11,0.4
2016,per 100000 population,Pavlodar,,,,,,KZ11,0.92
2017,per 100000 population,Pavlodar,,,,,,KZ11,0.13
2018,per 100000 population,Pavlodar,,,,,,KZ11,1.86
2010,per 100000 population,Soltustik Kazakhstan,,,,,,KZ16,0.17
2011,per 100000 population,Soltustik Kazakhstan,,,,,,KZ16,0.34
2012,per 100000 population,Soltustik Kazakhstan,,,,,,KZ16,0.0
2013,per 100000 population,Soltustik Kazakhstan,,,,,,KZ16,0.17
2014,per 100000 population,Soltustik Kazakhstan,,,,,,KZ16,0.17
2015,per 100000 population,Soltustik Kazakhstan,,,,,,KZ16,0.18
2016,per 100000 population,Soltustik Kazakhstan,,,,,,KZ16,0.18
2017,per 100000 population,Soltustik Kazakhstan,,,,,,KZ16,0.0
2018,per 100000 population,Soltustik Kazakhstan,,,,,,KZ16,0.0
2010,per 100000 population,Shygys Kazakhstan,,,,,,KZ15,0.57
2011,per 100000 population,Shygys Kazakhstan,,,,,,KZ15,2.72
2012,per 100000 population,Shygys Kazakhstan,,,,,,KZ15,0.57
2013,per 100000 population,Shygys Kazakhstan,,,,,,KZ15,3.01
2014,per 100000 population,Shygys Kazakhstan,,,,,,KZ15,3.01
2015,per 100000 population,Shygys Kazakhstan,,,,,,KZ15,2.15
2016,per 100000 population,Shygys Kazakhstan,,,,,,KZ15,1.51
2017,per 100000 population,Shygys Kazakhstan,,,,,,KZ15,3.32
2018,per 100000 population,Shygys Kazakhstan,,,,,,KZ15,1.59
2010,per 100000 population,Nur-Sultan city,,,,,,KZ05,0.45
2011,per 100000 population,Nur-Sultan city,,,,,,KZ05,0.14
2012,per 100000 population,Nur-Sultan city,,,,,,KZ05,0.26
2013,per 100000 population,Nur-Sultan city,,,,,,KZ05,0.63
2014,per 100000 population,Nur-Sultan city,,,,,,KZ05,0.48
2015,per 100000 population,Nur-Sultan city,,,,,,KZ05,1.28
2016,per 100000 population,Nur-Sultan city,,,,,,KZ05,0.22
2017,per 100000 population,Nur-Sultan city,,,,,,KZ05,0.0
2018,per 100000 population,Nur-Sultan city,,,,,,KZ05,0.28
2010,per 100000 population,Almaty city,,,,,,KZ02,0.21
2011,per 100000 population,Almaty city,,,,,,KZ02,0.14
2012,per 100000 population,Almaty city,,,,,,KZ02,0.27
2013,per 100000 population,Almaty city,,,,,,KZ02,0.2
2014,per 100000 population,Almaty city,,,,,,KZ02,0.06
2015,per 100000 population,Almaty city,,,,,,KZ02,0.06
2016,per 100000 population,Almaty city,,,,,,KZ02,0.17
2017,per 100000 population,Almaty city,,,,,,KZ02,0.11
2018,per 100000 population,Almaty city,,,,,,KZ02,0.05
2010,per 100000 population,,Population of urban areas,,,,,,0.63
2011,per 100000 population,,Population of urban areas,,,,,,1.07
2012,per 100000 population,,Population of urban areas,,,,,,0.52
2013,per 100000 population,,Population of urban areas,,,,,,0.63
2014,per 100000 population,,Population of urban areas,,,,,,0.42
2015,per 100000 population,,Population of urban areas,,,,,,0.72
2016,per 100000 population,,Population of urban areas,,,,,,0.64
2017,per 100000 population,,Population of urban areas,,,,,,0.63
2018,per 100000 population,,Population of urban areas,,,,,,0.62
2010,per 100000 population,Akmola,Population of urban areas,,,,,,0.0
2011,per 100000 population,Akmola,Population of urban areas,,,,,,29.0
