Year,Units,Regions,Value
2015,Percent,,9.1
2016,Percent,,10.0
2017,Percent,,15.0
2018,Percent,,20.1
2017,Percent,Akmola,23.0
2018,Percent,Akmola,20.3
2017,Percent,Aktobe,13.0
2018,Percent,Aktobe,20.5
2017,Percent,Almaty,10.9
2018,Percent,Almaty,10.1
2017,Percent,Atyrau,7.9
2018,Percent,Atyrau,20.2
2017,Percent,Batys Kazakhstan,18.1
2018,Percent,Batys Kazakhstan,22.1
2017,Percent,Zhambyl,21.3
2018,Percent,Zhambyl,29.9
2017,Percent,Karagandy,34.4
2018,Percent,Karagandy,31.4
2017,Percent,Kostanay,26.9
2018,Percent,Kostanay,20.1
2017,Percent,Kyzylorda,10.1
2018,Percent,Kyzylorda,21.0
2017,Percent,Mangistau,10.0
2018,Percent,Mangistau,20.2
2017,Percent,Ontustik Kazakhstan,9.8
2017,Percent,Pavlodar,24.4
2018,Percent,Pavlodar,73.4
2017,Percent,Soltustik Kazakhstan,26.9
2018,Percent,Soltustik Kazakhstan,16.0
2018,Percent,Turkistan,9.0
2017,Percent,Shygys Kazakhstan,20.6
2018,Percent,Shygys Kazakhstan,20.5
2017,Percent,Nur-Sultan city,20.0
2018,Percent,Nur-Sultan city,10.3
2017,Percent,Almaty city,12.0
2018,Percent,Almaty city,41.2
2018,Percent,Shymkent city,9.1
