Year,Units,Budget expenditures,Value
2010,Percent,,109.6
2011,Percent,,110.4
2012,Percent,,105.2
2013,Percent,,96.3
2014,Percent,,105.3
2015,Percent,,91.2
2016,Percent,,110.9
2017,Percent,,130.3
2018,Percent,,104.5
2010,Percent,Government services (general),109.1
2011,Percent,Government services (general),126.7
2012,Percent,Government services (general),106.7
2013,Percent,Government services (general),99.9
2014,Percent,Government services (general),116.9
2015,Percent,Government services (general),149.4
2016,Percent,Government services (general),129.5
2017,Percent,Government services (general),109.3
2018,Percent,Government services (general),114.1
2010,Percent,Defence,107.7
2011,Percent,Defence,106.0
2012,Percent,Defence,102.2
2013,Percent,Defence,99.9
2014,Percent,Defence,95.7
2015,Percent,Defence,98.4
2016,Percent,Defence,106.5
2017,Percent,Defence,104.6
2018,Percent,Defence,99.5
2010,Percent,"Public order, security, failing, judicial, criminal enforcement",107.4
2011,Percent,"Public order, security, failing, judicial, criminal enforcement",101.7
2012,Percent,"Public order, security, failing, judicial, criminal enforcement",104.1
2013,Percent,"Public order, security, failing, judicial, criminal enforcement",96.2
2014,Percent,"Public order, security, failing, judicial, criminal enforcement",97.2
2015,Percent,"Public order, security, failing, judicial, criminal enforcement",89.3
2016,Percent,"Public order, security, failing, judicial, criminal enforcement",108.6
2017,Percent,"Public order, security, failing, judicial, criminal enforcement",113.9
2018,Percent,"Public order, security, failing, judicial, criminal enforcement",120.1
2010,Percent,Education,121.4
2011,Percent,Education,115.3
2012,Percent,Education,97.7
2013,Percent,Education,96.5
2014,Percent,Education,100.6
2015,Percent,Education,82.9
2016,Percent,Education,119.0
2017,Percent,Education,106.8
2018,Percent,Education,123.6
2010,Percent,Health care,103.5
2011,Percent,Health care,99.2
2012,Percent,Health care,106.2
2013,Percent,Health care,96.9
2014,Percent,Health care,99.7
2015,Percent,Health care,93.8
2016,Percent,Health care,112.7
2017,Percent,Health care,99.9
2018,Percent,Health care,100.4
2010,Percent,Social assistance and welfare,90.7
2011,Percent,Social assistance and welfare,100.3
