Year,Units,Type of economic activity,Regions,Sex,Age,Value
2014,Percent,,,,,837.0
2015,Percent,,,,,880.0
2016,Percent,,,,,950.0
2017,Percent,,,,,927.0
2018,Percent,,,,,958.5151485136366
2018,Percent,,Akmola,,,705.7338103367453
2018,Percent,,Aktobe,,,749.9403816528461
2018,Percent,,Almaty,,,712.5847361063737
2018,Percent,,Atyrau,,,1718.4145975772635
2018,Percent,,Batys Kazakhstan,,,1202.4329026593389
2018,Percent,,Zhambyl,,,612.5503305092177
2018,Percent,,Karagandy,,,808.4899840439411
2018,Percent,,Kostanay,,,685.4316642192142
2018,Percent,,Kyzylorda,,,719.6827426954272
2018,Percent,,Mangistau,,,1410.596779139893
2018,Percent,,Ontustik Kazakhstan,,,629.7078541847877
2018,Percent,,Pavlodar,,,774.1072345250178
2018,Percent,,Soltustik Kazakhstan,,,636.075437253919
2018,Percent,,Shygys Kazakhstan,,,740.5936808949231
2018,Percent,,Nur-Sultan city,,,1421.594091621348
2018,Percent,,Almaty city,,,1335.178709631454
2018,Percent,,,Male,,1122.0
2018,Percent,,Akmola,Male,,791.8277715555887
2018,Percent,,Aktobe,Male,,850.0106175079311
2018,Percent,,Almaty,Male,,813.2004042336812
2018,Percent,,Atyrau,Male,,2105.485505233839
2018,Percent,,Batys Kazakhstan,Male,,1588.0131622797517
2018,Percent,,Zhambyl,Male,,690.396121066768
2018,Percent,,Karagandy,Male,,912.6305495036747
2018,Percent,,Kostanay,Male,,752.2667915280903
2018,Percent,,Kyzylorda,Male,,811.0115265176171
2018,Percent,,Mangistau,Male,,1826.7456721226672
2018,Percent,,Ontustik Kazakhstan,Male,,686.1706116178742
2018,Percent,,Pavlodar,Male,,873.4059306387303
2018,Percent,,Soltustik Kazakhstan,Male,,682.4451707681433
2018,Percent,,Shygys Kazakhstan,Male,,827.5748212467798
2018,Percent,,Nur-Sultan city,Male,,1636.97878273412
2018,Percent,,Almaty city,Male,,1438.2097524247042
2018,Percent,,,Female,,784.8041675593731
2018,Percent,,Akmola,Female,,601.9764745360224
2018,Percent,,Aktobe,Female,,638.5053334172768
2018,Percent,,Almaty,Female,,630.338937140128
2018,Percent,,Atyrau,Female,,1146.1094915230133
2018,Percent,,Batys Kazakhstan,Female,,742.9937060373288
2018,Percent,,Zhambyl,Female,,542.7812571357579
2018,Percent,,Karagandy,Female,,681.5429931938974
2018,Percent,,Kostanay,Female,,603.9810968252564
2018,Percent,,Kyzylorda,Female,,608.8472036092181
2018,Percent,,Mangistau,Female,,899.0227153419029
2018,Percent,,Ontustik Kazakhstan,Female,,588.494062050237
2018,Percent,,Pavlodar,Female,,667.4713091753375
2018,Percent,,Soltustik Kazakhstan,Female,,590.1913122813099
2018,Percent,,Shygys Kazakhstan,Female,,643.9315790313094
2018,Percent,,Nur-Sultan city,Female,,1178.580312035197
2018,Percent,,Almaty city,Female,,1217.1963310725337
2018,Percent,,,,16-24,577.0
2018,Percent,,,,25-28,764.0
2018,Percent,,,,29-34,961.0
2018,Percent,,,,35-44,1102.0
2018,Percent,,,,45-54,977.0
2018,Percent,,,,55-64,951.0
2018,Percent,,,,65 and older,1159.0
2018,Percent,,Akmola,,16-24,485.0
2018,Percent,,Akmola,,25-28,598.0
2018,Percent,,Akmola,,29-34,739.0
2018,Percent,,Akmola,,35-44,792.0
2018,Percent,,Akmola,,45-54,716.0
2018,Percent,,Akmola,,55-64,670.0
2018,Percent,,Akmola,,65 and older,674.0
2018,Percent,,Aktobe,,16-24,478.0
2018,Percent,,Aktobe,,25-28,622.0
2018,Percent,,Aktobe,,29-34,747.0
2018,Percent,,Aktobe,,35-44,819.0
2018,Percent,,Aktobe,,45-54,773.0
2018,Percent,,Aktobe,,55-64,796.0
2018,Percent,,Aktobe,,65 and older,798.0
2018,Percent,,Almaty,,16-24,497.0
2018,Percent,,Almaty,,25-28,608.0
2018,Percent,,Almaty,,29-34,711.0
2018,Percent,,Almaty,,35-44,791.0
2018,Percent,,Almaty,,45-54,708.0
2018,Percent,,Almaty,,55-64,732.0
2018,Percent,,Almaty,,65 and older,810.0
2018,Percent,,Atyrau,,16-24,768.0
2018,Percent,,Atyrau,,25-28,1231.0
2018,Percent,,Atyrau,,29-34,1571.0
2018,Percent,,Atyrau,,35-44,1917.0
2018,Percent,,Atyrau,,45-54,1855.0
2018,Percent,,Atyrau,,55-64,2077.0
2018,Percent,,Atyrau,,65 and older,6563.0
2018,Percent,,Batys Kazakhstan,,16-24,490.0
2018,Percent,,Batys Kazakhstan,,25-28,621.0
2018,Percent,,Batys Kazakhstan,,29-34,894.0
2018,Percent,,Batys Kazakhstan,,35-44,1586.0
2018,Percent,,Batys Kazakhstan,,45-54,1341.0
2018,Percent,,Batys Kazakhstan,,55-64,1276.0
2018,Percent,,Batys Kazakhstan,,65 and older,1028.0
2018,Percent,,Zhambyl,,16-24,443.0
2018,Percent,,Zhambyl,,25-28,532.0
2018,Percent,,Zhambyl,,29-34,619.0
2018,Percent,,Zhambyl,,35-44,649.0
2018,Percent,,Zhambyl,,45-54,630.0
2018,Percent,,Zhambyl,,55-64,636.0
2018,Percent,,Zhambyl,,65 and older,661.0
2018,Percent,,Karagandy,,16-24,520.5235270651388
2018,Percent,,Karagandy,,25-28,708.0
2018,Percent,,Karagandy,,29-34,830.0
2018,Percent,,Karagandy,,35-44,890.0
2018,Percent,,Karagandy,,45-54,807.0
2018,Percent,,Karagandy,,55-64,817.0
2018,Percent,,Karagandy,,65 and older,837.0
2018,Percent,,Kostanay,,16-24,471.82799327592966
2018,Percent,,Kostanay,,25-28,622.0
2018,Percent,,Kostanay,,29-34,728.0
2018,Percent,,Kostanay,,35-44,761.0
2018,Percent,,Kostanay,,45-54,679.0
2018,Percent,,Kostanay,,55-64,653.0
2018,Percent,,Kostanay,,65 and older,789.0
2018,Percent,,Kyzylorda,,16-24,460.0
2018,Percent,,Kyzylorda,,25-28,594.0
2018,Percent,,Kyzylorda,,29-34,696.0
2018,Percent,,Kyzylorda,,35-44,784.0
2018,Percent,,Kyzylorda,,45-54,726.0
2018,Percent,,Kyzylorda,,55-64,810.2078016824388
2018,Percent,,Kyzylorda,,65 and older,941.0
2018,Percent,,Mangistau,,16-24,538.3856137802676
2018,Percent,,Mangistau,,25-28,867.0
2018,Percent,,Mangistau,,29-34,1351.0
2018,Percent,,Mangistau,,35-44,1585.0
2018,Percent,,Mangistau,,45-54,1641.0
2018,Percent,,Mangistau,,55-64,1661.8786260297784
2018,Percent,,Mangistau,,65 and older,1421.0
2018,Percent,,Ontustik Kazakhstan,,16-24,436.0414511910112
2018,Percent,,Ontustik Kazakhstan,,25-28,514.0
2018,Percent,,Ontustik Kazakhstan,,29-34,608.0
2018,Percent,,Ontustik Kazakhstan,,35-44,651.0
2018,Percent,,Ontustik Kazakhstan,,45-54,666.0
2018,Percent,,Ontustik Kazakhstan,,55-64,672.0641325526118
2018,Percent,,Ontustik Kazakhstan,,65 and older,864.0
2018,Percent,,Pavlodar,,16-24,515.3475799547509
2018,Percent,,Pavlodar,,25-28,638.0
2018,Percent,,Pavlodar,,29-34,765.0
2018,Percent,,Pavlodar,,35-44,828.0
2018,Percent,,Pavlodar,,45-54,787.0
2018,Percent,,Pavlodar,,55-64,814.7523761591942
2018,Percent,,Pavlodar,,65 and older,788.0
2018,Percent,,Soltustik Kazakhstan,,16-24,465.2290295740012
2018,Percent,,Soltustik Kazakhstan,,25-28,566.0
2018,Percent,,Soltustik Kazakhstan,,29-34,662.0
2018,Percent,,Soltustik Kazakhstan,,35-44,697.0
2018,Percent,,Soltustik Kazakhstan,,45-54,629.0
2018,Percent,,Soltustik Kazakhstan,,55-64,607.421827061364
2018,Percent,,Soltustik Kazakhstan,,65 and older,639.0
2018,Percent,,Shygys Kazakhstan,,16-24,530.7171706825818
2018,Percent,,Shygys Kazakhstan,,25-28,628.0
2018,Percent,,Shygys Kazakhstan,,29-34,732.0
2018,Percent,,Shygys Kazakhstan,,35-44,827.0
2018,Percent,,Shygys Kazakhstan,,45-54,757.0
2018,Percent,,Shygys Kazakhstan,,55-64,714.0231608979581
2018,Percent,,Shygys Kazakhstan,,65 and older,890.0
2018,Percent,,Nur-Sultan city,,16-24,723.5714472571913
2018,Percent,,Nur-Sultan city,,25-28,1019.0
2018,Percent,,Nur-Sultan city,,29-34,1403.0
2018,Percent,,Nur-Sultan city,,35-44,1654.0
2018,Percent,,Nur-Sultan city,,45-54,1561.0
2018,Percent,,Nur-Sultan city,,55-64,1460.9735161936446
2018,Percent,,Nur-Sultan city,,65 and older,1444.0
2018,Percent,,Almaty city,,16-24,729.2190398671222
2018,Percent,,Almaty city,,25-28,1021.0
2018,Percent,,Almaty city,,29-34,1380.0
2018,Percent,,Almaty city,,35-44,1726.0
2018,Percent,,Almaty city,,45-54,1357.0
2018,Percent,,Almaty city,,55-64,1245.5688414493034
2018,Percent,,Almaty city,,65 and older,1359.0
2018,Percent,,,Male,16-24,612.0
2018,Percent,,,Male,25-28,827.0
2018,Percent,,,Male,29-34,1100.0
2018,Percent,,,Male,35-44,1347.0
2018,Percent,,,Male,45-54,1205.0
2018,Percent,,,Male,55-64,1107.0
2018,Percent,,,Male,65 and older,1276.0
2018,Percent,,,Female,16-24,532.0
2018,Percent,,,Female,25-28,680.0
2018,Percent,,,Female,29-34,788.0
2018,Percent,,,Female,35-44,868.0
2018,Percent,,,Female,45-54,793.0
2018,Percent,,,Female,55-64,758.0
2018,Percent,,,Female,65 and older,968.0
2018,Percent,всего,,,,958.515148513441
2018,Percent,"agriculture, forestry and fishery",,,,537.4819969475383
2018,Percent,Industry,,,,1382.4681137718335
2018,Percent,Construction,,,,1336.9906282412576
