Year,Units,Schools which has access to,Area,Regions,Value
2015,Percent,electricity,,,100.0
2016,Percent,electricity,,,100.0
2017,Percent,electricity,,,100.0
2016,Percent,access to the internet for education purposes,,,79.1
2017,Percent,access to the internet for education purposes,,,85.8
2018,Percent,access to the internet for education purposes,,,89.9
2016,Percent,access to the internet for education purposes,,Akmola,82.5
2017,Percent,access to the internet for education purposes,,Akmola,85.6
2018,Percent,access to the internet for education purposes,,Akmola,92.9
2016,Percent,access to the internet for education purposes,,Aktobe,69.0
2017,Percent,access to the internet for education purposes,,Aktobe,76.7
2018,Percent,access to the internet for education purposes,,Aktobe,91.3
2016,Percent,access to the internet for education purposes,,Almaty,86.1
2017,Percent,access to the internet for education purposes,,Almaty,91.8
2018,Percent,access to the internet for education purposes,,Almaty,91.8
2016,Percent,access to the internet for education purposes,,Atyrau,74.9
2017,Percent,access to the internet for education purposes,,Atyrau,81.2
2018,Percent,access to the internet for education purposes,,Atyrau,88.2
2016,Percent,access to the internet for education purposes,,Batys Kazakhstan,77.8
2017,Percent,access to the internet for education purposes,,Batys Kazakhstan,88.0
2018,Percent,access to the internet for education purposes,,Batys Kazakhstan,87.2
2016,Percent,access to the internet for education purposes,,Zhambyl,94.8
2017,Percent,access to the internet for education purposes,,Zhambyl,95.5
2018,Percent,access to the internet for education purposes,,Zhambyl,99.3
2016,Percent,access to the internet for education purposes,,Karagandy,76.7
2017,Percent,access to the internet for education purposes,,Karagandy,85.5
2018,Percent,access to the internet for education purposes,,Karagandy,86.9
2016,Percent,access to the internet for education purposes,,Kostanay,73.9
2017,Percent,access to the internet for education purposes,,Kostanay,79.7
2018,Percent,access to the internet for education purposes,,Kostanay,88.9
2016,Percent,access to the internet for education purposes,,Kyzylorda,77.9
2017,Percent,access to the internet for education purposes,,Kyzylorda,82.3
2018,Percent,access to the internet for education purposes,,Kyzylorda,88.7
2016,Percent,access to the internet for education purposes,,Mangistau,88.2
2017,Percent,access to the internet for education purposes,,Mangistau,89.6
2018,Percent,access to the internet for education purposes,,Mangistau,96.3
2016,Percent,access to the internet for education purposes,,Ontustik Kazakhstan,71.7
2017,Percent,access to the internet for education purposes,,Ontustik Kazakhstan,79.7
2016,Percent,access to the internet for education purposes,,Pavlodar,96.7
2017,Percent,access to the internet for education purposes,,Pavlodar,99.0
2018,Percent,access to the internet for education purposes,,Pavlodar,98.9
2016,Percent,access to the internet for education purposes,,Soltustik Kazakhstan,80.3
2017,Percent,access to the internet for education purposes,,Soltustik Kazakhstan,87.4
2018,Percent,access to the internet for education purposes,,Soltustik Kazakhstan,88.9
2018,Percent,access to the internet for education purposes,,Turkistan,80.4
2016,Percent,access to the internet for education purposes,,Shygys Kazakhstan,67.4
2017,Percent,access to the internet for education purposes,,Shygys Kazakhstan,80.7
2018,Percent,access to the internet for education purposes,,Shygys Kazakhstan,85.3
2016,Percent,access to the internet for education purposes,,Nur-Sultan city,78.1
2017,Percent,access to the internet for education purposes,,Nur-Sultan city,87.6
2018,Percent,access to the internet for education purposes,,Nur-Sultan city,97.3
2016,Percent,access to the internet for education purposes,,Almaty city,88.4
2017,Percent,access to the internet for education purposes,,Almaty city,94.5
2018,Percent,access to the internet for education purposes,,Almaty city,97.5
2016,Percent,access to the internet for education purposes,urban area,,87.4
2017,Percent,access to the internet for education purposes,urban area,,92.5
2018,Percent,access to the internet for education purposes,urban area,,95.2
2016,Percent,access to the internet for education purposes,urban area,Akmola,82.2
2017,Percent,access to the internet for education purposes,urban area,Akmola,91.8
2018,Percent,access to the internet for education purposes,urban area,Akmola,90.9
2016,Percent,access to the internet for education purposes,urban area,Aktobe,88.2
2017,Percent,access to the internet for education purposes,urban area,Aktobe,89.6
2018,Percent,access to the internet for education purposes,urban area,Aktobe,96.8
2016,Percent,access to the internet for education purposes,urban area,Almaty,93.4
2017,Percent,access to the internet for education purposes,urban area,Almaty,96.2
2018,Percent,access to the internet for education purposes,urban area,Almaty,96.3
