Year,Units,скорость,Regions,Value
2012,thousands,,,1571.7
2012,thousands,from 256 kb/sec to 2mb/sec,,470.2
2012,thousands,from 256 kb/sec to 2mb/sec,Akmola,19.5
2012,thousands,from 256 kb/sec to 2mb/sec,Aktobe,14.8
2012,thousands,from 256 kb/sec to 2mb/sec,Almaty,70.1
2012,thousands,from 256 kb/sec to 2mb/sec,Atyrau,9.3
2012,thousands,from 256 kb/sec to 2mb/sec,Batys Kazakhstan,11.6
2012,thousands,from 256 kb/sec to 2mb/sec,Zhambyl,14.0
2012,thousands,from 256 kb/sec to 2mb/sec,Karagandy,96.1
2012,thousands,from 256 kb/sec to 2mb/sec,Kostanay,17.0
2012,thousands,from 256 kb/sec to 2mb/sec,Kyzylorda,13.5
2012,thousands,from 256 kb/sec to 2mb/sec,Mangistau,17.9
2012,thousands,from 256 kb/sec to 2mb/sec,Ontustik Kazakhstan,31.8
2012,thousands,from 256 kb/sec to 2mb/sec,Pavlodar,26.8
2012,thousands,from 256 kb/sec to 2mb/sec,Soltustik Kazakhstan,26.6
2012,thousands,from 256 kb/sec to 2mb/sec,Shygys Kazakhstan,16.9
2012,thousands,from 256 kb/sec to 2mb/sec,Nur-Sultan city,21.7
2012,thousands,from 256 kb/sec to 2mb/sec,Almaty city,62.7
2012,thousands,from 2mb/sec to 10 mb/sec,,720.8
2012,thousands,from 2mb/sec to 10 mb/sec,Akmola,34.9
2012,thousands,from 2mb/sec to 10 mb/sec,Aktobe,38.5
2012,thousands,from 2mb/sec to 10 mb/sec,Almaty,4.5
2012,thousands,from 2mb/sec to 10 mb/sec,Atyrau,40.3
2012,thousands,from 2mb/sec to 10 mb/sec,Batys Kazakhstan,26.4
2012,thousands,from 2mb/sec to 10 mb/sec,Zhambyl,24.3
2012,thousands,from 2mb/sec to 10 mb/sec,Karagandy,26.7
2012,thousands,from 2mb/sec to 10 mb/sec,Kostanay,51.3
2012,thousands,from 2mb/sec to 10 mb/sec,Kyzylorda,15.6
2012,thousands,from 2mb/sec to 10 mb/sec,Mangistau,18.1
2012,thousands,from 2mb/sec to 10 mb/sec,Ontustik Kazakhstan,24.9
2012,thousands,from 2mb/sec to 10 mb/sec,Pavlodar,45.1
2012,thousands,from 2mb/sec to 10 mb/sec,Soltustik Kazakhstan,27.4
2012,thousands,from 2mb/sec to 10 mb/sec,Shygys Kazakhstan,71.8
2012,thousands,from 2mb/sec to 10 mb/sec,Nur-Sultan city,75.2
2012,thousands,from 2mb/sec to 10 mb/sec,Almaty city,195.9
2012,thousands,выше 10 Мбит/сек,Akmola,6.3
2012,thousands,выше 10 Мбит/сек,Aktobe,2.1
2012,thousands,выше 10 Мбит/сек,Almaty,5.6
2012,thousands,выше 10 Мбит/сек,Atyrau,6.9
2012,thousands,выше 10 Мбит/сек,Batys Kazakhstan,2.0
2012,thousands,выше 10 Мбит/сек,Zhambyl,1.4
2012,thousands,выше 10 Мбит/сек,Karagandy,16.4
2012,thousands,выше 10 Мбит/сек,Kostanay,10.9
2012,thousands,выше 10 Мбит/сек,Kyzylorda,2.4
2012,thousands,выше 10 Мбит/сек,Mangistau,2.5
2012,thousands,выше 10 Мбит/сек,Ontustik Kazakhstan,4.8
2012,thousands,выше 10 Мбит/сек,Pavlodar,9.6
2012,thousands,выше 10 Мбит/сек,Soltustik Kazakhstan,1.3
2012,thousands,выше 10 Мбит/сек,Shygys Kazakhstan,8.0
2012,thousands,выше 10 Мбит/сек,Nur-Sultan city,11.8
2012,thousands,выше 10 Мбит/сек,Almaty city,243.6
2013,thousands,,,1958.8
2013,thousands,from 256 kb/sec to 2mb/sec,,294.0
2013,thousands,from 256 kb/sec to 2mb/sec,Akmola,20.9
2013,thousands,from 256 kb/sec to 2mb/sec,Aktobe,15.8
2013,thousands,from 256 kb/sec to 2mb/sec,Almaty,11.2
2013,thousands,from 256 kb/sec to 2mb/sec,Atyrau,10.2
2013,thousands,from 256 kb/sec to 2mb/sec,Batys Kazakhstan,10.1
2013,thousands,from 256 kb/sec to 2mb/sec,Zhambyl,13.1
2013,thousands,from 256 kb/sec to 2mb/sec,Karagandy,23.2
2013,thousands,from 256 kb/sec to 2mb/sec,Kostanay,15.8
2013,thousands,from 256 kb/sec to 2mb/sec,Kyzylorda,13.9
2013,thousands,from 256 kb/sec to 2mb/sec,Mangistau,8.1
2013,thousands,from 256 kb/sec to 2mb/sec,Ontustik Kazakhstan,0.9
