Year,Units,Area,Regions,Value
2010,Percent,Urban,,82.0
2010,Percent,Rural,,60.0
2011,Percent,Urban,,82.0
2011,Percent,Rural,,42.5
2012,Percent,Urban,,84.0
2012,Percent,Rural,,43.0
2013,Percent,Urban,,85.0
2013,Percent,Rural,,47.7
2014,Percent,Urban,,86.0
2014,Percent,Rural,,50.3
2014,Percent,Urban,Akmola,81.3
2014,Percent,Rural,Akmola,57.5
2014,Percent,Urban,Aktobe,96.9
2014,Percent,Rural,Aktobe,39.5
2014,Percent,Urban,Almaty,79.8
2014,Percent,Rural,Almaty,70.4
2014,Percent,Urban,Atyrau,96.2
2014,Percent,Rural,Atyrau,64.3
2014,Percent,Urban,Batys Kazakhstan,87.0
2014,Percent,Rural,Batys Kazakhstan,36.5
2014,Percent,Urban,Zhambyl,74.7
2014,Percent,Rural,Zhambyl,56.9
2014,Percent,Urban,Karagandy,79.5
2014,Percent,Rural,Karagandy,51.5
2014,Percent,Urban,Kostanay,89.1
2014,Percent,Rural,Kostanay,27.5
2014,Percent,Urban,Kyzylorda,77.1
2014,Percent,Rural,Kyzylorda,70.9
2014,Percent,Urban,Mangistau,88.9
2014,Percent,Rural,Mangistau,47.1
2014,Percent,Urban,Ontustik Kazakhstan,81.2
2014,Percent,Rural,Ontustik Kazakhstan,72.9
2014,Percent,Urban,Pavlodar,83.3
2014,Percent,Rural,Pavlodar,20.4
2014,Percent,Urban,Soltustik Kazakhstan,93.1
2014,Percent,Rural,Soltustik Kazakhstan,48.1
2014,Percent,Urban,Shygys Kazakhstan,88.6
2014,Percent,Rural,Shygys Kazakhstan,40.3
2014,Percent,,Nur-Sultan city,88.1
2014,Percent,,Almaty city,91.2
2015,Percent,Urban,,87.0
2015,Percent,Rural,,51.5
2015,Percent,Urban,Akmola,82.2
2015,Percent,Rural,Akmola,57.7
2015,Percent,Urban,Aktobe,97.1
2015,Percent,Rural,Aktobe,42.0
2015,Percent,Urban,Almaty,80.9
2015,Percent,Rural,Almaty,71.2
2015,Percent,Urban,Atyrau,94.0
2015,Percent,Rural,Atyrau,75.0
2015,Percent,Urban,Batys Kazakhstan,88.1
2015,Percent,Rural,Batys Kazakhstan,36.1
2015,Percent,Urban,Zhambyl,76.2
2015,Percent,Rural,Zhambyl,59.1
2015,Percent,Urban,Karagandy,81.3
