Year,Units,Sex,Regions,Value
2015,Percent,,,99.81213409838932
2015,Percent,Boys,,100.0
2015,Percent,Girls,,95.54547647768395
2015,Percent,,Akmola,100.0
2015,Percent,,Aktobe,100.0
2015,Percent,,Almaty,97.8
2015,Percent,,Atyrau,100.0
2015,Percent,,Batys Kazakhstan,100.0
2015,Percent,,Zhambyl,100.0
2015,Percent,,Karagandy,100.0
2015,Percent,,Kostanay,100.0
2015,Percent,,Kyzylorda,100.0
2015,Percent,,Mangistau,100.0
2015,Percent,,Ontustik Kazakhstan,99.5
2015,Percent,,Pavlodar,100.0
2015,Percent,,Soltustik Kazakhstan,100.0
2015,Percent,,Shygys Kazakhstan,100.0
2015,Percent,,Nur-Sultan city,99.7
2015,Percent,,Almaty city,99.8
2015,Percent,Boys,Akmola,100.0
2015,Percent,Girls,Akmola,100.0
2015,Percent,Boys,Aktobe,100.0
2015,Percent,Girls,Aktobe,100.0
2015,Percent,Boys,Almaty,97.94669047315394
2015,Percent,Girls,Almaty,97.69844146429865
2015,Percent,Boys,Atyrau,100.0
2015,Percent,Girls,Atyrau,100.0
2015,Percent,Boys,Batys Kazakhstan,100.0
2015,Percent,Girls,Batys Kazakhstan,100.0
2015,Percent,Boys,Zhambyl,100.0
2015,Percent,Girls,Zhambyl,100.0
2015,Percent,Boys,Karagandy,100.0
2015,Percent,Girls,Karagandy,100.0
2015,Percent,Boys,Kostanay,100.0
2015,Percent,Girls,Kostanay,100.0
2015,Percent,Boys,Kyzylorda,100.0
2015,Percent,Girls,Kyzylorda,100.0
2015,Percent,Boys,Mangistau,100.0
2015,Percent,Girls,Mangistau,100.0
2015,Percent,Boys,Ontustik Kazakhstan,99.03708400854882
2015,Percent,Girls,Ontustik Kazakhstan,100.0
2015,Percent,Boys,Pavlodar,100.0
2015,Percent,Girls,Pavlodar,100.0
2015,Percent,Boys,Soltustik Kazakhstan,100.0
2015,Percent,Girls,Soltustik Kazakhstan,100.0
2015,Percent,Boys,Shygys Kazakhstan,100.0
2015,Percent,Girls,Shygys Kazakhstan,100.0
2015,Percent,Boys,Nur-Sultan city,100.0
2015,Percent,Girls,Nur-Sultan city,82.83477036776353
2015,Percent,Boys,Almaty city,100.0
2015,Percent,Girls,Almaty city,93.84175167952226
2016,Percent,,,95.85777639042871
2016,Percent,Boys,,98.77800407331976
2016,Percent,Girls,,92.88182559087204
2016,Percent,,Akmola,100.0
2016,Percent,,Aktobe,100.0
2016,Percent,,Almaty,100.0
2016,Percent,,Atyrau,100.0
2016,Percent,,Batys Kazakhstan,100.0
2016,Percent,,Zhambyl,100.0
2016,Percent,,Karagandy,96.8
2016,Percent,,Kostanay,100.0
2016,Percent,,Kyzylorda,100.0
2016,Percent,,Mangistau,100.0
2016,Percent,,Ontustik Kazakhstan,88.1
2016,Percent,,Pavlodar,100.0
2016,Percent,,Soltustik Kazakhstan,100.0
2016,Percent,,Shygys Kazakhstan,100.0
2016,Percent,,Nur-Sultan city,84.9
2016,Percent,,Almaty city,89.5
2016,Percent,Boys,Akmola,100.0
2016,Percent,Girls,Akmola,100.0
2016,Percent,Boys,Aktobe,100.0
2016,Percent,Girls,Aktobe,100.0
