Year,Units,Regions,Area,Sex,Education,Marital status,citizenship,GeoCode,Value
2010,per 100000 population,,,,,,,,7.14
2011,per 100000 population,,,,,,,,5.99
2012,per 100000 population,,,,,,,,5.84
2013,per 100000 population,,,,,,,,4.63
2014,per 100000 population,,,,,,,,4.35
2015,per 100000 population,,,,,,,,3.73
2016,per 100000 population,,,,,,,,3.15
2017,per 100000 population,,,,,,,,2.95
2018,per 100000 population,,,,,,,,2.77
2010,per 100000 population,Akmola,,,,,,KZ03,11.3
2011,per 100000 population,Akmola,,,,,,KZ03,10.38
2012,per 100000 population,Akmola,,,,,,KZ03,8.61
2013,per 100000 population,Akmola,,,,,,KZ03,6.4
2014,per 100000 population,Akmola,,,,,,KZ03,8.29
2015,per 100000 population,Akmola,,,,,,KZ03,8.1
2016,per 100000 population,Akmola,,,,,,KZ03,7.03
2017,per 100000 population,Akmola,,,,,,KZ03,6.11
2018,per 100000 population,Akmola,,,,,,KZ03,6.36
2010,per 100000 population,Aktobe,,,,,,KZ04,4.15
2011,per 100000 population,Aktobe,,,,,,KZ04,2.69
2012,per 100000 population,Aktobe,,,,,,KZ04,4.04
2013,per 100000 population,Aktobe,,,,,,KZ04,3.24
2014,per 100000 population,Aktobe,,,,,,KZ04,2.45
2015,per 100000 population,Aktobe,,,,,,KZ04,2.41
2016,per 100000 population,Aktobe,,,,,,KZ04,1.9
2017,per 100000 population,Aktobe,,,,,,KZ04,2.47
2018,per 100000 population,Aktobe,,,,,,KZ04,2.08
2010,per 100000 population,Almaty,,,,,,KZ01,6.96
2011,per 100000 population,Almaty,,,,,,KZ01,5.66
2012,per 100000 population,Almaty,,,,,,KZ01,5.91
2013,per 100000 population,Almaty,,,,,,KZ01,4.17
2014,per 100000 population,Almaty,,,,,,KZ01,3.74
2015,per 100000 population,Almaty,,,,,,KZ01,5.53
2016,per 100000 population,Almaty,,,,,,KZ01,4.02
2017,per 100000 population,Almaty,,,,,,KZ01,3.9
2018,per 100000 population,Almaty,,,,,,KZ01,3.45
2010,per 100000 population,Atyrau,,,,,,KZ06,2.66
2011,per 100000 population,Atyrau,,,,,,KZ06,4.84
2012,per 100000 population,Atyrau,,,,,,KZ06,3.1
2013,per 100000 population,Atyrau,,,,,,KZ06,2.32
2014,per 100000 population,Atyrau,,,,,,KZ06,3.65
2015,per 100000 population,Atyrau,,,,,,KZ06,0.85
2016,per 100000 population,Atyrau,,,,,,KZ06,1.33
2017,per 100000 population,Atyrau,,,,,,KZ06,0.98
2018,per 100000 population,Atyrau,,,,,,KZ06,0.8
2010,per 100000 population,Batys Kazakhstan,,,,,,KZ07,6.6
2011,per 100000 population,Batys Kazakhstan,,,,,,KZ07,6.06
2012,per 100000 population,Batys Kazakhstan,,,,,,KZ07,4.39
2013,per 100000 population,Batys Kazakhstan,,,,,,KZ07,3.7
2014,per 100000 population,Batys Kazakhstan,,,,,,KZ07,4.15
2015,per 100000 population,Batys Kazakhstan,,,,,,KZ07,2.84
2016,per 100000 population,Batys Kazakhstan,,,,,,KZ07,2.82
2017,per 100000 population,Batys Kazakhstan,,,,,,KZ07,1.86
2018,per 100000 population,Batys Kazakhstan,,,,,,KZ07,3.54
2010,per 100000 population,Zhambyl,,,,,,KZ17,4.04
2011,per 100000 population,Zhambyl,,,,,,KZ17,5.42
2012,per 100000 population,Zhambyl,,,,,,KZ17,5.93
2013,per 100000 population,Zhambyl,,,,,,KZ17,7.33
2014,per 100000 population,Zhambyl,,,,,,KZ17,3.76
2015,per 100000 population,Zhambyl,,,,,,KZ17,1.81
2016,per 100000 population,Zhambyl,,,,,,KZ17,1.8
2017,per 100000 population,Zhambyl,,,,,,KZ17,1.79
2018,per 100000 population,Zhambyl,,,,,,KZ17,1.87
2010,per 100000 population,Karagandy,,,,,,KZ12,13.41
2011,per 100000 population,Karagandy,,,,,,KZ12,9.74
2012,per 100000 population,Karagandy,,,,,,KZ12,11.03
2013,per 100000 population,Karagandy,,,,,,KZ12,6.59
2014,per 100000 population,Karagandy,,,,,,KZ12,5.6
2015,per 100000 population,Karagandy,,,,,,KZ12,5.5
2016,per 100000 population,Karagandy,,,,,,KZ12,3.83
2017,per 100000 population,Karagandy,,,,,,KZ12,3.76
2018,per 100000 population,Karagandy,,,,,,KZ12,3.04
2010,per 100000 population,Kostanay,,,,,,KZ13,11.33
2011,per 100000 population,Kostanay,,,,,,KZ13,9.77
2012,per 100000 population,Kostanay,,,,,,KZ13,9.66
2013,per 100000 population,Kostanay,,,,,,KZ13,8.29
2014,per 100000 population,Kostanay,,,,,,KZ13,8.4
2015,per 100000 population,Kostanay,,,,,,KZ13,7.59
2016,per 100000 population,Kostanay,,,,,,KZ13,5.56
2017,per 100000 population,Kostanay,,,,,,KZ13,3.31
2018,per 100000 population,Kostanay,,,,,,KZ13,3.32
2010,per 100000 population,Kyzylorda,,,,,,KZ14,1.87
2011,per 100000 population,Kyzylorda,,,,,,KZ14,0.42
2012,per 100000 population,Kyzylorda,,,,,,KZ14,0.56
