Year,Units,Area,Sex,Regions,GeoCode,Value
2010,Percent,,,,,6.5
2011,Percent,,,,,5.5
2012,Percent,,,,,3.8
2013,Percent,,,,,2.9
2014,Percent,,,,,2.8
2015,Percent,,,,,2.7
2016,Percent,,,,,2.6
2017,Percent,,,,,2.6
2018,Percent,,,,,4.3
2010,Percent,Urban,,,,3.7
2011,Percent,Urban,,,,2.5
2012,Percent,Urban,,,,1.9
2013,Percent,Urban,,,,1.3
2014,Percent,Urban,,,,1.3
2015,Percent,Urban,,,,1.3
2016,Percent,Urban,,,,1.3
2017,Percent,Urban,,,,1.2
2018,Percent,Urban,,,,2.5
2010,Percent,Rural,,,,10.1
2011,Percent,Rural,,,,9.1
2012,Percent,Rural,,,,6.1
2013,Percent,Rural,,,,4.9
2014,Percent,Rural,,,,4.7
2015,Percent,Rural,,,,4.4
2016,Percent,Rural,,,,4.4
2017,Percent,Rural,,,,4.5
2018,Percent,Rural,,,,6.7
2010,Percent,,Male,,,6.8
2011,Percent,,Male,,,5.7
2012,Percent,,Male,,,4.0
2013,Percent,,Male,,,3.1
2014,Percent,,Male,,,3.0
2015,Percent,,Male,,,2.7
2016,Percent,,Male,,,2.6
2017,Percent,,Male,,,2.7
2018,Percent,,Male,,,4.4
2010,Percent,,Female,,,6.3
2011,Percent,,Female,,,5.3
2012,Percent,,Female,,,3.7
2013,Percent,,Female,,,2.7
2014,Percent,,Female,,,2.0
2015,Percent,,Female,,,2.6
2016,Percent,,Female,,,2.5
2017,Percent,,Female,,,2.6
2018,Percent,,Female,,,4.2
2010,Percent,,,Akmola,KZ03,4.4
2011,Percent,,,Akmola,KZ03,6.2
2012,Percent,,,Akmola,KZ03,3.9
2013,Percent,,,Akmola,KZ03,3.9
2014,Percent,,,Akmola,KZ03,2.9
2015,Percent,,,Akmola,KZ03,2.9
2016,Percent,,,Akmola,KZ03,3.0
2017,Percent,,,Akmola,KZ03,2.9
2018,Percent,,,Akmola,KZ03,4.2
2010,Percent,,,Aktobe,KZ04,6.0
2011,Percent,,,Aktobe,KZ04,2.4
2012,Percent,,,Aktobe,KZ04,2.4
2013,Percent,,,Aktobe,KZ04,2.0
2014,Percent,,,Aktobe,KZ04,1.8
2015,Percent,,,Aktobe,KZ04,1.7
2016,Percent,,,Aktobe,KZ04,1.9
2017,Percent,,,Aktobe,KZ04,1.9
2018,Percent,,,Aktobe,KZ04,2.9
2010,Percent,,,Almaty,KZ01,6.6
2011,Percent,,,Almaty,KZ01,3.4
2012,Percent,,,Almaty,KZ01,3.2
2013,Percent,,,Almaty,KZ01,2.0
2014,Percent,,,Almaty,KZ01,2.5
2015,Percent,,,Almaty,KZ01,2.3
2016,Percent,,,Almaty,KZ01,2.2
2017,Percent,,,Almaty,KZ01,2.4
2018,Percent,,,Almaty,KZ01,3.7
2010,Percent,,,Atyrau,KZ06,5.9
2011,Percent,,,Atyrau,KZ06,5.2
2012,Percent,,,Atyrau,KZ06,3.3
2013,Percent,,,Atyrau,KZ06,3.3
2014,Percent,,,Atyrau,KZ06,2.8
2015,Percent,,,Atyrau,KZ06,2.8
2016,Percent,,,Atyrau,KZ06,3.1
2017,Percent,,,Atyrau,KZ06,2.8
2018,Percent,,,Atyrau,KZ06,2.5
2010,Percent,,,Batys Kazakhstan,KZ07,6.7
2011,Percent,,,Batys Kazakhstan,KZ07,4.8
2012,Percent,,,Batys Kazakhstan,KZ07,4.1
2013,Percent,,,Batys Kazakhstan,KZ07,3.7
2014,Percent,,,Batys Kazakhstan,KZ07,2.9
2015,Percent,,,Batys Kazakhstan,KZ07,3.1
2016,Percent,,,Batys Kazakhstan,KZ07,2.8
2017,Percent,,,Batys Kazakhstan,KZ07,2.7
2018,Percent,,,Batys Kazakhstan,KZ07,3.2
2010,Percent,,,Zhambyl,KZ17,5.3
2011,Percent,,,Zhambyl,KZ17,5.1
