Year,Units,Regions,Area,Sex,Education,Marital status,citizenship,GeoCode,Value
2010,per 100000 population,,,,,,,,22.26
2011,per 100000 population,,,,,,,,20.8
2012,per 100000 population,,,,,,,,19.68
2013,per 100000 population,,,,,,,,20.67
2014,per 100000 population,,,,,,,,18.1
2015,per 100000 population,,,,,,,,16.52
2016,per 100000 population,,,,,,,,14.47
2017,per 100000 population,,,,,,,,14.77
2018,per 100000 population,,,,,,,,13.65
2010,per 100000 population,Akmola,,,,,,KZ03,44.13
2011,per 100000 population,Akmola,,,,,,KZ03,34.96
2012,per 100000 population,Akmola,,,,,,KZ03,35.24
2013,per 100000 population,Akmola,,,,,,KZ03,37.05
2014,per 100000 population,Akmola,,,,,,KZ03,36.54
2015,per 100000 population,Akmola,,,,,,KZ03,33.9
2016,per 100000 population,Akmola,,,,,,KZ03,27.18
2017,per 100000 population,Akmola,,,,,,KZ03,34.34
2018,per 100000 population,Akmola,,,,,,KZ03,25.58
2010,per 100000 population,Aktobe,,,,,,KZ04,18.56
2011,per 100000 population,Aktobe,,,,,,KZ04,17.39
2012,per 100000 population,Aktobe,,,,,,KZ04,21.49
2013,per 100000 population,Aktobe,,,,,,KZ04,20.94
2014,per 100000 population,Aktobe,,,,,,KZ04,18.14
2015,per 100000 population,Aktobe,,,,,,KZ04,20.39
2016,per 100000 population,Aktobe,,,,,,KZ04,17.73
2017,per 100000 population,Aktobe,,,,,,KZ04,14.91
2018,per 100000 population,Aktobe,,,,,,KZ04,14.94
2010,per 100000 population,Almaty,,,,,,KZ01,21.52
2011,per 100000 population,Almaty,,,,,,KZ01,20.47
2012,per 100000 population,Almaty,,,,,,KZ01,21.11
2013,per 100000 population,Almaty,,,,,,KZ01,22.28
2014,per 100000 population,Almaty,,,,,,KZ01,21.44
2015,per 100000 population,Almaty,,,,,,KZ01,17.37
2016,per 100000 population,Almaty,,,,,,KZ01,16.54
2017,per 100000 population,Almaty,,,,,,KZ01,18.9
2018,per 100000 population,Almaty,,,,,,KZ01,15.19
2010,per 100000 population,Atyrau,,,,,,KZ06,17.66
2011,per 100000 population,Atyrau,,,,,,KZ06,13.4
2012,per 100000 population,Atyrau,,,,,,KZ06,17.48
2013,per 100000 population,Atyrau,,,,,,KZ06,19.77
2014,per 100000 population,Atyrau,,,,,,KZ06,16.01
2015,per 100000 population,Atyrau,,,,,,KZ06,18.37
2016,per 100000 population,Atyrau,,,,,,KZ06,13.98
2017,per 100000 population,Atyrau,,,,,,KZ06,13.03
2018,per 100000 population,Atyrau,,,,,,KZ06,10.68
2010,per 100000 population,Batys Kazakhstan,,,,,,KZ07,28.54
2011,per 100000 population,Batys Kazakhstan,,,,,,KZ07,33.75
2012,per 100000 population,Batys Kazakhstan,,,,,,KZ07,32.19
2013,per 100000 population,Batys Kazakhstan,,,,,,KZ07,26.41
2014,per 100000 population,Batys Kazakhstan,,,,,,KZ07,23.76
2015,per 100000 population,Batys Kazakhstan,,,,,,KZ07,19.1
2016,per 100000 population,Batys Kazakhstan,,,,,,KZ07,17.52
2017,per 100000 population,Batys Kazakhstan,,,,,,KZ07,15.83
2018,per 100000 population,Batys Kazakhstan,,,,,,KZ07,21.24
2010,per 100000 population,Zhambyl,,,,,,KZ17,17.4
2011,per 100000 population,Zhambyl,,,,,,KZ17,17.89
2012,per 100000 population,Zhambyl,,,,,,KZ17,14.49
2013,per 100000 population,Zhambyl,,,,,,KZ17,19.59
2014,per 100000 population,Zhambyl,,,,,,KZ17,17.04
2015,per 100000 population,Zhambyl,,,,,,KZ17,12.76
2016,per 100000 population,Zhambyl,,,,,,KZ17,10.33
2017,per 100000 population,Zhambyl,,,,,,KZ17,9.5
2018,per 100000 population,Zhambyl,,,,,,KZ17,8.83
2010,per 100000 population,Karagandy,,,,,,KZ12,33.57
2011,per 100000 population,Karagandy,,,,,,KZ12,29.0
2012,per 100000 population,Karagandy,,,,,,KZ12,26.83
2013,per 100000 population,Karagandy,,,,,,KZ12,25.76
2014,per 100000 population,Karagandy,,,,,,KZ12,26.57
2015,per 100000 population,Karagandy,,,,,,KZ12,22.87
2016,per 100000 population,Karagandy,,,,,,KZ12,21.82
2017,per 100000 population,Karagandy,,,,,,KZ12,22.15
2018,per 100000 population,Karagandy,,,,,,KZ12,20.01
2010,per 100000 population,Kostanay,,,,,,KZ13,38.19
2011,per 100000 population,Kostanay,,,,,,KZ13,40.99
2012,per 100000 population,Kostanay,,,,,,KZ13,38.87
2013,per 100000 population,Kostanay,,,,,,KZ13,42.25
2014,per 100000 population,Kostanay,,,,,,KZ13,31.66
2015,per 100000 population,Kostanay,,,,,,KZ13,36.82
2016,per 100000 population,Kostanay,,,,,,KZ13,31.99
2017,per 100000 population,Kostanay,,,,,,KZ13,28.61
2018,per 100000 population,Kostanay,,,,,,KZ13,25.85
2010,per 100000 population,Kyzylorda,,,,,,KZ14,8.64
2011,per 100000 population,Kyzylorda,,,,,,KZ14,7.22
2012,per 100000 population,Kyzylorda,,,,,,KZ14,14.17
2013,per 100000 population,Kyzylorda,,,,,,KZ14,16.91
2014,per 100000 population,Kyzylorda,,,,,,KZ14,9.38
2015,per 100000 population,Kyzylorda,,,,,,KZ14,7.38
2016,per 100000 population,Kyzylorda,,,,,,KZ14,7.28
2017,per 100000 population,Kyzylorda,,,,,,KZ14,5.27
2018,per 100000 population,Kyzylorda,,,,,,KZ14,4.44
2010,per 100000 population,Mangistau,,,,,,KZ09,13.24
2011,per 100000 population,Mangistau,,,,,,KZ09,10.65
2012,per 100000 population,Mangistau,,,,,,KZ09,5.21
2013,per 100000 population,Mangistau,,,,,,KZ09,12.47
2014,per 100000 population,Mangistau,,,,,,KZ09,8.37
2015,per 100000 population,Mangistau,,,,,,KZ09,8.11
2016,per 100000 population,Mangistau,,,,,,KZ09,11.18
2017,per 100000 population,Mangistau,,,,,,KZ09,9.52
2018,per 100000 population,Mangistau,,,,,,KZ09,9.56
2010,per 100000 population,Ontustik Kazakhstan,,,,,,KZ10,11.46
2011,per 100000 population,Ontustik Kazakhstan,,,,,,KZ10,10.68
2012,per 100000 population,Ontustik Kazakhstan,,,,,,KZ10,11.66
2013,per 100000 population,Ontustik Kazakhstan,,,,,,KZ10,13.53
2014,per 100000 population,Ontustik Kazakhstan,,,,,,KZ10,13.11
2015,per 100000 population,Ontustik Kazakhstan,,,,,,KZ10,11.12
2016,per 100000 population,Ontustik Kazakhstan,,,,,,KZ10,8.71
2017,per 100000 population,Ontustik Kazakhstan,,,,,,KZ10,11.26
2010,per 100000 population,Pavlodar,,,,,,KZ11,27.1
2011,per 100000 population,Pavlodar,,,,,,KZ11,32.01
2012,per 100000 population,Pavlodar,,,,,,KZ11,28.34
2013,per 100000 population,Pavlodar,,,,,,KZ11,25.43
2014,per 100000 population,Pavlodar,,,,,,KZ11,13.52
2015,per 100000 population,Pavlodar,,,,,,KZ11,4.89
2016,per 100000 population,Pavlodar,,,,,,KZ11,4.49
2017,per 100000 population,Pavlodar,,,,,,KZ11,9.66
2018,per 100000 population,Pavlodar,,,,,,KZ11,7.82
2010,per 100000 population,Soltustik Kazakhstan,,,,,,KZ16,26.22
2011,per 100000 population,Soltustik Kazakhstan,,,,,,KZ16,17.56
2012,per 100000 population,Soltustik Kazakhstan,,,,,,KZ16,8.42
2013,per 100000 population,Soltustik Kazakhstan,,,,,,KZ16,10.56
2014,per 100000 population,Soltustik Kazakhstan,,,,,,KZ16,11.33
2015,per 100000 population,Soltustik Kazakhstan,,,,,,KZ16,16.65
2016,per 100000 population,Soltustik Kazakhstan,,,,,,KZ16,17.48
2017,per 100000 population,Soltustik Kazakhstan,,,,,,KZ16,11.59
2018,per 100000 population,Soltustik Kazakhstan,,,,,,KZ16,15.09
2018,per 100000 population,Turkistan,,,,,,KZ10,1.97
2010,per 100000 population,Shygys Kazakhstan,,,,,,KZ15,40.41
2011,per 100000 population,Shygys Kazakhstan,,,,,,KZ15,36.88
2012,per 100000 population,Shygys Kazakhstan,,,,,,KZ15,30.91
2013,per 100000 population,Shygys Kazakhstan,,,,,,KZ15,31.27
2014,per 100000 population,Shygys Kazakhstan,,,,,,KZ15,28.32
2015,per 100000 population,Shygys Kazakhstan,,,,,,KZ15,26.72
2016,per 100000 population,Shygys Kazakhstan,,,,,,KZ15,22.69
2017,per 100000 population,Shygys Kazakhstan,,,,,,KZ15,22.0
2018,per 100000 population,Shygys Kazakhstan,,,,,,KZ15,19.84
2010,per 100000 population,Nur-Sultan city,,,,,,KZ05,12.18
2011,per 100000 population,Nur-Sultan city,,,,,,KZ05,11.81
2012,per 100000 population,Nur-Sultan city,,,,,,KZ05,10.12
2013,per 100000 population,Nur-Sultan city,,,,,,KZ05,12.56
