Year,Units,Regions,GeoCode,Value
2010,Number of individuals,,,107786.0
2011,Number of individuals,,,134568.0
2012,Number of individuals,,,114150.0
2013,Number of individuals,,,111466.0
2014,Number of individuals,,,120609.0
2015,Number of individuals,,,108673.0
2016,Number of individuals,,,77947.0
2017,Number of individuals,,,68392.0
2018,Number of individuals,,,68339.0
2010,Number of individuals,Akmola,KZ03,1423.0
2011,Number of individuals,Akmola,KZ03,1192.0
2012,Number of individuals,Akmola,KZ03,786.0
2013,Number of individuals,Akmola,KZ03,581.0
2014,Number of individuals,Akmola,KZ03,595.0
2015,Number of individuals,Akmola,KZ03,1586.0
2016,Number of individuals,Akmola,KZ03,371.0
2017,Number of individuals,Akmola,KZ03,389.0
2018,Number of individuals,Akmola,KZ03,384.0
2010,Number of individuals,Aktobe,KZ04,5642.0
2011,Number of individuals,Aktobe,KZ04,2221.0
2012,Number of individuals,Aktobe,KZ04,2229.0
2013,Number of individuals,Aktobe,KZ04,2172.0
2014,Number of individuals,Aktobe,KZ04,1047.0
2015,Number of individuals,Aktobe,KZ04,1182.0
2016,Number of individuals,Aktobe,KZ04,451.0
2017,Number of individuals,Aktobe,KZ04,384.0
2018,Number of individuals,Aktobe,KZ04,384.0
2010,Number of individuals,Almaty,KZ01,3869.0
2011,Number of individuals,Almaty,KZ01,3475.0
2012,Number of individuals,Almaty,KZ01,2680.0
2013,Number of individuals,Almaty,KZ01,2287.0
2014,Number of individuals,Almaty,KZ01,1908.0
2015,Number of individuals,Almaty,KZ01,1607.0
2016,Number of individuals,Almaty,KZ01,1686.0
2017,Number of individuals,Almaty,KZ01,1763.0
2018,Number of individuals,Almaty,KZ01,1680.0
2010,Number of individuals,Atyrau,KZ06,1558.0
2011,Number of individuals,Atyrau,KZ06,1720.0
2012,Number of individuals,Atyrau,KZ06,2802.0
2013,Number of individuals,Atyrau,KZ06,2818.0
2014,Number of individuals,Atyrau,KZ06,2760.0
2015,Number of individuals,Atyrau,KZ06,3124.0
