Year,Units,Area,Sex,Regions,Age,Education,Квинтиль индекса благосостояния,nationality,GeoCode,Value
2010,Percent,,,,,,,,,86.1
2015,Percent,,,,,,,,,85.5
2010,Percent,городская местность,,,,,,,,87.2
2015,Percent,городская местность,,,,,,,,86.0
2010,Percent,сельская местность,,,,,,,,85.1
2015,Percent,сельская местность,,,,,,,,85.1
2010,Percent,,Male,,,,,,,83.5
2015,Percent,,Male,,,,,,,84.8
2010,Percent,,Female,,,,,,,89.0
2015,Percent,,Female,,,,,,,86.3
2010,Percent,,,Akmola,,,,,KZ03,80.3
2015,Percent,,,Akmola,,,,,KZ03,81.0
2010,Percent,,,Aktobe,,,,,KZ04,69.0
2015,Percent,,,Aktobe,,,,,KZ04,95.0
2010,Percent,,,Almaty,,,,,KZ01,91.1
2015,Percent,,,Almaty,,,,,KZ01,96.8
2010,Percent,,,Atyrau,,,,,KZ06,89.3
2015,Percent,,,Atyrau,,,,,KZ06,82.0
2010,Percent,,,Batys Kazakhstan,,,,,KZ07,85.0
2015,Percent,,,Batys Kazakhstan,,,,,KZ07,86.6
2010,Percent,,,Zhambyl,,,,,KZ17,83.0
2015,Percent,,,Zhambyl,,,,,KZ17,79.4
2010,Percent,,,Karagandy,,,,,KZ12,92.3
2015,Percent,,,Karagandy,,,,,KZ12,80.6
2010,Percent,,,Kostanay,,,,,KZ13,92.4
2015,Percent,,,Kostanay,,,,,KZ13,92.5
2010,Percent,,,Kyzylorda,,,,,KZ14,92.0
2015,Percent,,,Kyzylorda,,,,,KZ14,88.6
2010,Percent,,,Mangistau,,,,,KZ09,87.4
2015,Percent,,,Mangistau,,,,,KZ09,79.5
2010,Percent,,,Ontustik Kazakhstan,,,,,KZ10,81.5
2015,Percent,,,Ontustik Kazakhstan,,,,,KZ10,82.2
2010,Percent,,,Pavlodar,,,,,KZ11,90.6
2015,Percent,,,Pavlodar,,,,,KZ11,88.5
2010,Percent,,,Soltustik Kazakhstan,,,,,KZ16,86.5
2015,Percent,,,Soltustik Kazakhstan,,,,,KZ16,83.5
2010,Percent,,,Shygys Kazakhstan,,,,,KZ15,83.2
2015,Percent,,,Shygys Kazakhstan,,,,,KZ15,84.2
2010,Percent,,,Nur-Sultan city,,,,,KZ05,96.0
2015,Percent,,,Nur-Sultan city,,,,,KZ05,84.5
2010,Percent,,,Almaty city,,,,,KZ02,89.0
2015,Percent,,,Almaty city,,,,,KZ02,90.8
2010,Percent,,,,36-47 months,,,,,82.9
2015,Percent,,,,36-47 months,,,,,81.4
2010,Percent,,,,48-59 months,,,,,89.4
2015,Percent,,,,48-59 months,,,,,90.0
2010,Percent,,,,,Elementary education/ High education (incomplete),,,,82.1
2010,Percent,,,,,basic secondary (middle-school),,,,81.3
2015,Percent,,,,,basic secondary (middle-school),,,,85.9
2010,Percent,,,,,High Education (General),,,,88.9
2015,Percent,,,,,High Education (General),,,,82.0
2015,Percent,,,,,Community College and Vocational type of Education,,,,85.2
2010,Percent,,,,,Higher education,,,,89.9
2015,Percent,,,,,Higher education,,,,87.9
2010,Percent,,,,,,extreme poverty,,,83.3
2015,Percent,,,,,,extreme poverty,,,87.2
2010,Percent,,,,,,second,,,82.8
2015,Percent,,,,,,second,,,82.4
2010,Percent,,,,,,third,,,88.6
2015,Percent,,,,,,third,,,83.2
2010,Percent,,,,,,fourth,,,85.3
2015,Percent,,,,,,fourth,,,87.3
2010,Percent,,,,,,wealthy,,,92.1
2015,Percent,,,,,,wealthy,,,87.9
2010,Percent,,,,,,,Kazakh,,86.2
2015,Percent,,,,,,,Kazakh,,86.2
2010,Percent,,,,,,,Russian,,88.8
2015,Percent,,,,,,,Russian,,87.0
2010,Percent,,,,,,,Other,,83.0
2015,Percent,,,,,,,Other,,82.0
