Year,Units,Әйелдердің алатын орындарының үлесі,Value
2010,пайыз,ұлттық парламенттерде (Мәжіліс),17.8
2011,пайыз,ұлттық парламенттерде (Мәжіліс),17.8
2012,пайыз,ұлттық парламенттерде (Мәжіліс),23.8
2013,пайыз,ұлттық парламенттерде (Мәжіліс),26.2
2014,пайыз,ұлттық парламенттерде (Мәжіліс),26.2
2015,пайыз,ұлттық парламенттерде (Мәжіліс),26.7
2016,пайыз,ұлттық парламенттерде (Мәжіліс),27.6
2017,пайыз,ұлттық парламенттерде (Мәжіліс),27.4
2018,пайыз,ұлттық парламенттерде (Мәжіліс),27.6
2011,пайыз,жергілікті билік органдарында (Мәслихаттар),16.94
2012,пайыз,жергілікті билік органдарында (Мәслихаттар),17.0
2013,пайыз,жергілікті билік органдарында (Мәслихаттар),18.17
2014,пайыз,жергілікті билік органдарында (Мәслихаттар),18.41
2015,пайыз,жергілікті билік органдарында (Мәслихаттар),18.8
2016,пайыз,жергілікті билік органдарында (Мәслихаттар),22.16
2017,пайыз,жергілікті билік органдарында (Мәслихаттар),22.1
2018,пайыз,жергілікті билік органдарында (Мәслихаттар),22.19
