Year,Units,Өңірлер,Аймақ,Жынысы,Білім беру,Отбасылық жағдайы,азаматтығы,GeoCode,Value
2010,100 000 халыққа,,,,,,,,7.14
2011,100 000 халыққа,,,,,,,,5.99
2012,100 000 халыққа,,,,,,,,5.84
2013,100 000 халыққа,,,,,,,,4.63
2014,100 000 халыққа,,,,,,,,4.35
2015,100 000 халыққа,,,,,,,,3.73
2016,100 000 халыққа,,,,,,,,3.15
2017,100 000 халыққа,,,,,,,,2.95
2018,100 000 халыққа,,,,,,,,2.77
2010,100 000 халыққа,Ақмола,,,,,,KZ03,11.3
2011,100 000 халыққа,Ақмола,,,,,,KZ03,10.38
2012,100 000 халыққа,Ақмола,,,,,,KZ03,8.61
2013,100 000 халыққа,Ақмола,,,,,,KZ03,6.4
2014,100 000 халыққа,Ақмола,,,,,,KZ03,8.29
2015,100 000 халыққа,Ақмола,,,,,,KZ03,8.1
2016,100 000 халыққа,Ақмола,,,,,,KZ03,7.03
2017,100 000 халыққа,Ақмола,,,,,,KZ03,6.11
2018,100 000 халыққа,Ақмола,,,,,,KZ03,6.36
2010,100 000 халыққа,Ақтөбе,,,,,,KZ04,4.15
2011,100 000 халыққа,Ақтөбе,,,,,,KZ04,2.69
2012,100 000 халыққа,Ақтөбе,,,,,,KZ04,4.04
2013,100 000 халыққа,Ақтөбе,,,,,,KZ04,3.24
2014,100 000 халыққа,Ақтөбе,,,,,,KZ04,2.45
2015,100 000 халыққа,Ақтөбе,,,,,,KZ04,2.41
2016,100 000 халыққа,Ақтөбе,,,,,,KZ04,1.9
2017,100 000 халыққа,Ақтөбе,,,,,,KZ04,2.47
2018,100 000 халыққа,Ақтөбе,,,,,,KZ04,2.08
2010,100 000 халыққа,Алматы,,,,,,KZ01,6.96
2011,100 000 халыққа,Алматы,,,,,,KZ01,5.66
2012,100 000 халыққа,Алматы,,,,,,KZ01,5.91
2013,100 000 халыққа,Алматы,,,,,,KZ01,4.17
2014,100 000 халыққа,Алматы,,,,,,KZ01,3.74
2015,100 000 халыққа,Алматы,,,,,,KZ01,5.53
2016,100 000 халыққа,Алматы,,,,,,KZ01,4.02
2017,100 000 халыққа,Алматы,,,,,,KZ01,3.9
2018,100 000 халыққа,Алматы,,,,,,KZ01,3.45
2010,100 000 халыққа,Атырау,,,,,,KZ06,2.66
2011,100 000 халыққа,Атырау,,,,,,KZ06,4.84
2012,100 000 халыққа,Атырау,,,,,,KZ06,3.1
2013,100 000 халыққа,Атырау,,,,,,KZ06,2.32
2014,100 000 халыққа,Атырау,,,,,,KZ06,3.65
2015,100 000 халыққа,Атырау,,,,,,KZ06,0.85
2016,100 000 халыққа,Атырау,,,,,,KZ06,1.33
2017,100 000 халыққа,Атырау,,,,,,KZ06,0.98
2018,100 000 халыққа,Атырау,,,,,,KZ06,0.8
2010,100 000 халыққа,Батыс Қазақстан,,,,,,KZ07,6.6
2011,100 000 халыққа,Батыс Қазақстан,,,,,,KZ07,6.06
2012,100 000 халыққа,Батыс Қазақстан,,,,,,KZ07,4.39
2013,100 000 халыққа,Батыс Қазақстан,,,,,,KZ07,3.7
2014,100 000 халыққа,Батыс Қазақстан,,,,,,KZ07,4.15
2015,100 000 халыққа,Батыс Қазақстан,,,,,,KZ07,2.84
2016,100 000 халыққа,Батыс Қазақстан,,,,,,KZ07,2.82
2017,100 000 халыққа,Батыс Қазақстан,,,,,,KZ07,1.86
2018,100 000 халыққа,Батыс Қазақстан,,,,,,KZ07,3.54
2010,100 000 халыққа,Жамбыл,,,,,,KZ17,4.04
2011,100 000 халыққа,Жамбыл,,,,,,KZ17,5.42
2012,100 000 халыққа,Жамбыл,,,,,,KZ17,5.93
2013,100 000 халыққа,Жамбыл,,,,,,KZ17,7.33
2014,100 000 халыққа,Жамбыл,,,,,,KZ17,3.76
2015,100 000 халыққа,Жамбыл,,,,,,KZ17,1.81
2016,100 000 халыққа,Жамбыл,,,,,,KZ17,1.8
2017,100 000 халыққа,Жамбыл,,,,,,KZ17,1.79
2018,100 000 халыққа,Жамбыл,,,,,,KZ17,1.87
2010,100 000 халыққа,Қарағанды,,,,,,KZ12,13.41
2011,100 000 халыққа,Қарағанды,,,,,,KZ12,9.74
2012,100 000 халыққа,Қарағанды,,,,,,KZ12,11.03
2013,100 000 халыққа,Қарағанды,,,,,,KZ12,6.59
2014,100 000 халыққа,Қарағанды,,,,,,KZ12,5.6
2015,100 000 халыққа,Қарағанды,,,,,,KZ12,5.5
2016,100 000 халыққа,Қарағанды,,,,,,KZ12,3.83
2017,100 000 халыққа,Қарағанды,,,,,,KZ12,3.76
2018,100 000 халыққа,Қарағанды,,,,,,KZ12,3.04
2010,100 000 халыққа,Қостанай,,,,,,KZ13,11.33
2011,100 000 халыққа,Қостанай,,,,,,KZ13,9.77
2012,100 000 халыққа,Қостанай,,,,,,KZ13,9.66
2013,100 000 халыққа,Қостанай,,,,,,KZ13,8.29
2014,100 000 халыққа,Қостанай,,,,,,KZ13,8.4
2015,100 000 халыққа,Қостанай,,,,,,KZ13,7.59
2016,100 000 халыққа,Қостанай,,,,,,KZ13,5.56
2017,100 000 халыққа,Қостанай,,,,,,KZ13,3.31
2018,100 000 халыққа,Қостанай,,,,,,KZ13,3.32
2010,100 000 халыққа,Қызылорда,,,,,,KZ14,1.87
2011,100 000 халыққа,Қызылорда,,,,,,KZ14,0.42
2012,100 000 халыққа,Қызылорда,,,,,,KZ14,0.56
2013,100 000 халыққа,Қызылорда,,,,,,KZ14,2.32
2014,100 000 халыққа,Қызылорда,,,,,,KZ14,1.34
2015,100 000 халыққа,Қызылорда,,,,,,KZ14,1.32
2016,100 000 халыққа,Қызылорда,,,,,,KZ14,1.04
2017,100 000 халыққа,Қызылорда,,,,,,KZ14,1.93
2018,100 000 халыққа,Қызылорда,,,,,,KZ14,0.51
2010,100 000 халыққа,Маңғыстау,,,,,,KZ09,1.36
2011,100 000 халыққа,Маңғыстау,,,,,,KZ09,1.87
2012,100 000 халыққа,Маңғыстау,,,,,,KZ09,1.08
2013,100 000 халыққа,Маңғыстау,,,,,,KZ09,1.04
2014,100 000 халыққа,Маңғыстау,,,,,,KZ09,1.51
2015,100 000 халыққа,Маңғыстау,,,,,,KZ09,0.32
2016,100 000 халыққа,Маңғыстау,,,,,,KZ09,1.26
2017,100 000 халыққа,Маңғыстау,,,,,,KZ09,1.84
2018,100 000 халыққа,Маңғыстау,,,,,,KZ09,2.09
2010,100 000 халыққа,Оңтүстік Қазақстан,,,,,,KZ10,2.76
