Year,Units,Аймақ,Өңірлер,Жасы,Білім беру,Квинтиль индекса благосостояния,Value
2010,пайыз,,,,,,51.0
2010,пайыз,қала,,,,,53.9
2010,пайыз,ауыл,,,,,47.7
2010,пайыз,,Ақмола,,,,45.5
2010,пайыз,,Ақтөбе,,,,35.7
2010,пайыз,,Алматы,,,,43.1
2010,пайыз,,Атырау,,,,48.2
2010,пайыз,,Батыс Қазақстан,,,,61.9
2010,пайыз,,Жамбыл,,,,44.4
2010,пайыз,,Қарағанды,,,,54.6
2010,пайыз,,Қостанай,,,,63.1
2010,пайыз,,Қызылорда,,,,44.1
2010,пайыз,,Маңғыстау,,,,57.1
2010,пайыз,,Оңтүстік Қазақстан,,,,43.1
2010,пайыз,,Павлодар,,,,58.3
2010,пайыз,,Солтүстік Қазақстан,,,,60.5
2010,пайыз,,Шығыс Қазақстан,,,,50.2
2010,пайыз,,г. Нур-Султан,,,,72.7
2010,пайыз,,Алматы қаласы,,,,62.6
2010,пайыз,,,15-19,,,19.2
2010,пайыз,,,20-24,,,35.3
2010,пайыз,,,25-29,,,52.9
2010,пайыз,,,30-34,,,56.8
2010,пайыз,,,35-39,,,61.0
2010,пайыз,,,40-44,,,57.0
2010,пайыз,,,45-49,,,39.1
2010,пайыз,,,,начальное/незаконченное среднее,,46.0
2010,пайыз,,,,жалпы орта,,49.1
2010,пайыз,,,,техникалық және кәсіби,,51.5
2010,пайыз,,,,жоғары,,52.9
2010,пайыз,,,,,ең кедей,45.6
2010,пайыз,,,,,екінші,46.1
2010,пайыз,,,,,орташа,50.3
2010,пайыз,,,,,төртінші,55.7
2010,пайыз,,,,,ең бай,56.8
2015,пайыз,,,,,,55.7
2015,пайыз,қала,,,,,55.8
2015,пайыз,ауыл,,,,,55.6
2015,пайыз,,Ақмола,,,,53.9
2015,пайыз,,Ақтөбе,,,,52.0
2015,пайыз,,Алматы,,,,62.4
2015,пайыз,,Атырау,,,,48.4
2015,пайыз,,Батыс Қазақстан,,,,57.6
2015,пайыз,,Жамбыл,,,,50.6
2015,пайыз,,Қарағанды,,,,55.4
2015,пайыз,,Қостанай,,,,604.0
2015,пайыз,,Қызылорда,,,,54.9
2015,пайыз,,Маңғыстау,,,,37.1
2015,пайыз,,Оңтүстік Қазақстан,,,,60.4
2015,пайыз,,Павлодар,,,,45.4
2015,пайыз,,Солтүстік Қазақстан,,,,625.0
2015,пайыз,,Шығыс Қазақстан,,,,57.8
2015,пайыз,,г. Нур-Султан,,,,48.8
2015,пайыз,,Алматы қаласы,,,,63.0
2015,пайыз,,,15-19,,,28.6
2015,пайыз,,,20-24,,,44.3
2015,пайыз,,,25-29,,,56.3
2015,пайыз,,,30-34,,,60.8
2015,пайыз,,,35-39,,,65.6
2015,пайыз,,,40-44,,,61.9
2015,пайыз,,,45-49,,,39.8
2015,пайыз,,,,негізгі орта,,55.6
2015,пайыз,,,,жалпы орта,,55.5
2015,пайыз,,,,техникалық және кәсіби,,53.6
2015,пайыз,,,,жоғары,,57.7
2015,пайыз,,,,,ең кедей,54.8
2015,пайыз,,,,,екінші,56.1
2015,пайыз,,,,,орташа,55.4
2015,пайыз,,,,,төртінші,56.2
2015,пайыз,,,,,ең бай,56.2
