Year,Units,Жынысы,Өңірлер,Аймақ,Білім беру,Отбасылық жағдайы,азаматтығы,GeoCode,Value
2010,1000 туылғанға,ұлдар және қыздар,,,,,,,16.59
2011,1000 туылғанға,ұлдар және қыздар,,,,,,,14.91
2012,1000 туылғанға,ұлдар және қыздар,,,,,,,13.56
2013,1000 туылғанға,ұлдар және қыздар,,,,,,,11.39
2014,1000 туылғанға,ұлдар және қыздар,,,,,,,9.83
2015,1000 туылғанға,ұлдар және қыздар,,,,,,,9.41
2016,1000 туылғанға,ұлдар және қыздар,,,,,,,8.59
2017,1000 туылғанға,ұлдар және қыздар,,,,,,,7.93
2018,1000 туылғанға,ұлдар және қыздар,,,,,,,8.03
2010,1000 туылғанға,ұлдар және қыздар,Ақмола,,,,,,13.84
2011,1000 туылғанға,ұлдар және қыздар,Ақмола,,,,,,15.89
2012,1000 туылғанға,ұлдар және қыздар,Ақмола,,,,,,11.17
2013,1000 туылғанға,ұлдар және қыздар,Ақмола,,,,,,12.06
2014,1000 туылғанға,ұлдар және қыздар,Ақмола,,,,,,9.29
2015,1000 туылғанға,ұлдар және қыздар,Ақмола,,,,,,8.11
2016,1000 туылғанға,ұлдар және қыздар,Ақмола,,,,,,7.03
2017,1000 туылғанға,ұлдар және қыздар,Ақмола,,,,,,7.69
2018,1000 туылғанға,ұлдар және қыздар,Ақмола,,,,,,5.64
2010,1000 туылғанға,ұлдар және қыздар,Ақтөбе,,,,,,17.06
2011,1000 туылғанға,ұлдар және қыздар,Ақтөбе,,,,,,12.02
2012,1000 туылғанға,ұлдар және қыздар,Ақтөбе,,,,,,13.54
2013,1000 туылғанға,ұлдар және қыздар,Ақтөбе,,,,,,11.4
2014,1000 туылғанға,ұлдар және қыздар,Ақтөбе,,,,,,9.91
2015,1000 туылғанға,ұлдар және қыздар,Ақтөбе,,,,,,9.68
2016,1000 туылғанға,ұлдар және қыздар,Ақтөбе,,,,,,8.54
2017,1000 туылғанға,ұлдар және қыздар,Ақтөбе,,,,,,7.22
2018,1000 туылғанға,ұлдар және қыздар,Ақтөбе,,,,,,8.66
2010,1000 туылғанға,ұлдар және қыздар,Алматы,,,,,,12.62
2011,1000 туылғанға,ұлдар және қыздар,Алматы,,,,,,12.14
2012,1000 туылғанға,ұлдар және қыздар,Алматы,,,,,,11.7
2013,1000 туылғанға,ұлдар және қыздар,Алматы,,,,,,9.41
2014,1000 туылғанға,ұлдар және қыздар,Алматы,,,,,,8.57
2015,1000 туылғанға,ұлдар және қыздар,Алматы,,,,,,8.15
2016,1000 туылғанға,ұлдар және қыздар,Алматы,,,,,,7.54
2017,1000 туылғанға,ұлдар және қыздар,Алматы,,,,,,7.66
2018,1000 туылғанға,ұлдар және қыздар,Алматы,,,,,,6.98
2010,1000 туылғанға,ұлдар және қыздар,Атырау,,,,,,16.69
2011,1000 туылғанға,ұлдар және қыздар,Атырау,,,,,,16.9
2012,1000 туылғанға,ұлдар және қыздар,Атырау,,,,,,15.94
2013,1000 туылғанға,ұлдар және қыздар,Атырау,,,,,,9.7
2014,1000 туылғанға,ұлдар және қыздар,Атырау,,,,,,9.13
2015,1000 туылғанға,ұлдар және қыздар,Атырау,,,,,,7.86
2016,1000 туылғанға,ұлдар және қыздар,Атырау,,,,,,8.87
2017,1000 туылғанға,ұлдар және қыздар,Атырау,,,,,,7.1
2018,1000 туылғанға,ұлдар және қыздар,Атырау,,,,,,10.69
2010,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,,,,,,13.92
2011,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,,,,,,11.85
2012,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,,,,,,10.04
2013,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,,,,,,8.2
2014,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,,,,,,9.31
2015,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,,,,,,8.32
2016,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,,,,,,8.14
2017,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,,,,,,6.66
2018,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,,,,,,6.61
