Year,Units,Жасы,Өңірлер,Аймақ,Білім беру,Отбасылық жағдайы,азаматтығы,GeoCode,Value
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,,,,,,,0.4
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,,,,,,,0.02
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,,,,,,,0.03
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,,,,,,,0.04
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,,,,,,,0.04
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,,,,,,,0.03
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,,,,,,,0.02
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,,,,,,,0.02
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,,,,,,,0.02
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақмола,,,,,,0.12
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақмола,,,,,,0.0
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақмола,,,,,,0.0
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақмола,,,,,,0.09
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақмола,,,,,,0.09
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақмола,,,,,,0.04
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақмола,,,,,,0.04
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақмола,,,,,,0.0
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақмола,,,,,,0.08
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақтөбе,,,,,,0.0
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақтөбе,,,,,,0.08
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақтөбе,,,,,,0.04
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақтөбе,,,,,,0.08
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақтөбе,,,,,,0.08
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақтөбе,,,,,,0.0
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақтөбе,,,,,,0.0
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақтөбе,,,,,,0.0
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақтөбе,,,,,,0.06
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы,,,,,,0.05
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы,,,,,,0.0
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы,,,,,,0.03
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы,,,,,,0.03
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы,,,,,,0.05
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы,,,,,,0.06
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы,,,,,,0.01
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы,,,,,,0.04
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы,,,,,,0.03
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Атырау,,,,,,0.0
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Атырау,,,,,,0.05
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Атырау,,,,,,0.15
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Атырау,,,,,,0.05
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Атырау,,,,,,0.0
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Атырау,,,,,,0.09
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Атырау,,,,,,0.0
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Атырау,,,,,,0.0
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Атырау,,,,,,0.04
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Батыс Қазақстан,,,,,,0.0
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Батыс Қазақстан,,,,,,0.05
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Батыс Қазақстан,,,,,,0.05
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Батыс Қазақстан,,,,,,0.05
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Батыс Қазақстан,,,,,,0.0
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Батыс Қазақстан,,,,,,0.0
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Батыс Қазақстан,,,,,,0.0
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Батыс Қазақстан,,,,,,0.09
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Батыс Қазақстан,,,,,,0.05
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Жамбыл,,,,,,0.02
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Жамбыл,,,,,,0.05
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Жамбыл,,,,,,0.0
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Жамбыл,,,,,,0.0
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Жамбыл,,,,,,0.07
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Жамбыл,,,,,,0.02
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Жамбыл,,,,,,0.04
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Жамбыл,,,,,,0.0
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Жамбыл,,,,,,0.02
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қарағанды,,,,,,0.07
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қарағанды,,,,,,0.02
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қарағанды,,,,,,0.02
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қарағанды,,,,,,0.03
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қарағанды,,,,,,0.07
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қарағанды,,,,,,0.0
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қарағанды,,,,,,0.02
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қарағанды,,,,,,0.02
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қарағанды,,,,,,0.0
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қостанай,,,,,,0.12
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қостанай,,,,,,0.0
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қостанай,,,,,,0.04
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қостанай,,,,,,0.12
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қостанай,,,,,,0.12
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қостанай,,,,,,0.08
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қостанай,,,,,,0.04
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қостанай,,,,,,0.04
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қостанай,,,,,,0.0
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қызылорда,,,,,,0.03
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қызылорда,,,,,,0.0
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қызылорда,,,,,,0.03
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қызылорда,,,,,,0.03
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қызылорда,,,,,,0.03
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қызылорда,,,,,,0.0
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қызылорда,,,,,,0.1
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қызылорда,,,,,,0.0
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қызылорда,,,,,,0.03
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Маңғыстау,,,,,,0.0
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Маңғыстау,,,,,,0.0
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Маңғыстау,,,,,,0.05
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Маңғыстау,,,,,,0.05
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Маңғыстау,,,,,,0.0
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Маңғыстау,,,,,,0.04
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Маңғыстау,,,,,,0.0
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Маңғыстау,,,,,,0.0
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Маңғыстау,,,,,,0.0
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Оңтүстік Қазақстан,,,,,,0.01
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Оңтүстік Қазақстан,,,,,,0.0
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Оңтүстік Қазақстан,,,,,,0.01
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Оңтүстік Қазақстан,,,,,,0.01
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Оңтүстік Қазақстан,,,,,,0.0
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Оңтүстік Қазақстан,,,,,,0.02
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Оңтүстік Қазақстан,,,,,,0.01
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Оңтүстік Қазақстан,,,,,,0.01
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Павлодар,,,,,,0.09
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Павлодар,,,,,,0.0
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Павлодар,,,,,,0.01
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Павлодар,,,,,,0.01
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Павлодар,,,,,,0.0
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Павлодар,,,,,,0.0
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Павлодар,,,,,,0.0
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Павлодар,,,,,,0.0
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Павлодар,,,,,,0.0
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Солтүстік Қазақстан,,,,,,0.06
