Year,Units,Өңірлер,Аймақ,Жынысы,Білім беру,Отбасылық жағдайы,азаматтығы,GeoCode,Value
2010,100 000 халыққа,,,,,,,,20.71
2011,100 000 халыққа,,,,,,,,19.33
2012,100 000 халыққа,,,,,,,,19.11
2013,100 000 халыққа,,,,,,,,19.08
2014,100 000 халыққа,,,,,,,,16.28
2015,100 000 халыққа,,,,,,,,15.16
2016,100 000 халыққа,,,,,,,,15.27
2017,100 000 халыққа,,,,,,,,13.04
2018,100 000 халыққа,,,,,,,,13.2
2010,100 000 халыққа,Ақмола,,,,,,KZ03,19.75
2011,100 000 халыққа,Ақмола,,,,,,KZ03,15.43
2012,100 000 халыққа,Ақмола,,,,,,KZ03,14.89
2013,100 000 халыққа,Ақмола,,,,,,KZ03,16.21
2014,100 000 халыққа,Ақмола,,,,,,KZ03,13.59
2015,100 000 халыққа,Ақмола,,,,,,KZ03,10.8
2016,100 000 халыққа,Ақмола,,,,,,KZ03,12.98
2017,100 000 халыққа,Ақмола,,,,,,KZ03,15.2
2018,100 000 халыққа,Ақмола,,,,,,KZ03,10.56
2010,100 000 халыққа,Ақтөбе,,,,,,KZ04,14.66
2011,100 000 халыққа,Ақтөбе,,,,,,KZ04,14.07
2012,100 000 халыққа,Ақтөбе,,,,,,KZ04,17.19
2013,100 000 халыққа,Ақтөбе,,,,,,KZ04,19.19
2014,100 000 халыққа,Ақтөбе,,,,,,KZ04,15.2
2015,100 000 халыққа,Ақтөбе,,,,,,KZ04,15.2
2016,100 000 халыққа,Ақтөбе,,,,,,KZ04,11.19
2017,100 000 халыққа,Ақтөбе,,,,,,KZ04,10.68
2018,100 000 халыққа,Ақтөбе,,,,,,KZ04,12.74
2010,100 000 халыққа,Алматы,,,,,,KZ01,24.64
2011,100 000 халыққа,Алматы,,,,,,KZ01,26.71
2012,100 000 халыққа,Алматы,,,,,,KZ01,26.61
2013,100 000 халыққа,Алматы,,,,,,KZ01,28.54
2014,100 000 халыққа,Алматы,,,,,,KZ01,23.51
2015,100 000 халыққа,Алматы,,,,,,KZ01,24.29
2016,100 000 халыққа,Алматы,,,,,,KZ01,23.51
2017,100 000 халыққа,Алматы,,,,,,KZ01,19.8
2018,100 000 халыққа,Алматы,,,,,,KZ01,16.72
2010,100 000 халыққа,Атырау,,,,,,KZ06,3.8
2011,100 000 халыққа,Атырау,,,,,,KZ06,20.65
2012,100 000 халыққа,Атырау,,,,,,KZ06,20.4
2013,100 000 халыққа,Атырау,,,,,,KZ06,20.3
2014,100 000 халыққа,Атырау,,,,,,KZ06,14.79
2015,100 000 халыққа,Атырау,,,,,,KZ06,12.08
