Year,Units,Жынысы,Өңірлер,Аймақ,GeoCode,Value
2010,1000 туылғанға,ұлдар және қыздар,,,,19.55
2011,1000 туылғанға,ұлдар және қыздар,,,,17.99
2012,1000 туылғанға,ұлдар және қыздар,,,,16.36
2013,1000 туылғанға,ұлдар және қыздар,,,,14.19
2014,1000 туылғанға,ұлдар және қыздар,,,,12.35
2015,1000 туылғанға,ұлдар және қыздар,,,,12.04
2016,1000 туылғанға,ұлдар және қыздар,,,,10.79
2017,1000 туылғанға,ұлдар және қыздар,,,,10.24
2018,1000 туылғанға,ұлдар және қыздар,,,,10.11
2010,1000 туылғанға,ұлдар және қыздар,Ақмола,,,16.99
2011,1000 туылғанға,ұлдар және қыздар,Ақмола,,,18.3
2012,1000 туылғанға,ұлдар және қыздар,Ақмола,,,13.84
2013,1000 туылғанға,ұлдар және қыздар,Ақмола,,,14.78
2014,1000 туылғанға,ұлдар және қыздар,Ақмола,,,11.95
2015,1000 туылғанға,ұлдар және қыздар,Ақмола,,,10.02
2016,1000 туылғанға,ұлдар және қыздар,Ақмола,,,9.6
2017,1000 туылғанға,ұлдар және қыздар,Ақмола,,,10.08
2018,1000 туылғанға,ұлдар және қыздар,Ақмола,,,7.48
2010,1000 туылғанға,ұлдар және қыздар,Ақтөбе,,,19.45
2011,1000 туылғанға,ұлдар және қыздар,Ақтөбе,,,14.22
2012,1000 туылғанға,ұлдар және қыздар,Ақтөбе,,,16.3
2013,1000 туылғанға,ұлдар және қыздар,Ақтөбе,,,13.54
2014,1000 туылғанға,ұлдар және қыздар,Ақтөбе,,,11.77
2015,1000 туылғанға,ұлдар және қыздар,Ақтөбе,,,12.26
2016,1000 туылғанға,ұлдар және қыздар,Ақтөбе,,,10.27
2017,1000 туылғанға,ұлдар және қыздар,Ақтөбе,,,9.3
2018,1000 туылғанға,ұлдар және қыздар,Ақтөбе,,,10.92
2010,1000 туылғанға,ұлдар және қыздар,Алматы,,,16.06
2011,1000 туылғанға,ұлдар және қыздар,Алматы,,,15.08
2012,1000 туылғанға,ұлдар және қыздар,Алматы,,,14.55
2013,1000 туылғанға,ұлдар және қыздар,Алматы,,,12.25
2014,1000 туылғанға,ұлдар және қыздар,Алматы,,,11.27
2015,1000 туылғанға,ұлдар және қыздар,Алматы,,,10.77
2016,1000 туылғанға,ұлдар және қыздар,Алматы,,,9.61
2017,1000 туылғанға,ұлдар және қыздар,Алматы,,,10.43
2018,1000 туылғанға,ұлдар және қыздар,Алматы,,,9.4
2010,1000 туылғанға,ұлдар және қыздар,Атырау,,,19.78
2011,1000 туылғанға,ұлдар және қыздар,Атырау,,,19.33
2012,1000 туылғанға,ұлдар және қыздар,Атырау,,,19.12
2013,1000 туылғанға,ұлдар және қыздар,Атырау,,,11.89
2014,1000 туылғанға,ұлдар және қыздар,Атырау,,,11.72
2015,1000 туылғанға,ұлдар және қыздар,Атырау,,,9.56
2016,1000 туылғанға,ұлдар және қыздар,Атырау,,,10.94
2017,1000 туылғанға,ұлдар және қыздар,Атырау,,,9.67
2018,1000 туылғанға,ұлдар және қыздар,Атырау,,,12.68
2010,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,,,17.17
2011,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,,,14.54
2012,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,,,11.99
