Year,Units,Бюджеттің шығыстары,Value
2010,пайыз,,109.6
2011,пайыз,,110.4
2012,пайыз,,105.2
2013,пайыз,,96.3
2014,пайыз,,105.3
2015,пайыз,,91.2
2016,пайыз,,110.9
2017,пайыз,,130.3
2018,пайыз,,104.5
2010,пайыз,Жалпы сипаттағы мемлекеттiк қызметтер,109.1
2011,пайыз,Жалпы сипаттағы мемлекеттiк қызметтер,126.7
2012,пайыз,Жалпы сипаттағы мемлекеттiк қызметтер,106.7
2013,пайыз,Жалпы сипаттағы мемлекеттiк қызметтер,99.9
2014,пайыз,Жалпы сипаттағы мемлекеттiк қызметтер,116.9
2015,пайыз,Жалпы сипаттағы мемлекеттiк қызметтер,149.4
2016,пайыз,Жалпы сипаттағы мемлекеттiк қызметтер,129.5
2017,пайыз,Жалпы сипаттағы мемлекеттiк қызметтер,109.3
2018,пайыз,Жалпы сипаттағы мемлекеттiк қызметтер,114.1
2010,пайыз,Қорғаныс,107.7
2011,пайыз,Қорғаныс,106.0
2012,пайыз,Қорғаныс,102.2
2013,пайыз,Қорғаныс,99.9
2014,пайыз,Қорғаныс,95.7
2015,пайыз,Қорғаныс,98.4
2016,пайыз,Қорғаныс,106.5
2017,пайыз,Қорғаныс,104.6
2018,пайыз,Қорғаныс,99.5
2010,пайыз,"Общественный порядок, безопасность, провавая, судебная, уголовно-исполнительская деятельность",107.4
2011,пайыз,"Общественный порядок, безопасность, провавая, судебная, уголовно-исполнительская деятельность",101.7
2012,пайыз,"Общественный порядок, безопасность, провавая, судебная, уголовно-исполнительская деятельность",104.1
2013,пайыз,"Общественный порядок, безопасность, провавая, судебная, уголовно-исполнительская деятельность",96.2
2014,пайыз,"Общественный порядок, безопасность, провавая, судебная, уголовно-исполнительская деятельность",97.2
2015,пайыз,"Общественный порядок, безопасность, провавая, судебная, уголовно-исполнительская деятельность",89.3
2016,пайыз,"Общественный порядок, безопасность, провавая, судебная, уголовно-исполнительская деятельность",108.6
2017,пайыз,"Общественный порядок, безопасность, провавая, судебная, уголовно-исполнительская деятельность",113.9
2018,пайыз,"Общественный порядок, безопасность, провавая, судебная, уголовно-исполнительская деятельность",120.1
2010,пайыз,Білім беру,121.4
2011,пайыз,Білім беру,115.3
2012,пайыз,Білім беру,97.7
2013,пайыз,Білім беру,96.5
2014,пайыз,Білім беру,100.6
2015,пайыз,Білім беру,82.9
2016,пайыз,Білім беру,119.0
2017,пайыз,Білім беру,106.8
2018,пайыз,Білім беру,123.6
2010,пайыз,Денсаулық сақтау,103.5
2011,пайыз,Денсаулық сақтау,99.2
2012,пайыз,Денсаулық сақтау,106.2
2013,пайыз,Денсаулық сақтау,96.9
2014,пайыз,Денсаулық сақтау,99.7
2015,пайыз,Денсаулық сақтау,93.8
2016,пайыз,Денсаулық сақтау,112.7
2017,пайыз,Денсаулық сақтау,99.9
2018,пайыз,Денсаулық сақтау,100.4
2010,пайыз,Әлеуметтiк көмек және әлеуметтiк қамсыздандыру,90.7
2011,пайыз,Әлеуметтiк көмек және әлеуметтiк қамсыздандыру,100.3
2012,пайыз,Әлеуметтiк көмек және әлеуметтiк қамсыздандыру,95.6
2013,пайыз,Әлеуметтiк көмек және әлеуметтiк қамсыздандыру,95.8
2014,пайыз,Әлеуметтiк көмек және әлеуметтiк қамсыздандыру,98.4
2015,пайыз,Әлеуметтiк көмек және әлеуметтiк қамсыздандыру,94.4
2016,пайыз,Әлеуметтiк көмек және әлеуметтiк қамсыздандыру,99.5
2017,пайыз,Әлеуметтiк көмек және әлеуметтiк қамсыздандыру,103.7
2018,пайыз,Әлеуметтiк көмек және әлеуметтiк қамсыздандыру,98.7
2010,пайыз,Тұрғын үй-коммуналдық шаруашылық,139.2
2011,пайыз,Тұрғын үй-коммуналдық шаруашылық,164.7
2012,пайыз,Тұрғын үй-коммуналдық шаруашылық,129.6
2013,пайыз,Тұрғын үй-коммуналдық шаруашылық,133.5
2014,пайыз,Тұрғын үй-коммуналдық шаруашылық,127.7
2015,пайыз,Тұрғын үй-коммуналдық шаруашылық,80.9
2016,пайыз,Тұрғын үй-коммуналдық шаруашылық,167.1
2017,пайыз,Тұрғын үй-коммуналдық шаруашылық,104.5
2018,пайыз,Тұрғын үй-коммуналдық шаруашылық,120.1
2010,пайыз,"Мәдениет, спорт, туризм және ақпараттық кеңістiк",180.1
2011,пайыз,"Мәдениет, спорт, туризм және ақпараттық кеңістiк",157.6
2012,пайыз,"Мәдениет, спорт, туризм және ақпараттық кеңістiк",102.2
2013,пайыз,"Мәдениет, спорт, туризм және ақпараттық кеңістiк",106.7
2014,пайыз,"Мәдениет, спорт, туризм және ақпараттық кеңістiк",92.9
2015,пайыз,"Мәдениет, спорт, туризм және ақпараттық кеңістiк",88.1
2016,пайыз,"Мәдениет, спорт, туризм және ақпараттық кеңістiк",126.0
2017,пайыз,"Мәдениет, спорт, туризм және ақпараттық кеңістiк",140.0
2018,пайыз,"Мәдениет, спорт, туризм және ақпараттық кеңістiк",124.7
2010,пайыз,Отын-энергетика кешенi және жер қойнауын пайдалану,112.0
2011,пайыз,Отын-энергетика кешенi және жер қойнауын пайдалану,129.3
2012,пайыз,Отын-энергетика кешенi және жер қойнауын пайдалану,110.3
2013,пайыз,Отын-энергетика кешенi және жер қойнауын пайдалану,101.9
2014,пайыз,Отын-энергетика кешенi және жер қойнауын пайдалану,98.3
2015,пайыз,Отын-энергетика кешенi және жер қойнауын пайдалану,104.6
2016,пайыз,Отын-энергетика кешенi және жер қойнауын пайдалану,136.4
2017,пайыз,Отын-энергетика кешенi және жер қойнауын пайдалану,179.4
2018,пайыз,Отын-энергетика кешенi және жер қойнауын пайдалану,111.7
2010,пайыз,"Ауыл, су, орман, балық шаруашылығы, ерекше қорғалатын табиғи аумақтар, қоршаған ортаны және жануарлар дүниесін қорғау, жер қатынастары",118.7
2011,пайыз,"Ауыл, су, орман, балық шаруашылығы, ерекше қорғалатын табиғи аумақтар, қоршаған ортаны және жануарлар дүниесін қорғау, жер қатынастары",119.3
2012,пайыз,"Ауыл, су, орман, балық шаруашылығы, ерекше қорғалатын табиғи аумақтар, қоршаған ортаны және жануарлар дүниесін қорғау, жер қатынастары",95.4
2013,пайыз,"Ауыл, су, орман, балық шаруашылығы, ерекше қорғалатын табиғи аумақтар, қоршаған ортаны және жануарлар дүниесін қорғау, жер қатынастары",96.5
2014,пайыз,"Ауыл, су, орман, балық шаруашылығы, ерекше қорғалатын табиғи аумақтар, қоршаған ортаны және жануарлар дүниесін қорғау, жер қатынастары",111.6
2015,пайыз,"Ауыл, су, орман, балық шаруашылығы, ерекше қорғалатын табиғи аумақтар, қоршаған ортаны және жануарлар дүниесін қорғау, жер қатынастары",105.5
2016,пайыз,"Ауыл, су, орман, балық шаруашылығы, ерекше қорғалатын табиғи аумақтар, қоршаған ортаны және жануарлар дүниесін қорғау, жер қатынастары",157.8
2017,пайыз,"Ауыл, су, орман, балық шаруашылығы, ерекше қорғалатын табиғи аумақтар, қоршаған ортаны және жануарлар дүниесін қорғау, жер қатынастары",134.2
2018,пайыз,"Ауыл, су, орман, балық шаруашылығы, ерекше қорғалатын табиғи аумақтар, қоршаған ортаны және жануарлар дүниесін қорғау, жер қатынастары",139.0
