Year,Units,Ауытқу дәрежесі,Жасы,Аймақ,Жынысы,Өңірлер,Value
2010,пайыз,қалыпты және қатал ауытқушылық,,,,,4.05
2010,пайыз,қалыпты және қатал ауытқушылық,,,ерлер,,4.4
2010,пайыз,қалыпты және қатал ауытқушылық,,,әйелдер,,3.7
2010,пайыз,қалыпты және қатал ауытқушылық,,қала,,,4.9
2010,пайыз,қалыпты және қатал ауытқушылық,,ауыл,,,3.3
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Ақмола,2.6
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Ақтөбе,8.6
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Алматы,3.7
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Атырау,3.2
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Батыс Қазақстан,1.8
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Жамбыл,2.8
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Қарағанды,0.4
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Қостанай,0.4
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Қызылорда,1.3
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Маңғыстау,4.5
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Оңтүстік Қазақстан,5.8
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Павлодар,2.7
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Солтүстік Қазақстан,1.7
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Шығыс Қазақстан,8.1
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Нұр-Сұлтан қаласы,4.5
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Алматы қаласы,7.8
2010,пайыз,қалыпты және қатал ауытқушылық,0-5 месяцев,,,,13.4
2010,пайыз,қалыпты және қатал ауытқушылық,6-11 месяцев,,,,4.4
2010,пайыз,қалыпты және қатал ауытқушылық,12-23 месяцев,,,,2.1
2010,пайыз,қалыпты және қатал ауытқушылық,24-35 месяцев,,,,2.5
2010,пайыз,қалыпты және қатал ауытқушылық,36-47 ай,,,,2.4
2010,пайыз,қалыпты және қатал ауытқушылық,48-59 ай,,,,4.5
2010,пайыз,нормадан күшті ауытқу,,,,,1.6
2010,пайыз,нормадан күшті ауытқу,,,ерлер,,1.9
2010,пайыз,нормадан күшті ауытқу,,,әйелдер,,1.4
2010,пайыз,нормадан күшті ауытқу,,қала,,,2.1
2010,пайыз,нормадан күшті ауытқу,,ауыл,,,1.3
2010,пайыз,нормадан күшті ауытқу,,,,Ақмола,0.9
2010,пайыз,нормадан күшті ауытқу,,,,Ақтөбе,3.9
2010,пайыз,нормадан күшті ауытқу,,,,Алматы,2.0
2010,пайыз,нормадан күшті ауытқу,,,,Атырау,1.9
2010,пайыз,нормадан күшті ауытқу,,,,Батыс Қазақстан,1.1
2010,пайыз,нормадан күшті ауытқу,,,,Жамбыл,1.4
2010,пайыз,нормадан күшті ауытқу,,,,Қарағанды,0.4
2010,пайыз,нормадан күшті ауытқу,,,,Қостанай,0.0
2010,пайыз,нормадан күшті ауытқу,,,,Қызылорда,0.2
2010,пайыз,нормадан күшті ауытқу,,,,Маңғыстау,1.7
2010,пайыз,нормадан күшті ауытқу,,,,Оңтүстік Қазақстан,2.0
2010,пайыз,нормадан күшті ауытқу,,,,Павлодар,1.5
2010,пайыз,нормадан күшті ауытқу,,,,Солтүстік Қазақстан,0.4
2010,пайыз,нормадан күшті ауытқу,,,,Шығыс Қазақстан,2.7
2010,пайыз,нормадан күшті ауытқу,,,,Нұр-Сұлтан қаласы,2.8
2010,пайыз,нормадан күшті ауытқу,,,,Алматы қаласы,3.0
2010,пайыз,нормадан күшті ауытқу,0-5 месяцев,,,,7.4
2010,пайыз,нормадан күшті ауытқу,6-11 месяцев,,,,1.0
2010,пайыз,нормадан күшті ауытқу,12-23 месяцев,,,,0.6
2010,пайыз,нормадан күшті ауытқу,24-35 месяцев,,,,1.2
2010,пайыз,нормадан күшті ауытқу,36-47 ай,,,,0.7
2010,пайыз,нормадан күшті ауытқу,48-59 ай,,,,1.8
2010,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,,13.3
2010,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,ерлер,,14.8
2010,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,әйелдер,,11.8
2010,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,қала,,,13.7
2010,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,ауыл,,,13.0
2010,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Ақмола,13.6
2010,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Ақтөбе,33.5
2010,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Алматы,7.6
