Year,Units,Өңірлер,Жынысы,Аймақ,GeoCode,Value
2010,пайыз,,,,,0.9
2011,пайыз,,,,,0.8
2012,пайыз,,,,,0.6
2013,пайыз,,,,,0.5
2014,пайыз,,,,,0.4
2015,пайыз,,,,,0.3
2016,пайыз,,,,,0.2
2017,пайыз,,,,,0.2
2018,пайыз,,,,,0.1
2010,пайыз,Ақмола,,,KZ03,0.2
2011,пайыз,Ақмола,,,KZ03,0.2
2012,пайыз,Ақмола,,,KZ03,0.4
2013,пайыз,Ақмола,,,KZ03,0.1
2014,пайыз,Ақмола,,,KZ03,0.3
2015,пайыз,Ақмола,,,KZ03,0.2
2016,пайыз,Ақмола,,,KZ03,0.2
2017,пайыз,Ақмола,,,KZ03,0.3
2018,пайыз,Ақмола,,,KZ03,0.1
2010,пайыз,Ақтөбе,,,KZ04,0.6
2011,пайыз,Ақтөбе,,,KZ04,0.0
2012,пайыз,Ақтөбе,,,KZ04,0.0
2013,пайыз,Ақтөбе,,,KZ04,0.0
2014,пайыз,Ақтөбе,,,KZ04,0.0
2015,пайыз,Ақтөбе,,,KZ04,0.0
2016,пайыз,Ақтөбе,,,KZ04,0.0
2017,пайыз,Ақтөбе,,,KZ04,0.0
2018,пайыз,Ақтөбе,,,KZ04,0.0
2010,пайыз,Алматы,,,KZ01,1.1
2011,пайыз,Алматы,,,KZ01,1.8
2012,пайыз,Алматы,,,KZ01,1.6
2013,пайыз,Алматы,,,KZ01,1.3
2014,пайыз,Алматы,,,KZ01,0.8
2015,пайыз,Алматы,,,KZ01,0.7
2016,пайыз,Алматы,,,KZ01,0.4
2017,пайыз,Алматы,,,KZ01,0.2
2018,пайыз,Алматы,,,KZ01,0.1
2010,пайыз,Атырау,,,KZ06,0.2
2011,пайыз,Атырау,,,KZ06,0.0
2012,пайыз,Атырау,,,KZ06,0.1
2013,пайыз,Атырау,,,KZ06,0.0
2014,пайыз,Атырау,,,KZ06,0.2
2015,пайыз,Атырау,,,KZ06,0.2
2016,пайыз,Атырау,,,KZ06,0.2
2017,пайыз,Атырау,,,KZ06,0.1
2018,пайыз,Атырау,,,KZ06,0.0
2010,пайыз,Батыс Қазақстан,,,KZ07,1.2
2011,пайыз,Батыс Қазақстан,,,KZ07,0.6
2012,пайыз,Батыс Қазақстан,,,KZ07,0.1
2013,пайыз,Батыс Қазақстан,,,KZ07,0.0
2014,пайыз,Батыс Қазақстан,,,KZ07,0.1
2015,пайыз,Батыс Қазақстан,,,KZ07,0.0
2016,пайыз,Батыс Қазақстан,,,KZ07,0.0
2017,пайыз,Батыс Қазақстан,,,KZ07,0.0
2018,пайыз,Батыс Қазақстан,,,KZ07,0.0
2010,пайыз,Жамбыл,,,KZ17,1.2
2011,пайыз,Жамбыл,,,KZ17,1.9
2012,пайыз,Жамбыл,,,KZ17,1.8
2013,пайыз,Жамбыл,,,KZ17,2.1
2014,пайыз,Жамбыл,,,KZ17,1.1
2015,пайыз,Жамбыл,,,KZ17,1.2
2016,пайыз,Жамбыл,,,KZ17,0.5
2017,пайыз,Жамбыл,,,KZ17,0.6
2018,пайыз,Жамбыл,,,KZ17,0.9
2010,пайыз,Қарағанды,,,KZ12,0.8
2011,пайыз,Қарағанды,,,KZ12,0.5
2012,пайыз,Қарағанды,,,KZ12,0.5
2013,пайыз,Қарағанды,,,KZ12,0.1
2014,пайыз,Қарағанды,,,KZ12,0.4
2015,пайыз,Қарағанды,,,KZ12,0.2
2016,пайыз,Қарағанды,,,KZ12,0.1
2017,пайыз,Қарағанды,,,KZ12,0.1
2018,пайыз,Қарағанды,,,KZ12,0.0
2010,пайыз,Қостанай,,,KZ13,3.3
2011,пайыз,Қостанай,,,KZ13,2.1
2012,пайыз,Қостанай,,,KZ13,1.9
2013,пайыз,Қостанай,,,KZ13,0.6
2014,пайыз,Қостанай,,,KZ13,0.4
2015,пайыз,Қостанай,,,KZ13,0.4
