Year,Units,Ресми даму бойынша көмек,Value
2010,млн.долл.США,Қазақстан бойынша деректер алушы ретінде,55.49491533621776
2010,млн.долл.США,Данные по Казахстану как обязательства,149.92611332228554
2011,млн.долл.США,Қазақстан бойынша деректер алушы ретінде,20.651755987867926
2011,млн.долл.США,Данные по Казахстану как обязательства,189.46354360095475
2012,млн.долл.США,Қазақстан бойынша деректер алушы ретінде,33.93309783390989
2012,млн.долл.США,Данные по Казахстану как обязательства,151.68493749266702
2013,млн.долл.США,Қазақстан бойынша деректер алушы ретінде,45.839951672282865
2013,млн.долл.США,Қазақстан бойынша деректер донор ретінде,0.07013410321214393
2013,млн.долл.США,Данные по Казахстану как обязательства,134.9825684996593
2014,млн.долл.США,Қазақстан бойынша деректер алушы ретінде,22.411042767974095
2014,млн.долл.США,Қазақстан бойынша деректер донор ретінде,0.16573120981301873
2014,млн.долл.США,Данные по Казахстану как обязательства,267.0546325710676
2015,млн.долл.США,Қазақстан бойынша деректер алушы ретінде,15.569792275371153
2015,млн.долл.США,Қазақстан бойынша деректер донор ретінде,0.6691161121573223
2015,млн.долл.США,Данные по Казахстану как обязательства,286.8825937696392
2016,млн.долл.США,Қазақстан бойынша деректер алушы ретінде,33.601929310559534
2016,млн.долл.США,Қазақстан бойынша деректер донор ретінде,1.8090815709497967
2016,млн.долл.США,Данные по Казахстану как обязательства,306.6036966649446
2017,млн.долл.США,Қазақстан бойынша деректер алушы ретінде,7.5530878663314285
2017,млн.долл.США,Қазақстан бойынша деректер донор ретінде,0.12537300629136067
2017,млн.долл.США,Данные по Казахстану как обязательства,169.84183213456632
