Year,Units,По уровням образования,Индекс равноправия полов  для чистого коэффициента посещаемости,Аймақ,Өңірлер,Value
2010,,бастапқы білім,,,,1.0
2010,,орта білім,,,,1.0
2010,пайыз,,бастауыш,,,1.0
2010,пайыз,,бастауыш,қала,,0.99
2010,пайыз,,бастауыш,ауыл,,1.0
2010,пайыз,,бастауыш,,Ақмола,0.99
2010,пайыз,,бастауыш,,Ақтөбе,1.01
2010,пайыз,,бастауыш,,Алматы,1.01
2010,пайыз,,бастауыш,,Атырау,1.0
2010,пайыз,,бастауыш,,Батыс Қазақстан,0.99
2010,пайыз,,бастауыш,,Жамбыл,0.99
2010,пайыз,,бастауыш,,Қарағанды,1.0
2010,пайыз,,бастауыш,,Қостанай,0.99
2010,пайыз,,бастауыш,,Қызылорда,1.01
2010,пайыз,,бастауыш,,Маңғыстау,1.0
2010,пайыз,,бастауыш,,Оңтүстік Қазақстан,1.0
2010,пайыз,,бастауыш,,Павлодар,1.0
2010,пайыз,,бастауыш,,Солтүстік Қазақстан,1.01
2010,пайыз,,бастауыш,,Шығыс Қазақстан,1.0
2010,пайыз,,бастауыш,,Нұр-Сұлтан қаласы,1.0
2010,пайыз,,бастауыш,,Алматы қаласы,1.0
2010,пайыз,,орта білім,,,1.0
2010,пайыз,,орта білім,қала,,0.99
2010,пайыз,,орта білім,ауыл,,1.01
2010,пайыз,,орта білім,,Ақмола,1.02
2010,пайыз,,орта білім,,Ақтөбе,1.0
2010,пайыз,,орта білім,,Алматы,1.03
2010,пайыз,,орта білім,,Атырау,1.01
2010,пайыз,,орта білім,,Батыс Қазақстан,1.01
2010,пайыз,,орта білім,,Жамбыл,1.0
2010,пайыз,,орта білім,,Қарағанды,1.0
2010,пайыз,,орта білім,,Қостанай,1.0
2010,пайыз,,орта білім,,Қызылорда,1.01
2010,пайыз,,орта білім,,Маңғыстау,0.99
2010,пайыз,,орта білім,,Оңтүстік Қазақстан,0.99
2010,пайыз,,орта білім,,Павлодар,1.0
2010,пайыз,,орта білім,,Солтүстік Қазақстан,0.98
2010,пайыз,,орта білім,,Шығыс Қазақстан,0.97
2010,пайыз,,орта білім,,Нұр-Сұлтан қаласы,1.01
2010,пайыз,,орта білім,,Алматы қаласы,0.99
2015,,бастапқы білім,,,,1.0
2015,,орта білім,,,,1.0
2015,,негізгі орта білім,,,,1.0
2015,,жалпы орта білім,,,,1.01
2015,пайыз,,бастауыш,,,1.0
2015,пайыз,,бастауыш,қала,,0.99
2015,пайыз,,бастауыш,ауыл,,1.0
2015,пайыз,,бастауыш,,Ақмола,0.99
2015,пайыз,,бастауыш,,Ақтөбе,1.01
2015,пайыз,,бастауыш,,Алматы,1.0
2015,пайыз,,бастауыш,,Атырау,0.94
2015,пайыз,,бастауыш,,Батыс Қазақстан,0.99
2015,пайыз,,бастауыш,,Жамбыл,1.0
2015,пайыз,,бастауыш,,Қарағанды,1.01
2015,пайыз,,бастауыш,,Қостанай,1.01
2015,пайыз,,бастауыш,,Қызылорда,0.99
2015,пайыз,,бастауыш,,Маңғыстау,1.01
2015,пайыз,,бастауыш,,Оңтүстік Қазақстан,1.0
2015,пайыз,,бастауыш,,Павлодар,1.01
2015,пайыз,,бастауыш,,Солтүстік Қазақстан,1.01
2015,пайыз,,бастауыш,,Шығыс Қазақстан,1.0
2015,пайыз,,бастауыш,,Нұр-Сұлтан қаласы,1.02
2015,пайыз,,бастауыш,,Алматы қаласы,0.98
2015,пайыз,,негізгі орта,,,1.0
2015,пайыз,,негізгі орта,қала,,1.0
2015,пайыз,,негізгі орта,ауыл,,1.0
2015,пайыз,,негізгі орта,,Ақмола,1.0
2015,пайыз,,негізгі орта,,Ақтөбе,1.0
2015,пайыз,,негізгі орта,,Алматы,1.02
2015,пайыз,,негізгі орта,,Атырау,1.0
2015,пайыз,,негізгі орта,,Батыс Қазақстан,1.01
2015,пайыз,,негізгі орта,,Жамбыл,0.99
2015,пайыз,,негізгі орта,,Қарағанды,1.01
2015,пайыз,,негізгі орта,,Қостанай,1.0
2015,пайыз,,негізгі орта,,Қызылорда,1.0
2015,пайыз,,негізгі орта,,Маңғыстау,1.0
2015,пайыз,,негізгі орта,,Оңтүстік Қазақстан,0.99
2015,пайыз,,негізгі орта,,Павлодар,0.99
2015,пайыз,,негізгі орта,,Солтүстік Қазақстан,1.01
2015,пайыз,,негізгі орта,,Шығыс Қазақстан,1.0
2015,пайыз,,негізгі орта,,Нұр-Сұлтан қаласы,1.01
2015,пайыз,,негізгі орта,,Алматы қаласы,1.02
2015,пайыз,,орта білім,,,1.01
2015,пайыз,,орта білім,қала,,1.03
2015,пайыз,,орта білім,ауыл,,0.98
2015,пайыз,,орта білім,,Ақмола,1.12
2015,пайыз,,орта білім,,Ақтөбе,1.02
2015,пайыз,,орта білім,,Алматы,1.01
2015,пайыз,,орта білім,,Атырау,0.98
2015,пайыз,,орта білім,,Жамбыл,0.94
2015,пайыз,,орта білім,,Қостанай,1.0
2015,пайыз,,орта білім,,Қызылорда,0.99
2015,пайыз,,орта білім,,Маңғыстау,1.03
2015,пайыз,,орта білім,,Оңтүстік Қазақстан,0.98
2015,пайыз,,орта білім,,Солтүстік Қазақстан,1.0
2015,пайыз,,орта білім,,Нұр-Сұлтан қаласы,1.18
2015,пайыз,,орта білім,,Алматы қаласы,1.0
