Year,Units,Темп роста доходов и расходов,Value
2014,өткен жылға пайызбен,Үй шаруашылықтарының жан басына шаққандағы шығыстары,106.7
2014,өткен жылға пайызбен,Халықтың 40 пайызының арасындағы ең нашар қамсыздандырылғандардың табысы,108.1
2014,өткен жылға пайызбен,Халықтың 40 пайызының арасындағы ең нашар қамсыздандырылғандардың шығыстары,106.7
2014,өткен жылға пайызбен,Халықтың 40 пайызының арасындағы ең нашар қамсыздандырылғандардың табысы,108.3
2015,өткен жылға пайызбен,Үй шаруашылықтарының жан басына шаққандағы шығыстары,103.7
2015,өткен жылға пайызбен,Халықтың 40 пайызының арасындағы ең нашар қамсыздандырылғандардың табысы,105.5
2015,өткен жылға пайызбен,Халықтың 40 пайызының арасындағы ең нашар қамсыздандырылғандардың шығыстары,103.1
2015,өткен жылға пайызбен,Халықтың 40 пайызының арасындағы ең нашар қамсыздандырылғандардың табысы,103.6
2016,өткен жылға пайызбен,Үй шаруашылықтарының жан басына шаққандағы шығыстары,108.7
2016,өткен жылға пайызбен,Халықтың 40 пайызының арасындағы ең нашар қамсыздандырылғандардың табысы,108.2
2016,өткен жылға пайызбен,Халықтың 40 пайызының арасындағы ең нашар қамсыздандырылғандардың шығыстары,109.3
2016,өткен жылға пайызбен,Халықтың 40 пайызының арасындағы ең нашар қамсыздандырылғандардың табысы,109.5
2017,өткен жылға пайызбен,Үй шаруашылықтарының жан басына шаққандағы шығыстары,110.7
2017,өткен жылға пайызбен,Халықтың 40 пайызының арасындағы ең нашар қамсыздандырылғандардың табысы,107.0
2017,өткен жылға пайызбен,Халықтың 40 пайызының арасындағы ең нашар қамсыздандырылғандардың шығыстары,109.2
2017,өткен жылға пайызбен,Халықтың 40 пайызының арасындағы ең нашар қамсыздандырылғандардың табысы,106.0
2018,өткен жылға пайызбен,Үй шаруашылықтарының жан басына шаққандағы шығыстары,110.5
2018,өткен жылға пайызбен,Халықтың 40 пайызының арасындағы ең нашар қамсыздандырылғандардың табысы,110.2
2018,өткен жылға пайызбен,Халықтың 40 пайызының арасындағы ең нашар қамсыздандырылғандардың шығыстары,111.1
2018,өткен жылға пайызбен,Халықтың 40 пайызының арасындағы ең нашар қамсыздандырылғандардың табысы,111.8
2019,өткен жылға пайызбен,Үй шаруашылықтарының жан басына шаққандағы шығыстары,109.0
2019,өткен жылға пайызбен,Халықтың 40 пайызының арасындағы ең нашар қамсыздандырылғандардың табысы,110.1
2019,өткен жылға пайызбен,Халықтың 40 пайызының арасындағы ең нашар қамсыздандырылғандардың шығыстары,108.9
2019,өткен жылға пайызбен,Халықтың 40 пайызының арасындағы ең нашар қамсыздандырылғандардың табысы,109.7
