Year,Units,Өңірлер,Жынысы,Аймақ,Жасы,GeoCode,Value
2010,пайыз,,,,,,7.0
2011,пайыз,,,,,,6.5
2012,пайыз,,,,,,6.4
2013,пайыз,,,,,,6.4
2014,пайыз,,,,,,6.3
2015,пайыз,,,,,,6.6
2016,пайыз,,,,,,6.6
2017,пайыз,,,,,,6.8
2018,пайыз,,,,,,6.7
2010,пайыз,Ақмола,,,,KZ03,7.3
2011,пайыз,Ақмола,,,,KZ03,7.3
2012,пайыз,Ақмола,,,,KZ03,7.2
2013,пайыз,Ақмола,,,,KZ03,7.3
2014,пайыз,Ақмола,,,,KZ03,7.0
2015,пайыз,Ақмола,,,,KZ03,7.3
2016,пайыз,Ақмола,,,,KZ03,7.4
2017,пайыз,Ақмола,,,,KZ03,7.7
2018,пайыз,Ақмола,,,,KZ03,7.8
2010,пайыз,Ақтөбе,,,,KZ04,5.7
2011,пайыз,Ақтөбе,,,,KZ04,5.5
2012,пайыз,Ақтөбе,,,,KZ04,5.4
2013,пайыз,Ақтөбе,,,,KZ04,5.7
2014,пайыз,Ақтөбе,,,,KZ04,6.2
2015,пайыз,Ақтөбе,,,,KZ04,6.2
2016,пайыз,Ақтөбе,,,,KZ04,7.1
2017,пайыз,Ақтөбе,,,,KZ04,7.1
2018,пайыз,Ақтөбе,,,,KZ04,7.0
2010,пайыз,Алматы,,,,KZ01,4.5
2011,пайыз,Алматы,,,,KZ01,3.8
2012,пайыз,Алматы,,,,KZ01,3.6
2013,пайыз,Алматы,,,,KZ01,3.4
2014,пайыз,Алматы,,,,KZ01,4.0
2015,пайыз,Алматы,,,,KZ01,4.6
2016,пайыз,Алматы,,,,KZ01,4.5
2017,пайыз,Алматы,,,,KZ01,5.5
2018,пайыз,Алматы,,,,KZ01,5.3
2010,пайыз,Атырау,,,,KZ06,3.9
2011,пайыз,Атырау,,,,KZ06,3.7
2012,пайыз,Атырау,,,,KZ06,5.4
2013,пайыз,Атырау,,,,KZ06,6.0
2014,пайыз,Атырау,,,,KZ06,3.8
2015,пайыз,Атырау,,,,KZ06,5.1
2016,пайыз,Атырау,,,,KZ06,4.3
2017,пайыз,Атырау,,,,KZ06,3.9
2018,пайыз,Атырау,,,,KZ06,3.9
2010,пайыз,Батыс Қазақстан,,,,KZ07,3.3
2011,пайыз,Батыс Қазақстан,,,,KZ07,3.6
2012,пайыз,Батыс Қазақстан,,,,KZ07,3.8
2013,пайыз,Батыс Қазақстан,,,,KZ07,4.2
2014,пайыз,Батыс Қазақстан,,,,KZ07,4.7
2015,пайыз,Батыс Қазақстан,,,,KZ07,4.5
2016,пайыз,Батыс Қазақстан,,,,KZ07,5.3
2017,пайыз,Батыс Қазақстан,,,,KZ07,5.1
2018,пайыз,Батыс Қазақстан,,,,KZ07,5.2
2010,пайыз,Жамбыл,,,,KZ17,4.4
2011,пайыз,Жамбыл,,,,KZ17,4.3
2012,пайыз,Жамбыл,,,,KZ17,4.5
2013,пайыз,Жамбыл,,,,KZ17,3.5
2014,пайыз,Жамбыл,,,,KZ17,3.2
2015,пайыз,Жамбыл,,,,KZ17,3.4
2016,пайыз,Жамбыл,,,,KZ17,3.9
2017,пайыз,Жамбыл,,,,KZ17,5.0
2018,пайыз,Жамбыл,,,,KZ17,4.9
2010,пайыз,Қарағанды,,,,KZ12,19.6
2011,пайыз,Қарағанды,,,,KZ12,19.0
2012,пайыз,Қарағанды,,,,KZ12,17.5
2013,пайыз,Қарағанды,,,,KZ12,16.9
2014,пайыз,Қарағанды,,,,KZ12,14.5
2015,пайыз,Қарағанды,,,,KZ12,14.4
2016,пайыз,Қарағанды,,,,KZ12,14.1
2017,пайыз,Қарағанды,,,,KZ12,13.9
2018,пайыз,Қарағанды,,,,KZ12,13.8
2010,пайыз,Қостанай,,,,KZ13,4.4
2011,пайыз,Қостанай,,,,KZ13,4.6
2012,пайыз,Қостанай,,,,KZ13,4.6
2013,пайыз,Қостанай,,,,KZ13,4.7
2014,пайыз,Қостанай,,,,KZ13,4.5
2015,пайыз,Қостанай,,,,KZ13,4.7
2016,пайыз,Қостанай,,,,KZ13,4.7
2017,пайыз,Қостанай,,,,KZ13,4.9
2018,пайыз,Қостанай,,,,KZ13,5.1
2010,пайыз,Қызылорда,,,,KZ14,4.4
2011,пайыз,Қызылорда,,,,KZ14,4.2
2012,пайыз,Қызылорда,,,,KZ14,3.2
2013,пайыз,Қызылорда,,,,KZ14,2.5
2014,пайыз,Қызылорда,,,,KZ14,3.3
2015,пайыз,Қызылорда,,,,KZ14,3.2
2016,пайыз,Қызылорда,,,,KZ14,4.0
2017,пайыз,Қызылорда,,,,KZ14,3.7
2018,пайыз,Қызылорда,,,,KZ14,3.6
2010,пайыз,Маңғыстау,,,,KZ09,4.6
2011,пайыз,Маңғыстау,,,,KZ09,7.0
2012,пайыз,Маңғыстау,,,,KZ09,6.2
2013,пайыз,Маңғыстау,,,,KZ09,5.4
2014,пайыз,Маңғыстау,,,,KZ09,5.8
2015,пайыз,Маңғыстау,,,,KZ09,6.6
2016,пайыз,Маңғыстау,,,,KZ09,7.0
2017,пайыз,Маңғыстау,,,,KZ09,6.1
2018,пайыз,Маңғыстау,,,,KZ09,5.8
2010,пайыз,Оңтүстік Қазақстан,,,,KZ10,3.4
2011,пайыз,Оңтүстік Қазақстан,,,,KZ10,2.7
2012,пайыз,Оңтүстік Қазақстан,,,,KZ10,2.6
2013,пайыз,Оңтүстік Қазақстан,,,,KZ10,2.9
2014,пайыз,Оңтүстік Қазақстан,,,,KZ10,4.4
2015,пайыз,Оңтүстік Қазақстан,,,,KZ10,3.5
2016,пайыз,Оңтүстік Қазақстан,,,,KZ10,3.5
2017,пайыз,Оңтүстік Қазақстан,,,,KZ10,3.7
2010,пайыз,Павлодар,,,,KZ11,13.1
2011,пайыз,Павлодар,,,,KZ11,13.5
2012,пайыз,Павлодар,,,,KZ11,13.6
2013,пайыз,Павлодар,,,,KZ11,13.6
2014,пайыз,Павлодар,,,,KZ11,13.9
2015,пайыз,Павлодар,,,,KZ11,14.2
2016,пайыз,Павлодар,,,,KZ11,14.7
2017,пайыз,Павлодар,,,,KZ11,14.8
2018,пайыз,Павлодар,,,,KZ11,14.9
2010,пайыз,Солтүстік Қазақстан,,,,KZ16,3.6
2011,пайыз,Солтүстік Қазақстан,,,,KZ16,3.6
2012,пайыз,Солтүстік Қазақстан,,,,KZ16,4.1
2013,пайыз,Солтүстік Қазақстан,,,,KZ16,4.2
2014,пайыз,Солтүстік Қазақстан,,,,KZ16,4.2
2015,пайыз,Солтүстік Қазақстан,,,,KZ16,4.4
2016,пайыз,Солтүстік Қазақстан,,,,KZ16,5.0
2017,пайыз,Солтүстік Қазақстан,,,,KZ16,4.7
2018,пайыз,Солтүстік Қазақстан,,,,KZ16,5.2
2018,пайыз,Түркістан,,,,KZ10,2.1
2010,пайыз,Шығыс Қазақстан,,,,KZ15,9.1
2011,пайыз,Шығыс Қазақстан,,,,KZ15,8.9
2012,пайыз,Шығыс Қазақстан,,,,KZ15,9.5
2013,пайыз,Шығыс Қазақстан,,,,KZ15,9.6
2014,пайыз,Шығыс Қазақстан,,,,KZ15,9.8
2015,пайыз,Шығыс Қазақстан,,,,KZ15,10.3
2016,пайыз,Шығыс Қазақстан,,,,KZ15,10.9
2017,пайыз,Шығыс Қазақстан,,,,KZ15,10.4
2018,пайыз,Шығыс Қазақстан,,,,KZ15,10.4
2010,пайыз,Нұр-Сұлтан қаласы,,,,KZ05,5.2
2011,пайыз,Нұр-Сұлтан қаласы,,,,KZ05,2.2
2012,пайыз,Нұр-Сұлтан қаласы,,,,KZ05,2.9
2013,пайыз,Нұр-Сұлтан қаласы,,,,KZ05,3.0
2014,пайыз,Нұр-Сұлтан қаласы,,,,KZ05,2.7
2015,пайыз,Нұр-Сұлтан қаласы,,,,KZ05,3.9
