Year,Units,денсаулық сақтау,Value
2010,100 000 халыққа,"Заболеваемость психическими и поведенческими расстройствами, вследствии употребления психоактивных веществ",350.7
2011,100 000 халыққа,"Заболеваемость психическими и поведенческими расстройствами, вследствии употребления психоактивных веществ",330.9
2012,100 000 халыққа,"Заболеваемость психическими и поведенческими расстройствами, вследствии употребления психоактивных веществ",311.4
2013,100 000 халыққа,"Заболеваемость психическими и поведенческими расстройствами, вследствии употребления психоактивных веществ",278.2
2014,100 000 халыққа,"Заболеваемость психическими и поведенческими расстройствами, вследствии употребления психоактивных веществ",241.5
2015,100 000 халыққа,"Заболеваемость психическими и поведенческими расстройствами, вследствии употребления психоактивных веществ",216.4
2016,100 000 халыққа,"Заболеваемость психическими и поведенческими расстройствами, вследствии употребления психоактивных веществ",156.6
2017,100 000 халыққа,"Заболеваемость психическими и поведенческими расстройствами, вследствии употребления психоактивных веществ",109.2
2018,100 000 халыққа,"Заболеваемость психическими и поведенческими расстройствами, вследствии употребления психоактивных веществ",99.8
2010,100 000 халыққа,Алкогольді ішу нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,301.3
2011,100 000 халыққа,Алкогольді ішу нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,287.3
2012,100 000 халыққа,Алкогольді ішу нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,276.5
2013,100 000 халыққа,Алкогольді ішу нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,241.1
2014,100 000 халыққа,Алкогольді ішу нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,210.0
2015,100 000 халыққа,Алкогольді ішу нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,184.8
2016,100 000 халыққа,Алкогольді ішу нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,130.6
2017,100 000 халыққа,Алкогольді ішу нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,86.6
2018,100 000 халыққа,Алкогольді ішу нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,79.4
2010,100 000 халыққа,Есірткі қолдану нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,44.3
2011,100 000 халыққа,Есірткі қолдану нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,37.1
2012,100 000 халыққа,Есірткі қолдану нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,28.4
2013,100 000 халыққа,Есірткі қолдану нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,33.0
2014,100 000 халыққа,Есірткі қолдану нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,29.7
2015,100 000 халыққа,Есірткі қолдану нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,30.7
2016,100 000 халыққа,Есірткі қолдану нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,25.1
2017,100 000 халыққа,Есірткі қолдану нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,21.8
2018,100 000 халыққа,Есірткі қолдану нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,20.1
