Year,Units,Өңірлер,Жынысы,Аймақ,Жасы,GeoCode,Value
2012,пайыз,,,,,,13.4
2013,пайыз,,,,,,13.0
2014,пайыз,,,,,,16.5
2015,пайыз,,,,,,14.4
2016,пайыз,,,,,,12.3
2017,пайыз,,,,,,9.8
2018,пайыз,,,,,,8.8
2012,пайыз,Ақмола,,,,KZ03,10.9
2013,пайыз,Ақмола,,,,KZ03,11.5
2014,пайыз,Ақмола,,,,KZ03,15.7
2015,пайыз,Ақмола,,,,KZ03,13.2
2016,пайыз,Ақмола,,,,KZ03,11.4
2017,пайыз,Ақмола,,,,KZ03,10.6
2018,пайыз,Ақмола,,,,KZ03,9.7
2012,пайыз,Ақтөбе,,,,KZ04,12.9
2013,пайыз,Ақтөбе,,,,KZ04,12.1
2014,пайыз,Ақтөбе,,,,KZ04,12.8
2015,пайыз,Ақтөбе,,,,KZ04,11.1
2016,пайыз,Ақтөбе,,,,KZ04,7.9
2017,пайыз,Ақтөбе,,,,KZ04,2.3
2018,пайыз,Ақтөбе,,,,KZ04,3.6
2012,пайыз,Алматы,,,,KZ01,19.6
2013,пайыз,Алматы,,,,KZ01,16.8
2014,пайыз,Алматы,,,,KZ01,18.5
2015,пайыз,Алматы,,,,KZ01,19.5
2016,пайыз,Алматы,,,,KZ01,14.8
2017,пайыз,Алматы,,,,KZ01,13.7
2018,пайыз,Алматы,,,,KZ01,12.2
2012,пайыз,Атырау,,,,KZ06,6.1
2013,пайыз,Атырау,,,,KZ06,5.1
2014,пайыз,Атырау,,,,KZ06,4.9
2015,пайыз,Атырау,,,,KZ06,4.9
2016,пайыз,Атырау,,,,KZ06,3.3
2017,пайыз,Атырау,,,,KZ06,5.1
2018,пайыз,Атырау,,,,KZ06,4.4
2012,пайыз,Батыс Қазақстан,,,,KZ07,3.9
2013,пайыз,Батыс Қазақстан,,,,KZ07,9.3
2014,пайыз,Батыс Қазақстан,,,,KZ07,12.5
2015,пайыз,Батыс Қазақстан,,,,KZ07,12.5
2016,пайыз,Батыс Қазақстан,,,,KZ07,11.2
2017,пайыз,Батыс Қазақстан,,,,KZ07,11.7
2018,пайыз,Батыс Қазақстан,,,,KZ07,11.8
2012,пайыз,Жамбыл,,,,KZ17,10.1
2013,пайыз,Жамбыл,,,,KZ17,25.1
2014,пайыз,Жамбыл,,,,KZ17,27.9
2015,пайыз,Жамбыл,,,,KZ17,19.8
2016,пайыз,Жамбыл,,,,KZ17,20.5
2017,пайыз,Жамбыл,,,,KZ17,10.5
2018,пайыз,Жамбыл,,,,KZ17,13.3
2012,пайыз,Қарағанды,,,,KZ12,18.4
2013,пайыз,Қарағанды,,,,KZ12,15.6
2014,пайыз,Қарағанды,,,,KZ12,17.8
2015,пайыз,Қарағанды,,,,KZ12,17.4
2016,пайыз,Қарағанды,,,,KZ12,15.0
2017,пайыз,Қарағанды,,,,KZ12,14.0
2018,пайыз,Қарағанды,,,,KZ12,15.5
2012,пайыз,Қостанай,,,,KZ13,10.4
2013,пайыз,Қостанай,,,,KZ13,11.8
2014,пайыз,Қостанай,,,,KZ13,13.0
2015,пайыз,Қостанай,,,,KZ13,18.8
2016,пайыз,Қостанай,,,,KZ13,16.2
2017,пайыз,Қостанай,,,,KZ13,9.1
2018,пайыз,Қостанай,,,,KZ13,7.6
2012,пайыз,Қызылорда,,,,KZ14,13.2
2013,пайыз,Қызылорда,,,,KZ14,11.2
2014,пайыз,Қызылорда,,,,KZ14,14.3
2015,пайыз,Қызылорда,,,,KZ14,17.9
2016,пайыз,Қызылорда,,,,KZ14,10.1
2017,пайыз,Қызылорда,,,,KZ14,8.3
2018,пайыз,Қызылорда,,,,KZ14,6.6
2012,пайыз,Маңғыстау,,,,KZ09,2.4
2013,пайыз,Маңғыстау,,,,KZ09,5.6
2014,пайыз,Маңғыстау,,,,KZ09,6.8
2015,пайыз,Маңғыстау,,,,KZ09,5.2
2016,пайыз,Маңғыстау,,,,KZ09,2.4
2017,пайыз,Маңғыстау,,,,KZ09,2.3
2018,пайыз,Маңғыстау,,,,KZ09,2.8
2012,пайыз,Оңтүстік Қазақстан,,,,KZ10,19.7
2013,пайыз,Оңтүстік Қазақстан,,,,KZ10,16.0
2014,пайыз,Оңтүстік Қазақстан,,,,KZ10,17.1
2015,пайыз,Оңтүстік Қазақстан,,,,KZ10,10.0
2016,пайыз,Оңтүстік Қазақстан,,,,KZ10,8.2
2017,пайыз,Оңтүстік Қазақстан,,,,KZ10,4.8
2012,пайыз,Павлодар,,,,KZ11,14.8
2013,пайыз,Павлодар,,,,KZ11,14.7
2014,пайыз,Павлодар,,,,KZ11,15.3
2015,пайыз,Павлодар,,,,KZ11,10.4
2016,пайыз,Павлодар,,,,KZ11,13.0
2017,пайыз,Павлодар,,,,KZ11,9.4
2018,пайыз,Павлодар,,,,KZ11,3.2
2012,пайыз,Солтүстік Қазақстан,,,,KZ16,13.9
2013,пайыз,Солтүстік Қазақстан,,,,KZ16,14.6
2014,пайыз,Солтүстік Қазақстан,,,,KZ16,17.7
2015,пайыз,Солтүстік Қазақстан,,,,KZ16,14.5
2016,пайыз,Солтүстік Қазақстан,,,,KZ16,10.1
2017,пайыз,Солтүстік Қазақстан,,,,KZ16,6.4
2018,пайыз,Солтүстік Қазақстан,,,,KZ16,7.0
2018,пайыз,Түркістан,,,,KZ10,4.9
2012,пайыз,Шығыс Қазақстан,,,,KZ15,16.0
2013,пайыз,Шығыс Қазақстан,,,,KZ15,13.9
2014,пайыз,Шығыс Қазақстан,,,,KZ15,18.3
2015,пайыз,Шығыс Қазақстан,,,,KZ15,14.1
2016,пайыз,Шығыс Қазақстан,,,,KZ15,9.0
2017,пайыз,Шығыс Қазақстан,,,,KZ15,6.5
2018,пайыз,Шығыс Қазақстан,,,,KZ15,3.9
2012,пайыз,Нұр-Сұлтан қаласы,,,,KZ05,13.3
2013,пайыз,Нұр-Сұлтан қаласы,,,,KZ05,4.8
2014,пайыз,Нұр-Сұлтан қаласы,,,,KZ05,23.1
2015,пайыз,Нұр-Сұлтан қаласы,,,,KZ05,26.7
2016,пайыз,Нұр-Сұлтан қаласы,,,,KZ05,17.3
2017,пайыз,Нұр-Сұлтан қаласы,,,,KZ05,24.6
2018,пайыз,Нұр-Сұлтан қаласы,,,,KZ05,16.6
2012,пайыз,Алматы қаласы,,,,KZ02,9.9
2013,пайыз,Алматы қаласы,,,,KZ02,10.5
2014,пайыз,Алматы қаласы,,,,KZ02,14.8
2015,пайыз,Алматы қаласы,,,,KZ02,11.4
2016,пайыз,Алматы қаласы,,,,KZ02,17.2
2017,пайыз,Алматы қаласы,,,,KZ02,10.5
2018,пайыз,Алматы қаласы,,,,KZ02,10.9
2018,пайыз,Шымкент қаласы,,,,KZ18,4.4
2012,пайыз,,ерлер,,,,13.2
2013,пайыз,,ерлер,,,,13.1
2014,пайыз,,ерлер,,,,17.1
2015,пайыз,,ерлер,,,,15.0
2016,пайыз,,ерлер,,,,12.4
2017,пайыз,,ерлер,,,,10.0
2018,пайыз,,ерлер,,,,9.2
2012,пайыз,Ақмола,ерлер,,,,11.9
2013,пайыз,Ақмола,ерлер,,,,13.7
2014,пайыз,Ақмола,ерлер,,,,18.3
2015,пайыз,Ақмола,ерлер,,,,15.6
2016,пайыз,Ақмола,ерлер,,,,13.6
2017,пайыз,Ақмола,ерлер,,,,12.7
2018,пайыз,Ақмола,ерлер,,,,11.2
2012,пайыз,Ақтөбе,ерлер,,,,10.0
2013,пайыз,Ақтөбе,ерлер,,,,13.4
2014,пайыз,Ақтөбе,ерлер,,,,12.4
2015,пайыз,Ақтөбе,ерлер,,,,10.5
2016,пайыз,Ақтөбе,ерлер,,,,8.0
2017,пайыз,Ақтөбе,ерлер,,,,2.6
2018,пайыз,Ақтөбе,ерлер,,,,3.5
2012,пайыз,Алматы,ерлер,,,,22.0
2013,пайыз,Алматы,ерлер,,,,17.7
2014,пайыз,Алматы,ерлер,,,,21.2
2015,пайыз,Алматы,ерлер,,,,22.5
2016,пайыз,Алматы,ерлер,,,,16.1
2017,пайыз,Алматы,ерлер,,,,15.6
2018,пайыз,Алматы,ерлер,,,,13.8
2012,пайыз,Атырау,ерлер,,,,5.8
2013,пайыз,Атырау,ерлер,,,,4.8
2014,пайыз,Атырау,ерлер,,,,5.7
2015,пайыз,Атырау,ерлер,,,,5.2
2016,пайыз,Атырау,ерлер,,,,4.0
2017,пайыз,Атырау,ерлер,,,,3.8
2018,пайыз,Атырау,ерлер,,,,3.3
2012,пайыз,Батыс Қазақстан,ерлер,,,,3.7
2013,пайыз,Батыс Қазақстан,ерлер,,,,9.6
2014,пайыз,Батыс Қазақстан,ерлер,,,,13.3
2015,пайыз,Батыс Қазақстан,ерлер,,,,12.7
2016,пайыз,Батыс Қазақстан,ерлер,,,,10.4
2017,пайыз,Батыс Қазақстан,ерлер,,,,11.3
2018,пайыз,Батыс Қазақстан,ерлер,,,,11.7
2012,пайыз,Жамбыл,ерлер,,,,9.7
2013,пайыз,Жамбыл,ерлер,,,,25.4
2014,пайыз,Жамбыл,ерлер,,,,29.4
