Year,Units,Regions,Value
2010,пайыз,,14.9
2011,пайыз,,17.8
2012,пайыз,,21.5
2013,пайыз,,23.0
2014,пайыз,,16.22
2015,пайыз,,9.3
2016,пайыз,,7.41
2017,пайыз,,4.38
2018,пайыз,,3.6
2010,пайыз,Ақмола,25.0
2011,пайыз,Ақмола,0.0
2012,пайыз,Ақмола,0.0
2013,пайыз,Ақмола,0.0
2014,пайыз,Ақмола,0.0
2015,пайыз,Ақмола,0.0
2016,пайыз,Ақмола,0.0
2017,пайыз,Ақмола,0.0
2018,пайыз,Ақмола,0.0
2010,пайыз,Ақтөбе,0.0
2011,пайыз,Ақтөбе,0.0
2012,пайыз,Ақтөбе,0.0
2013,пайыз,Ақтөбе,0.0
2014,пайыз,Ақтөбе,0.0
2015,пайыз,Ақтөбе,0.0
2016,пайыз,Ақтөбе,0.0
2017,пайыз,Ақтөбе,0.0
2018,пайыз,Ақтөбе,0.0
2010,пайыз,Алматы,0.0
2011,пайыз,Алматы,5.9
2012,пайыз,Алматы,26.3
2013,пайыз,Алматы,63.2
2014,пайыз,Алматы,36.8
2015,пайыз,Алматы,10.5
2016,пайыз,Алматы,6.1
2017,пайыз,Алматы,0.0
2018,пайыз,Алматы,0.0
2010,пайыз,Атырау,100.0
2011,пайыз,Атырау,100.0
2012,пайыз,Атырау,100.0
2013,пайыз,Атырау,100.0
2014,пайыз,Атырау,80.0
2015,пайыз,Атырау,100.0
2016,пайыз,Атырау,100.0
2017,пайыз,Атырау,80.0
2018,пайыз,Атырау,80.0
2010,пайыз,Батыс Қазақстан,11.1
2011,пайыз,Батыс Қазақстан,11.1
2012,пайыз,Батыс Қазақстан,55.6
2013,пайыз,Батыс Қазақстан,22.2
2014,пайыз,Батыс Қазақстан,0.0
2015,пайыз,Батыс Қазақстан,0.0
2016,пайыз,Батыс Қазақстан,11.1
2017,пайыз,Батыс Қазақстан,0.0
2018,пайыз,Батыс Қазақстан,0.0
2010,пайыз,Жымбылская,0.0
2011,пайыз,Жымбылская,11.1
2012,пайыз,Жымбылская,10.0
2013,пайыз,Жымбылская,10.0
2014,пайыз,Жымбылская,10.0
2015,пайыз,Жымбылская,0.0
2016,пайыз,Жымбылская,0.0
2017,пайыз,Жымбылская,0.0
2018,пайыз,Жымбылская,0.0
2010,пайыз,Қарағанды,0.0
2011,пайыз,Қарағанды,14.3
2012,пайыз,Қарағанды,0.0
2013,пайыз,Қарағанды,0.0
2014,пайыз,Қарағанды,0.0
2015,пайыз,Қарағанды,0.0
2016,пайыз,Қарағанды,0.0
2017,пайыз,Қарағанды,0.0
2018,пайыз,Қарағанды,0.0
2010,пайыз,Қостанай,0.0
2011,пайыз,Қостанай,0.0
2012,пайыз,Қостанай,0.0
2013,пайыз,Қостанай,0.0
2014,пайыз,Қостанай,0.0
2015,пайыз,Қостанай,0.0
2016,пайыз,Қостанай,0.0
2017,пайыз,Қостанай,0.0
2018,пайыз,Қостанай,0.0
2010,пайыз,Қызылорда,0.0
2011,пайыз,Қызылорда,0.0
2012,пайыз,Қызылорда,0.0
2013,пайыз,Қызылорда,0.0
2014,пайыз,Қызылорда,0.0
2015,пайыз,Қызылорда,0.0
2016,пайыз,Қызылорда,0.0
2017,пайыз,Қызылорда,0.0
2018,пайыз,Қызылорда,0.0
2010,пайыз,Маңғыстау,100.0
2011,пайыз,Маңғыстау,0.0
2012,пайыз,Маңғыстау,0.0
2013,пайыз,Маңғыстау,0.0
2014,пайыз,Маңғыстау,0.0
2015,пайыз,Маңғыстау,100.0
2016,пайыз,Маңғыстау,100.0
2017,пайыз,Маңғыстау,100.0
2018,пайыз,Маңғыстау,100.0
2010,пайыз,Павлодар,100.0
2011,пайыз,Павлодар,100.0
2012,пайыз,Павлодар,100.0
2013,пайыз,Павлодар,100.0
2014,пайыз,Павлодар,100.0
2015,пайыз,Павлодар,0.0
2016,пайыз,Павлодар,0.0
2017,пайыз,Павлодар,0.0
2018,пайыз,Павлодар,0.0
2010,пайыз,Солтүстік Қазақстан,0.0
2011,пайыз,Солтүстік Қазақстан,100.0
2012,пайыз,Солтүстік Қазақстан,100.0
2013,пайыз,Солтүстік Қазақстан,0.0
2014,пайыз,Солтүстік Қазақстан,0.0
2015,пайыз,Солтүстік Қазақстан,0.0
2016,пайыз,Солтүстік Қазақстан,0.0
2017,пайыз,Солтүстік Қазақстан,0.0
2018,пайыз,Солтүстік Қазақстан,0.0
2010,пайыз,Түркістан,16.6
2011,пайыз,Түркістан,16.6
2012,пайыз,Түркістан,28.6
2013,пайыз,Түркістан,28.6
2014,пайыз,Түркістан,28.6
2015,пайыз,Түркістан,28.6
2016,пайыз,Түркістан,14.3
2017,пайыз,Түркістан,14.3
2018,пайыз,Түркістан,12.5
2010,пайыз,Шығыс Қазақстан,35.7
2011,пайыз,Шығыс Қазақстан,30.8
2012,пайыз,Шығыс Қазақстан,28.6
2013,пайыз,Шығыс Қазақстан,23.1
2014,пайыз,Шығыс Қазақстан,28.6
2015,пайыз,Шығыс Қазақстан,7.7
2016,пайыз,Шығыс Қазақстан,7.7
2017,пайыз,Шығыс Қазақстан,7.7
2018,пайыз,Шығыс Қазақстан,0.0
