Year,Units,Өңірлер,Аймақ,Жасы,GeoCode,Value
2010,пайыз,,,,,37.2
2011,пайыз,,,,,38.5
2012,пайыз,,,,,39.7
2013,пайыз,,,,,38.3
2014,пайыз,,,,,34.8
2015,пайыз,,,,,37.0
2016,пайыз,,,,,37.3
2017,пайыз,,,,,37.0
2018,пайыз,,,,,41.2
2010,пайыз,Ақмола,,,KZ03,39.9
2011,пайыз,Ақмола,,,KZ03,43.1
2012,пайыз,Ақмола,,,KZ03,36.3
2013,пайыз,Ақмола,,,KZ03,44.8
2014,пайыз,Ақмола,,,KZ03,34.8
2015,пайыз,Ақмола,,,KZ03,30.0
2016,пайыз,Ақмола,,,KZ03,34.6
2017,пайыз,Ақмола,,,KZ03,35.8
2018,пайыз,Ақмола,,,KZ03,45.7
2010,пайыз,Ақтөбе,,,KZ04,41.7
2011,пайыз,Ақтөбе,,,KZ04,41.6
2012,пайыз,Ақтөбе,,,KZ04,36.1
2013,пайыз,Ақтөбе,,,KZ04,27.2
2014,пайыз,Ақтөбе,,,KZ04,37.6
2015,пайыз,Ақтөбе,,,KZ04,34.3
2016,пайыз,Ақтөбе,,,KZ04,34.1
2017,пайыз,Ақтөбе,,,KZ04,39.8
2018,пайыз,Ақтөбе,,,KZ04,33.7
2010,пайыз,Алматы,,,KZ01,31.5
2011,пайыз,Алматы,,,KZ01,24.4
2012,пайыз,Алматы,,,KZ01,33.4
2013,пайыз,Алматы,,,KZ01,45.6
2014,пайыз,Алматы,,,KZ01,26.5
2015,пайыз,Алматы,,,KZ01,31.3
2016,пайыз,Алматы,,,KZ01,35.7
2017,пайыз,Алматы,,,KZ01,33.8
2018,пайыз,Алматы,,,KZ01,39.3
2010,пайыз,Атырау,,,KZ06,18.9
2011,пайыз,Атырау,,,KZ06,26.7
2012,пайыз,Атырау,,,KZ06,31.8
2013,пайыз,Атырау,,,KZ06,28.9
2014,пайыз,Атырау,,,KZ06,25.4
2015,пайыз,Атырау,,,KZ06,33.8
2016,пайыз,Атырау,,,KZ06,30.0
2017,пайыз,Атырау,,,KZ06,31.0
2018,пайыз,Атырау,,,KZ06,35.6
2010,пайыз,Батыс Қазақстан,,,KZ07,21.2
2011,пайыз,Батыс Қазақстан,,,KZ07,24.7
2012,пайыз,Батыс Қазақстан,,,KZ07,20.404275584718
2013,пайыз,Батыс Қазақстан,,,KZ07,23.5
2014,пайыз,Батыс Қазақстан,,,KZ07,30.6
2015,пайыз,Батыс Қазақстан,,,KZ07,35.9
2016,пайыз,Батыс Қазақстан,,,KZ07,34.5
2017,пайыз,Батыс Қазақстан,,,KZ07,35.8
2018,пайыз,Батыс Қазақстан,,,KZ07,36.4
2010,пайыз,Жамбыл,,,KZ17,22.3
2011,пайыз,Жамбыл,,,KZ17,30.1
2012,пайыз,Жамбыл,,,KZ17,39.4
2013,пайыз,Жамбыл,,,KZ17,27.0
2014,пайыз,Жамбыл,,,KZ17,22.8
2015,пайыз,Жамбыл,,,KZ17,20.5
2016,пайыз,Жамбыл,,,KZ17,19.2
2017,пайыз,Жамбыл,,,KZ17,18.5
2018,пайыз,Жамбыл,,,KZ17,40.7
2010,пайыз,Қарағанды,,,KZ12,41.0
2011,пайыз,Қарағанды,,,KZ12,40.0
2012,пайыз,Қарағанды,,,KZ12,43.1
2013,пайыз,Қарағанды,,,KZ12,38.6
2014,пайыз,Қарағанды,,,KZ12,35.7
2015,пайыз,Қарағанды,,,KZ12,38.9
2016,пайыз,Қарағанды,,,KZ12,33.8
2017,пайыз,Қарағанды,,,KZ12,32.9
2018,пайыз,Қарағанды,,,KZ12,36.3
2010,пайыз,Қостанай,,,KZ13,39.6
2011,пайыз,Қостанай,,,KZ13,43.9
2012,пайыз,Қостанай,,,KZ13,43.1
2013,пайыз,Қостанай,,,KZ13,34.6
2014,пайыз,Қостанай,,,KZ13,38.6
2015,пайыз,Қостанай,,,KZ13,42.9
2016,пайыз,Қостанай,,,KZ13,39.6
2017,пайыз,Қостанай,,,KZ13,38.8
2018,пайыз,Қостанай,,,KZ13,42.9
2010,пайыз,Қызылорда,,,KZ14,38.1
2011,пайыз,Қызылорда,,,KZ14,40.8
2012,пайыз,Қызылорда,,,KZ14,31.0
2013,пайыз,Қызылорда,,,KZ14,30.9
2014,пайыз,Қызылорда,,,KZ14,34.0
2015,пайыз,Қызылорда,,,KZ14,32.6
2016,пайыз,Қызылорда,,,KZ14,31.1
2017,пайыз,Қызылорда,,,KZ14,30.5
2018,пайыз,Қызылорда,,,KZ14,37.2
2010,пайыз,Маңғыстау,,,KZ09,30.4
2011,пайыз,Маңғыстау,,,KZ09,32.9
2012,пайыз,Маңғыстау,,,KZ09,40.7
2013,пайыз,Маңғыстау,,,KZ09,30.0
2014,пайыз,Маңғыстау,,,KZ09,44.6
2015,пайыз,Маңғыстау,,,KZ09,52.0
2016,пайыз,Маңғыстау,,,KZ09,44.4
2017,пайыз,Маңғыстау,,,KZ09,42.0
2018,пайыз,Маңғыстау,,,KZ09,37.4
2010,пайыз,Оңтүстік Қазақстан,,,KZ10,18.4
2011,пайыз,Оңтүстік Қазақстан,,,KZ10,28.1
2012,пайыз,Оңтүстік Қазақстан,,,KZ10,28.7
2013,пайыз,Оңтүстік Қазақстан,,,KZ10,32.5
2014,пайыз,Оңтүстік Қазақстан,,,KZ10,32.9
2015,пайыз,Оңтүстік Қазақстан,,,KZ10,28.7
2016,пайыз,Оңтүстік Қазақстан,,,KZ10,40.9
2017,пайыз,Оңтүстік Қазақстан,,,KZ10,26.5
2010,пайыз,Павлодар,,,KZ11,41.7
2011,пайыз,Павлодар,,,KZ11,41.9
2012,пайыз,Павлодар,,,KZ11,30.9
2013,пайыз,Павлодар,,,KZ11,36.3
2014,пайыз,Павлодар,,,KZ11,32.0
2015,пайыз,Павлодар,,,KZ11,39.1
2016,пайыз,Павлодар,,,KZ11,40.0
2017,пайыз,Павлодар,,,KZ11,43.6
2018,пайыз,Павлодар,,,KZ11,40.2
2010,пайыз,Солтүстік Қазақстан,,,KZ16,32.7
2011,пайыз,Солтүстік Қазақстан,,,KZ16,35.0
2012,пайыз,Солтүстік Қазақстан,,,KZ16,40.4
2013,пайыз,Солтүстік Қазақстан,,,KZ16,27.5
2014,пайыз,Солтүстік Қазақстан,,,KZ16,31.3
2015,пайыз,Солтүстік Қазақстан,,,KZ16,39.6
2016,пайыз,Солтүстік Қазақстан,,,KZ16,32.6
2017,пайыз,Солтүстік Қазақстан,,,KZ16,33.9
2018,пайыз,Солтүстік Қазақстан,,,KZ16,39.3
2018,пайыз,Түркістан,,,KZ10,40.3
2010,пайыз,Шығыс Қазақстан,,,KZ15,35.7
2011,пайыз,Шығыс Қазақстан,,,KZ15,37.6
2012,пайыз,Шығыс Қазақстан,,,KZ15,38.1
2013,пайыз,Шығыс Қазақстан,,,KZ15,35.5
2014,пайыз,Шығыс Қазақстан,,,KZ15,35.0
2015,пайыз,Шығыс Қазақстан,,,KZ15,33.0
2016,пайыз,Шығыс Қазақстан,,,KZ15,33.7
2017,пайыз,Шығыс Қазақстан,,,KZ15,41.1
2018,пайыз,Шығыс Қазақстан,,,KZ15,45.1
2010,пайыз,Нұр-Сұлтан қаласы,,,KZ05,40.4
2011,пайыз,Нұр-Сұлтан қаласы,,,KZ05,41.4
