Year,Units,Өңірлер,Value
2010,процент к общей площади суши,,4.7
2010,процент к общей площади суши,Ақмола,2.6
2010,процент к общей площади суши,Ақтөбе,0.2
2010,процент к общей площади суши,Алматы,8.5
2010,процент к общей площади суши,Атырау,0.1
2010,процент к общей площади суши,Батыс Қазақстан,0.7
2010,процент к общей площади суши,Жамбыл,15.7
2010,процент к общей площади суши,Қарағанды,0.4
2010,процент к общей площади суши,Қостанай,1.2
2010,процент к общей площади суши,Қызылорда,15.2
2010,процент к общей площади суши,Маңғыстау,0.7
2010,процент к общей площади суши,Павлодар,2.0
2010,процент к общей площади суши,Солтүстік Қазақстан,5.6
2010,процент к общей площади суши,Түркістан,13.9
2010,процент к общей площади суши,Шығыс Қазақстан,6.6
2011,процент к общей площади суши,,4.7
2011,процент к общей площади суши,Ақмола,2.6
2011,процент к общей площади суши,Ақтөбе,0.2
2011,процент к общей площади суши,Алматы,8.8
2011,процент к общей площади суши,Атырау,0.1
2011,процент к общей площади суши,Батыс Қазақстан,0.7
2011,процент к общей площади суши,Жамбыл,15.8
2011,процент к общей площади суши,Қарағанды,0.4
2011,процент к общей площади суши,Қостанай,1.2
2011,процент к общей площади суши,Қызылорда,15.3
2011,процент к общей площади суши,Маңғыстау,0.7
2011,процент к общей площади суши,Павлодар,2.1
2011,процент к общей площади суши,Солтүстік Қазақстан,5.6
2011,процент к общей площади суши,Түркістан,13.9
2011,процент к общей площади суши,Шығыс Қазақстан,6.8
2012,процент к общей площади суши,,4.7
2012,процент к общей площади суши,Ақмола,2.6
2012,процент к общей площади суши,Ақтөбе,0.2
2012,процент к общей площади суши,Алматы,8.8
2012,процент к общей площади суши,Атырау,0.1
2012,процент к общей площади суши,Батыс Қазақстан,0.7
2012,процент к общей площади суши,Жамбыл,15.8
2012,процент к общей площади суши,Қарағанды,0.4
2012,процент к общей площади суши,Қостанай,1.2
2012,процент к общей площади суши,Қызылорда,15.1
2012,процент к общей площади суши,Маңғыстау,0.7
2012,процент к общей площади суши,Павлодар,2.0
2012,процент к общей площади суши,Солтүстік Қазақстан,5.6
2012,процент к общей площади суши,Түркістан,14.0
2012,процент к общей площади суши,Шығыс Қазақстан,7.2
2013,процент к общей площади суши,,4.8
2013,процент к общей площади суши,Ақмола,2.7
2013,процент к общей площади суши,Ақтөбе,0.2
2013,процент к общей площади суши,Алматы,8.8
2013,процент к общей площади суши,Атырау,0.1
2013,процент к общей площади суши,Батыс Қазақстан,0.7
2013,процент к общей площади суши,Жамбыл,15.9
2013,процент к общей площади суши,Қарағанды,0.4
2013,процент к общей площади суши,Қостанай,1.2
2013,процент к общей площади суши,Қызылорда,15.1
2013,процент к общей площади суши,Маңғыстау,0.7
2013,процент к общей площади суши,Павлодар,2.1
2013,процент к общей площади суши,Солтүстік Қазақстан,5.6
2013,процент к общей площади суши,Түркістан,14.0
2013,процент к общей площади суши,Шығыс Қазақстан,7.3
2014,процент к общей площади суши,,4.8
2014,процент к общей площади суши,Ақмола,2.7
2014,процент к общей площади суши,Ақтөбе,0.2
2014,процент к общей площади суши,Алматы,8.8
2014,процент к общей площади суши,Атырау,0.1
2014,процент к общей площади суши,Батыс Қазақстан,0.7
2014,процент к общей площади суши,Жамбыл,15.9
2014,процент к общей площади суши,Қарағанды,0.4
2014,процент к общей площади суши,Қостанай,1.2
2014,процент к общей площади суши,Қызылорда,15.1
2014,процент к общей площади суши,Маңғыстау,0.7
2014,процент к общей площади суши,Павлодар,2.1
2014,процент к общей площади суши,Солтүстік Қазақстан,5.6
2014,процент к общей площади суши,Түркістан,14.0
2014,процент к общей площади суши,Шығыс Қазақстан,7.3
2015,процент к общей площади суши,,4.8
2015,процент к общей площади суши,Ақмола,2.7
2015,процент к общей площади суши,Ақтөбе,0.2
2015,процент к общей площади суши,Алматы,8.9
2015,процент к общей площади суши,Атырау,0.1
2015,процент к общей площади суши,Батыс Қазақстан,0.7
2015,процент к общей площади суши,Жамбыл,15.9
2015,процент к общей площади суши,Қарағанды,0.4
2015,процент к общей площади суши,Қостанай,1.2
2015,процент к общей площади суши,Қызылорда,15.1
2015,процент к общей площади суши,Маңғыстау,0.7
2015,процент к общей площади суши,Павлодар,2.1
2015,процент к общей площади суши,Солтүстік Қазақстан,5.7
2015,процент к общей площади суши,Түркістан,14.0
2015,процент к общей площади суши,Шығыс Қазақстан,7.3
2016,процент к общей площади суши,,4.8
2016,процент к общей площади суши,Ақмола,2.7
2016,процент к общей площади суши,Ақтөбе,0.2
2016,процент к общей площади суши,Алматы,8.9
2016,процент к общей площади суши,Атырау,0.1
2016,процент к общей площади суши,Батыс Қазақстан,0.7
2016,процент к общей площади суши,Жамбыл,15.9
2016,процент к общей площади суши,Қарағанды,0.4
2016,процент к общей площади суши,Қостанай,1.2
2016,процент к общей площади суши,Қызылорда,15.2
2016,процент к общей площади суши,Маңғыстау,0.7
2016,процент к общей площади суши,Павлодар,2.1
2016,процент к общей площади суши,Солтүстік Қазақстан,5.7
2016,процент к общей площади суши,Түркістан,14.1
2016,процент к общей площади суши,Шығыс Қазақстан,7.3
2017,процент к общей площади суши,,4.9
2017,процент к общей площади суши,Ақмола,2.7
2017,процент к общей площади суши,Ақтөбе,0.2
2017,процент к общей площади суши,Алматы,9.2
2017,процент к общей площади суши,Атырау,0.1
2017,процент к общей площади суши,Батыс Қазақстан,0.6
2017,процент к общей площади суши,Жамбыл,16.8
2017,процент к общей площади суши,Қарағанды,0.4
2017,процент к общей площади суши,Қостанай,1.3
2017,процент к общей площади суши,Қызылорда,15.3
2017,процент к общей площади суши,Маңғыстау,0.8
2017,процент к общей площади суши,Павлодар,2.1
2017,процент к общей площади суши,Солтүстік Қазақстан,5.7
2017,процент к общей площади суши,Түркістан,14.2
2017,процент к общей площади суши,Шығыс Қазақстан,7.3
2018,процент к общей площади суши,,4.9
2018,процент к общей площади суши,Ақмола,2.7
2018,процент к общей площади суши,Ақтөбе,0.2
2018,процент к общей площади суши,Алматы,9.3
2018,процент к общей площади суши,Атырау,0.2
2018,процент к общей площади суши,Батыс Қазақстан,0.6
2018,процент к общей площади суши,Жамбыл,16.5
2018,процент к общей площади суши,Қарағанды,0.4
2018,процент к общей площади суши,Қостанай,1.3
2018,процент к общей площади суши,Қызылорда,15.4
2018,процент к общей площади суши,Маңғыстау,0.8
2018,процент к общей площади суши,Павлодар,2.1
2018,процент к общей площади суши,Солтүстік Қазақстан,5.7
2018,процент к общей площади суши,Түркістан,14.3
2018,процент к общей площади суши,Шығыс Қазақстан,7.4
2019,процент к общей площади суши,,5.0
2019,процент к общей площади суши,Ақмола,2.7
2019,процент к общей площади суши,Ақтөбе,0.2
2019,процент к общей площади суши,Алматы,10.0
2019,процент к общей площади суши,Атырау,0.1
2019,процент к общей площади суши,Батыс Қазақстан,0.6
2019,процент к общей площади суши,Жамбыл,16.5
2019,процент к общей площади суши,Қарағанды,0.4
2019,процент к общей площади суши,Қостанай,1.3
2019,процент к общей площади суши,Қызылорда,15.6
2019,процент к общей площади суши,Маңғыстау,0.8
2019,процент к общей площади суши,Павлодар,2.2
2019,процент к общей площади суши,Солтүстік Қазақстан,5.7
2019,процент к общей площади суши,Түркістан,14.4
2019,процент к общей площади суши,Шығыс Қазақстан,7.4
