Year,Units,Өңірлер,Аймақ,Жынысы,Білім беру,Отбасылық жағдайы,азаматтығы,GeoCode,Value
2010,100 000 халыққа,,,,,,,,0.78
2011,100 000 халыққа,,,,,,,,1.08
2012,100 000 халыққа,,,,,,,,0.58
2013,100 000 халыққа,,,,,,,,0.66
2014,100 000 халыққа,,,,,,,,0.57
2015,100 000 халыққа,,,,,,,,0.67
2016,100 000 халыққа,,,,,,,,0.8
2017,100 000 халыққа,,,,,,,,0.99
2018,100 000 халыққа,,,,,,,,0.83
2010,100 000 халыққа,Ақмола,,,,,,KZ03,0.14
2011,100 000 халыққа,Ақмола,,,,,,KZ03,0.27
2012,100 000 халыққа,Ақмола,,,,,,KZ03,0.55
2013,100 000 халыққа,Ақмола,,,,,,KZ03,0.68
2014,100 000 халыққа,Ақмола,,,,,,KZ03,0.41
2015,100 000 халыққа,Ақмола,,,,,,KZ03,0.41
2016,100 000 халыққа,Ақмола,,,,,,KZ03,0.95
2017,100 000 халыққа,Ақмола,,,,,,KZ03,0.81
2018,100 000 халыққа,Ақмола,,,,,,KZ03,1.08
2010,100 000 халыққа,Ақтөбе,,,,,,KZ04,0.39
2011,100 000 халыққа,Ақтөбе,,,,,,KZ04,0.38
2012,100 000 халыққа,Ақтөбе,,,,,,KZ04,0.13
2013,100 000 халыққа,Ақтөбе,,,,,,KZ04,0.12
2014,100 000 халыққа,Ақтөбе,,,,,,KZ04,0.12
2015,100 000 халыққа,Ақтөбе,,,,,,KZ04,0.12
2016,100 000 халыққа,Ақтөбе,,,,,,KZ04,0.0
2017,100 000 халыққа,Ақтөбе,,,,,,KZ04,0.23
2018,100 000 халыққа,Ақтөбе,,,,,,KZ04,0.23
2010,100 000 халыққа,Алматы,,,,,,KZ01,0.97
2011,100 000 халыққа,Алматы,,,,,,KZ01,2.49
2012,100 000 халыққа,Алматы,,,,,,KZ01,0.21
2013,100 000 халыққа,Алматы,,,,,,KZ01,0.15
2014,100 000 халыққа,Алматы,,,,,,KZ01,0.15
2015,100 000 халыққа,Алматы,,,,,,KZ01,0.26
2016,100 000 халыққа,Алматы,,,,,,KZ01,0.2
2017,100 000 халыққа,Алматы,,,,,,KZ01,0.2
2018,100 000 халыққа,Алматы,,,,,,KZ01,0.3
2010,100 000 халыққа,Атырау,,,,,,KZ06,0.19
2011,100 000 халыққа,Атырау,,,,,,KZ06,0.37
2012,100 000 халыққа,Атырау,,,,,,KZ06,0.91
2013,100 000 халыққа,Атырау,,,,,,KZ06,0.36
2014,100 000 халыққа,Атырау,,,,,,KZ06,0.35
2015,100 000 халыққа,Атырау,,,,,,KZ06,0.85
2016,100 000 халыққа,Атырау,,,,,,KZ06,1.0
2017,100 000 халыққа,Атырау,,,,,,KZ06,0.33
2018,100 000 халыққа,Атырау,,,,,,KZ06,0.0
2010,100 000 халыққа,Батыс Қазақстан,,,,,,KZ07,0.16
2011,100 000 халыққа,Батыс Қазақстан,,,,,,KZ07,0.16
2012,100 000 халыққа,Батыс Қазақстан,,,,,,KZ07,0.65
2013,100 000 халыққа,Батыс Қазақстан,,,,,,KZ07,0.48
2014,100 000 халыққа,Батыс Қазақстан,,,,,,KZ07,0.8
2015,100 000 халыққа,Батыс Қазақстан,,,,,,KZ07,0.79
2016,100 000 халыққа,Батыс Қазақстан,,,,,,KZ07,0.78
2017,100 000 халыққа,Батыс Қазақстан,,,,,,KZ07,1.55
2018,100 000 халыққа,Батыс Қазақстан,,,,,,KZ07,1.85
2010,100 000 халыққа,Жамбыл,,,,,,KZ17,0.48
2011,100 000 халыққа,Жамбыл,,,,,,KZ17,1.43
2012,100 000 халыққа,Жамбыл,,,,,,KZ17,0.66
2013,100 000 халыққа,Жамбыл,,,,,,KZ17,0.37
2014,100 000 халыққа,Жамбыл,,,,,,KZ17,0.27
2015,100 000 халыққа,Жамбыл,,,,,,KZ17,0.18
2016,100 000 халыққа,Жамбыл,,,,,,KZ17,0.54
2017,100 000 халыққа,Жамбыл,,,,,,KZ17,0.45
2018,100 000 халыққа,Жамбыл,,,,,,KZ17,0.27
2010,100 000 халыққа,Қарағанды,,,,,,KZ12,0.67
2011,100 000 халыққа,Қарағанды,,,,,,KZ12,0.89
2012,100 000 халыққа,Қарағанды,,,,,,KZ12,1.4
2013,100 000 халыққа,Қарағанды,,,,,,KZ12,0.51
2014,100 000 халыққа,Қарағанды,,,,,,KZ12,0.73
2015,100 000 халыққа,Қарағанды,,,,,,KZ12,1.23
2016,100 000 халыққа,Қарағанды,,,,,,KZ12,0.58
2017,100 000 халыққа,Қарағанды,,,,,,KZ12,0.43
2018,100 000 халыққа,Қарағанды,,,,,,KZ12,0.72
2010,100 000 халыққа,Қостанай,,,,,,KZ13,0.23
2011,100 000 халыққа,Қостанай,,,,,,KZ13,0.0
2012,100 000 халыққа,Қостанай,,,,,,KZ13,0.34
2013,100 000 халыққа,Қостанай,,,,,,KZ13,0.34
2014,100 000 халыққа,Қостанай,,,,,,KZ13,0.23
2015,100 000 халыққа,Қостанай,,,,,,KZ13,0.11
2016,100 000 халыққа,Қостанай,,,,,,KZ13,0.57
2017,100 000 халыққа,Қостанай,,,,,,KZ13,0.23
2018,100 000 халыққа,Қостанай,,,,,,KZ13,0.34
2010,100 000 халыққа,Қызылорда,,,,,,KZ14,2.45
2011,100 000 халыққа,Қызылорда,,,,,,KZ14,1.84
2012,100 000 халыққа,Қызылорда,,,,,,KZ14,0.28
2013,100 000 халыққа,Қызылорда,,,,,,KZ14,0.27
2014,100 000 халыққа,Қызылорда,,,,,,KZ14,0.13
2015,100 000 халыққа,Қызылорда,,,,,,KZ14,0.4
2016,100 000 халыққа,Қызылорда,,,,,,KZ14,0.39
2017,100 000 халыққа,Қызылорда,,,,,,KZ14,0.13
2018,100 000 халыққа,Қызылорда,,,,,,KZ14,0.25
2010,100 000 халыққа,Маңғыстау,,,,,,KZ09,0.39
2011,100 000 халыққа,Маңғыстау,,,,,,KZ09,0.75
2012,100 000 халыққа,Маңғыстау,,,,,,KZ09,0.54
2013,100 000 халыққа,Маңғыстау,,,,,,KZ09,0.17
2014,100 000 халыққа,Маңғыстау,,,,,,KZ09,0.67
2015,100 000 халыққа,Маңғыстау,,,,,,KZ09,0.49
2016,100 000 халыққа,Маңғыстау,,,,,,KZ09,1.26
2017,100 000 халыққа,Маңғыстау,,,,,,KZ09,0.31
2018,100 000 халыққа,Маңғыстау,,,,,,KZ09,0.3
