Year,Units,Аймақ,Өңірлер,GeoCode,Value
2010,шаршы метр,,,,18.4
2011,шаршы метр,,,,18.7
2012,шаршы метр,,,,19.6
2013,шаршы метр,,,,20.9
2014,шаршы метр,,,,21.0
2015,шаршы метр,,,,21.0
2016,шаршы метр,,,,21.4
2017,шаршы метр,,,,21.6
2018,шаршы метр,,,,21.8
2010,шаршы метр,қала,,,20.2
2011,шаршы метр,қала,,,20.6
2012,шаршы метр,қала,,,22.1
2013,шаршы метр,қала,,,23.7
2014,шаршы метр,қала,,,23.8
2015,шаршы метр,қала,,,23.5
2016,шаршы метр,қала,,,24.0
2017,шаршы метр,қала,,,24.1
2018,шаршы метр,қала,,,24.4
2010,шаршы метр,ауыл,,,16.5
2011,шаршы метр,ауыл,,,16.6
2012,шаршы метр,ауыл,,,16.8
2013,шаршы метр,ауыл,,,17.4
2014,шаршы метр,ауыл,,,17.6
2015,шаршы метр,ауыл,,,17.8
2016,шаршы метр,ауыл,,,18.0
2017,шаршы метр,ауыл,,,18.2
2018,шаршы метр,ауыл,,,18.4
2010,шаршы метр,,Ақмола,KZ03,19.5
2011,шаршы метр,,Ақмола,KZ03,19.6
2012,шаршы метр,,Ақмола,KZ03,20.2
2013,шаршы метр,,Ақмола,KZ03,21.4
2014,шаршы метр,,Ақмола,KZ03,21.6
2015,шаршы метр,,Ақмола,KZ03,21.6
2016,шаршы метр,,Ақмола,KZ03,21.8
2017,шаршы метр,,Ақмола,KZ03,22.0
2018,шаршы метр,,Ақмола,KZ03,22.2
2010,шаршы метр,,Ақтөбе,KZ04,17.3
2011,шаршы метр,,Ақтөбе,KZ04,18.2
2012,шаршы метр,,Ақтөбе,KZ04,18.7
2013,шаршы метр,,Ақтөбе,KZ04,20.1
2014,шаршы метр,,Ақтөбе,KZ04,20.8
2015,шаршы метр,,Ақтөбе,KZ04,21.3
2016,шаршы метр,,Ақтөбе,KZ04,21.7
2017,шаршы метр,,Ақтөбе,KZ04,22.0
2018,шаршы метр,,Ақтөбе,KZ04,22.4
2010,шаршы метр,,Алматы,KZ01,15.7
2011,шаршы метр,,Алматы,KZ01,15.9
2012,шаршы метр,,Алматы,KZ01,16.1
