Year,Units,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,Жынысы,Өңірлер,Value
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,,,58.7
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,,54.7
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,,63.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Ақмола,57.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Ақмола,60.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Ақтөбе,39.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Ақтөбе,62.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Алматы,51.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Алматы,58.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Атырау,33.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Атырау,51.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Батыс Қазақстан,59.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Батыс Қазақстан,66.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Жамбыл,58.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Жамбыл,63.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Қарағанды,71.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Қарағанды,74.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Қостанай,57.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Қостанай,63.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Қызылорда,59.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Қызылорда,65.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Маңғыстау,45.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Маңғыстау,45.0
