Year,Units,Зорлықтың түрі,Уақыт кезеңі,Жасы,Value
2015,пайыз,физикалық қатыгездік,өмір бойы,18-75 жастағы әйелдер,16.2
2015,пайыз,сексуалдық зорлық,өмір бойы,18-75 жастағы әйелдер,3.6
2015,пайыз,физикалық зорлық-зомбылық және / немесе сексуалдық зомбылық,өмір бойы,18-75 жастағы әйелдер,16.5
2015,пайыз,физикалық қатыгездік,соңғы 12 айда,18-75 жастағы әйелдер,4.5
2015,пайыз,сексуалдық зорлық,соңғы 12 айда,18-75 жастағы әйелдер,1.0
2015,пайыз,физикалық зорлық-зомбылық және / немесе сексуалдық зомбылық,соңғы 12 айда,18-75 жастағы әйелдер,4.7
2015,пайыз,физикалық қатыгездік,өмір бойы,Женщины в возрасте 18-49 лет,16.0
2015,пайыз,сексуалдық зорлық,өмір бойы,Женщины в возрасте 18-49 лет,3.9
2015,пайыз,физикалық зорлық-зомбылық және / немесе сексуалдық зомбылық,өмір бойы,Женщины в возрасте 18-49 лет,16.4
2015,пайыз,физикалық қатыгездік,соңғы 12 айда,Женщины в возрасте 18-49 лет,5.3
2015,пайыз,сексуалдық зорлық,соңғы 12 айда,Женщины в возрасте 18-49 лет,1.2
2015,пайыз,физикалық зорлық-зомбылық және / немесе сексуалдық зомбылық,соңғы 12 айда,Женщины в возрасте 18-49 лет,5.6
