Year,Units,Төтенше жағдайлар құрбандары,Өңірлер,Жынысы,Value
2010,100 000 адамға жарақат алғандар,,,,0.00145
2011,100 000 адамға жарақат алғандар,,,,0.00011999999999999999
2012,100 000 адамға жарақат алғандар,,,,0.0002
2013,100 000 адамға жарақат алғандар,,,,0.00011999999999999999
2014,100 000 адамға жарақат алғандар,,,,0.00018999999999999998
2015,100 000 адамға жарақат алғандар,,,,8e-05
2016,100 000 адамға жарақат алғандар,,,,8e-05
2017,100 000 адамға жарақат алғандар,,,,0.00035
2018,100 000 адамға жарақат алғандар,,,,8e-05
2010,100 000 адамға қаза болғандар,,,,0.00053
2011,100 000 адамға қаза болғандар,,,,5e-05
2012,100 000 адамға қаза болғандар,,,,0.00015
2013,100 000 адамға қаза болғандар,,,,2.9999999999999997e-05
2014,100 000 адамға қаза болғандар,,,,9e-05
2015,100 000 адамға қаза болғандар,,,,0.0
2016,100 000 адамға қаза болғандар,,,,1e-05
2017,100 000 адамға қаза болғандар,,,,0.00011
2018,100 000 адамға қаза болғандар,,,,1e-05
2017,адам,зардап шеккен,Ақмола,,2.0
2017,адам,зардап шеккен,Ақмола,ерлер,1.0
2017,адам,зардап шеккен,Ақмола,әйелдер,1.0
2010,адам,зардап шеккен,Ақтөбе,,3.0
2011,адам,зардап шеккен,Ақтөбе,,1.0
2012,адам,зардап шеккен,Ақтөбе,,1.0
2014,адам,зардап шеккен,Ақтөбе,,3.0
2010,адам,зардап шеккен,Ақтөбе,ерлер,2.0
2011,адам,зардап шеккен,Ақтөбе,ерлер,1.0
2012,адам,зардап шеккен,Ақтөбе,ерлер,1.0
2014,адам,зардап шеккен,Ақтөбе,ерлер,3.0
2010,адам,зардап шеккен,Ақтөбе,әйелдер,1.0
2010,адам,соның ішінде қаза болды,Ақтөбе,,3.0
2011,адам,соның ішінде қаза болды,Ақтөбе,,1.0
2012,адам,соның ішінде қаза болды,Ақтөбе,,1.0
2014,адам,соның ішінде қаза болды,Ақтөбе,,2.0
2010,адам,соның ішінде қаза болды,Ақтөбе,ерлер,2.0
2011,адам,соның ішінде қаза болды,Ақтөбе,ерлер,1.0
2012,адам,соның ішінде қаза болды,Ақтөбе,ерлер,1.0
2014,адам,соның ішінде қаза болды,Ақтөбе,ерлер,2.0
2010,адам,соның ішінде қаза болды,Ақтөбе,әйелдер,1.0
2010,адам,зардап шеккен,Алматы,,138.0
2011,адам,зардап шеккен,Алматы,,1.0
2012,адам,зардап шеккен,Алматы,,1.0
2013,адам,зардап шеккен,Алматы,,1.0
2014,адам,зардап шеккен,Алматы,,2.0
2015,адам,зардап шеккен,Алматы,,1.0
2010,адам,зардап шеккен,Алматы,ерлер,1.0
2011,адам,зардап шеккен,Алматы,ерлер,1.0
2012,адам,зардап шеккен,Алматы,ерлер,1.0
2013,адам,зардап шеккен,Алматы,ерлер,1.0
2014,адам,зардап шеккен,Алматы,ерлер,2.0
2010,адам,зардап шеккен,Алматы,әйелдер,1.0
2010,адам,зардап шеккен (жынысын анықтау мүмкіндігі жоқ),Алматы,,136.0
2010,адам,соның ішінде қаза болды,Алматы,,46.0
2011,адам,соның ішінде қаза болды,Алматы,,1.0
2012,адам,соның ішінде қаза болды,Алматы,,1.0
2014,адам,соның ішінде қаза болды,Алматы,,1.0
2011,адам,соның ішінде қаза болды,Алматы,ерлер,1.0
2012,адам,соның ішінде қаза болды,Алматы,ерлер,1.0
2014,адам,соның ішінде қаза болды,Алматы,ерлер,1.0
2012,адам,зардап шеккен,Атырау,,3.0
2013,адам,зардап шеккен,Атырау,,1.0
2012,адам,зардап шеккен,Атырау,ерлер,2.0
2013,адам,зардап шеккен,Атырау,ерлер,1.0
2012,адам,зардап шеккен,Атырау,әйелдер,1.0
2012,адам,соның ішінде қаза болды,Атырау,,3.0
2013,адам,соның ішінде қаза болды,Атырау,,1.0
2010,адам,зардап шеккен,Жамбыл,,1.0
2012,адам,зардап шеккен,Жамбыл,,10.0
2013,адам,зардап шеккен,Жамбыл,,8.0
2016,адам,зардап шеккен,Жамбыл,,5.0
2017,адам,зардап шеккен,Жамбыл,,27.0
2012,адам,зардап шеккен,Жамбыл,ерлер,6.0
2013,адам,зардап шеккен,Жамбыл,ерлер,8.0
2016,адам,зардап шеккен,Жамбыл,ерлер,4.0
2017,адам,зардап шеккен,Жамбыл,ерлер,26.0
2010,адам,зардап шеккен,Жамбыл,әйелдер,1.0
2012,адам,зардап шеккен,Жамбыл,әйелдер,1.0
2016,адам,зардап шеккен,Жамбыл,әйелдер,1.0
2017,адам,зардап шеккен,Жамбыл,әйелдер,1.0
2012,адам,зардап шеккен (жынысын анықтау мүмкіндігі жоқ),Жамбыл,,3.0
2012,адам,соның ішінде қаза болды,Жамбыл,,7.0
2017,адам,соның ішінде қаза болды,Жамбыл,,9.0
2012,адам,соның ішінде қаза болды,Жамбыл,ерлер,3.0
2017,адам,соның ішінде қаза болды,Жамбыл,ерлер,9.0
