Year,Units,Регионы,Value
2010,процент к общей площади суши,,4.7
2010,процент к общей площади суши,Акмолинская,2.6
2010,процент к общей площади суши,Актюбинская,0.2
2010,процент к общей площади суши,Алматинская,8.5
2010,процент к общей площади суши,Атырауская,0.1
2010,процент к общей площади суши,Западно-Казахстанская,0.7
2010,процент к общей площади суши,Жамбылская,15.7
2010,процент к общей площади суши,Карагандинская,0.4
2010,процент к общей площади суши,Костанайская,1.2
2010,процент к общей площади суши,Кызылординская,15.2
2010,процент к общей площади суши,Мангистауская,0.7
2010,процент к общей площади суши,Павлодарская,2.0
2010,процент к общей площади суши,Северо-Казахстанская,5.6
2010,процент к общей площади суши,Туркестанская,13.9
2010,процент к общей площади суши,Восточно-Казахстанская,6.6
2011,процент к общей площади суши,,4.7
2011,процент к общей площади суши,Акмолинская,2.6
2011,процент к общей площади суши,Актюбинская,0.2
2011,процент к общей площади суши,Алматинская,8.8
2011,процент к общей площади суши,Атырауская,0.1
2011,процент к общей площади суши,Западно-Казахстанская,0.7
2011,процент к общей площади суши,Жамбылская,15.8
2011,процент к общей площади суши,Карагандинская,0.4
2011,процент к общей площади суши,Костанайская,1.2
2011,процент к общей площади суши,Кызылординская,15.3
2011,процент к общей площади суши,Мангистауская,0.7
2011,процент к общей площади суши,Павлодарская,2.1
2011,процент к общей площади суши,Северо-Казахстанская,5.6
2011,процент к общей площади суши,Туркестанская,13.9
2011,процент к общей площади суши,Восточно-Казахстанская,6.8
2012,процент к общей площади суши,,4.7
2012,процент к общей площади суши,Акмолинская,2.6
2012,процент к общей площади суши,Актюбинская,0.2
2012,процент к общей площади суши,Алматинская,8.8
2012,процент к общей площади суши,Атырауская,0.1
2012,процент к общей площади суши,Западно-Казахстанская,0.7
2012,процент к общей площади суши,Жамбылская,15.8
2012,процент к общей площади суши,Карагандинская,0.4
2012,процент к общей площади суши,Костанайская,1.2
2012,процент к общей площади суши,Кызылординская,15.1
2012,процент к общей площади суши,Мангистауская,0.7
2012,процент к общей площади суши,Павлодарская,2.0
2012,процент к общей площади суши,Северо-Казахстанская,5.6
2012,процент к общей площади суши,Туркестанская,14.0
2012,процент к общей площади суши,Восточно-Казахстанская,7.2
2013,процент к общей площади суши,,4.8
2013,процент к общей площади суши,Акмолинская,2.7
2013,процент к общей площади суши,Актюбинская,0.2
2013,процент к общей площади суши,Алматинская,8.8
2013,процент к общей площади суши,Атырауская,0.1
2013,процент к общей площади суши,Западно-Казахстанская,0.7
2013,процент к общей площади суши,Жамбылская,15.9
2013,процент к общей площади суши,Карагандинская,0.4
2013,процент к общей площади суши,Костанайская,1.2
2013,процент к общей площади суши,Кызылординская,15.1
2013,процент к общей площади суши,Мангистауская,0.7
2013,процент к общей площади суши,Павлодарская,2.1
2013,процент к общей площади суши,Северо-Казахстанская,5.6
2013,процент к общей площади суши,Туркестанская,14.0
2013,процент к общей площади суши,Восточно-Казахстанская,7.3
2014,процент к общей площади суши,,4.8
2014,процент к общей площади суши,Акмолинская,2.7
2014,процент к общей площади суши,Актюбинская,0.2
2014,процент к общей площади суши,Алматинская,8.8
2014,процент к общей площади суши,Атырауская,0.1
2014,процент к общей площади суши,Западно-Казахстанская,0.7
2014,процент к общей площади суши,Жамбылская,15.9
2014,процент к общей площади суши,Карагандинская,0.4
2014,процент к общей площади суши,Костанайская,1.2
2014,процент к общей площади суши,Кызылординская,15.1
2014,процент к общей площади суши,Мангистауская,0.7
2014,процент к общей площади суши,Павлодарская,2.1
2014,процент к общей площади суши,Северо-Казахстанская,5.6
2014,процент к общей площади суши,Туркестанская,14.0
2014,процент к общей площади суши,Восточно-Казахстанская,7.3
2015,процент к общей площади суши,,4.8
2015,процент к общей площади суши,Акмолинская,2.7
2015,процент к общей площади суши,Актюбинская,0.2
2015,процент к общей площади суши,Алматинская,8.9
2015,процент к общей площади суши,Атырауская,0.1
2015,процент к общей площади суши,Западно-Казахстанская,0.7
2015,процент к общей площади суши,Жамбылская,15.9
2015,процент к общей площади суши,Карагандинская,0.4
2015,процент к общей площади суши,Костанайская,1.2
2015,процент к общей площади суши,Кызылординская,15.1
2015,процент к общей площади суши,Мангистауская,0.7
2015,процент к общей площади суши,Павлодарская,2.1
2015,процент к общей площади суши,Северо-Казахстанская,5.7
2015,процент к общей площади суши,Туркестанская,14.0
2015,процент к общей площади суши,Восточно-Казахстанская,7.3
2016,процент к общей площади суши,,4.8
2016,процент к общей площади суши,Акмолинская,2.7
